call_id,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P170001769,1/4/2017 0:00,0913,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
P170001695,1/4/2017 0:00,0424,8040,NE DAY RD W,121947794,25271751,PC4
P170001654,1/4/2017 0:00,0100,465,WINSLOW WAY E,122544095,23233646,THEFT3
P170001601,1/3/2017 0:00,2151,15446,SUNRISE DR NE,122763796,26092302,PC4
P170000955,1/2/2017 0:00,2053,482,FERNCLIFF AVE NE,122693241,23370550,PC4
P170000502,1/1/2017 0:00,2257,11299,ARROW PT DR NE,121038257,24618283,SUSPI4
P170000500,1/1/2017 0:00,2253,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741380,25661177,T
P170000453,1/1/2017 0:00,2117,4759,LYNWOOD CENTER RD NE,121754144,22568645,T
P170000111,1/1/2017 0:00,0501,14044,NORTH MADISON AVE NE,122454749,25640391,PC4
P170000071,1/1/2017 0:00,0212,11299,ARROW PT DR NE,121024031,24618843,PC4
P170000032,1/1/2017 0:00,0121,787,CHERRY AVE NE,122958855,23478685,PC4
P170000027,1/1/2017 0:00,0115,,"XY(119732244,22302891)",119732244,22302891,T
P170000850,1/2/2017 0:00,1631,9000-BLK,MILLER RD NE,121338508,24002010,T
P170000815,1/2/2017 0:00,1454,,MILLER RD NE / NE TOLO RD,121434233,24330578,T
P170001087,1/3/2017 0:00,0455,556,WINSLOW WAY E,122569938,23246475,PC4
P170001120,1/3/2017 0:00,0740,13675,STATE HWY 305 NE,121817695,25549145,MISC3
P170001181,1/3/2017 0:00,1007,,NE BUSINESS PARK LN / COPPERTOP LOOP NE,122341873,24093714,T
P170000736,1/2/2017 0:00,1227,301,HIGH SCHOOL RD NE,122491500,23645900,ASSIS3
P170000666,1/2/2017 0:00,1047,625,WINSLOW WAY E,122607645,23236096,MISC4
P170000581,1/2/2017 0:00,0318,9518,MANITOU BEACH DR NE,122436765,24308680,PC4
P170000578,1/2/2017 0:00,0302,1388,CHERRY AVE NE,122854734,23669924,PC4
P170000575,1/2/2017 0:00,0241,15446,SUNRISE DR NE,122763796,26092302,PC4
P170000552,1/2/2017 0:00,0111,1211,HILDEBRAND LN NE,122535551,23636965,PC4
P170000490,1/1/2017 0:00,2236,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
P170000474,1/1/2017 0:00,2201,9000-BLK,MILLER RD NE,121338508,24002010,T
P170000472,1/1/2017 0:00,2159,,FERNCLIFF AVE NE / HIGH SCHOOL RD NE,122700573,23641750,T
P170000467,1/1/2017 0:00,2145,465,AMBROSE LN NW,122395428,23365433,PC4
P170000459,1/1/2017 0:00,2133,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,T
P170000119,1/1/2017 0:00,0604,,NE DAY RD E / NE YETI LN,122024554,25272970,CELL
P170000054,1/1/2017 0:00,0146,499,OLYMPIC DR SE,122674000,23182900,PC4
P170000039,1/1/2017 0:00,0128,1934,SHERIDAN RD,120028190,21979344,T
P160213329,1/1/2017 0:00,0027,,CENTRAL VALLEY RD NE / NW WAAGA WAY,119260602,24257707,T
P170000420,1/1/2017 0:00,1951,9330,NE HIGH SCHOOL RD,122364045,23666097,PC4
P170000408,1/1/2017 0:00,1901,13240,PHELPS RD NE,122100986,25380964,WC4
P170000368,1/1/2017 0:00,1734,629,WINSLOW WAY E,122604579,23245314,PC4
P170000354,1/1/2017 0:00,1714,11174,SUNRISE DR NE,122722611,24689467,PC4
P170001582,1/3/2017 0:00,2041,601,HIGH SCHOOL RD NE,122588345,23631497,ASSIS3
P170001587,1/3/2017 0:00,2058,4751,LYNWOOD CENTER RD NE,121762067,22564637,PC4
P170001690,1/4/2017 0:00,0415,1007,HILDEBRAND LN NE,122533677,23552275,PC4
P170001528,1/3/2017 0:00,1840,8727,BLAKELY AVE NE,122082244,22339595,BURGL2
P170001770,1/4/2017 0:00,0914,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
P170001607,1/3/2017 0:00,2212,15568,AGATEWOOD RD NE,121570029,26157948,PC4
P160213322,1/1/2017 0:00,0020,,FALK RD NE / MANITOU BEACH DR NE,122783415,24418658,FIREW4
P170001617,1/3/2017 0:00,2240,9330,NE HIGH SCHOOL RD,122364045,23666097,PC4
P170001703,1/4/2017 0:00,0514,579,BJUNE DR SE,122532851,23238428,PC4
P170001589,1/3/2017 0:00,2102,15466,SUNRISE DR NE,122753059,26107165,PC4
P170001433,1/3/2017 0:00,1604,,NE BUCKLIN HILL RD / FLETCHER BAY RD NE,121727008,23138339,DUI3
P170001780,1/4/2017 0:00,0929,,HIGH SCHOOL RD NE / HILDEBRAND LN NE,122535741,23645021,T
P170001465,1/3/2017 0:00,1640,,MILLER RD NE / NE NEW BROOKLYN RD,121365993,23936591,RECKL3
P170001333,1/3/2017 0:00,1358,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395381,24298435,T
P170001193,1/3/2017 0:00,1034,,NE BERGMAN RD / MILLER RD NE,121830258,25125132,T
P170001077,1/3/2017 0:00,0344,4800,ROCKAWAY BEACH RD NE,122925725,22368787,SUSPI4
P170001015,1/2/2017 0:00,2310,,DIVISION AVE NE / NE GENEVA ST,121597135,27228971,ASSIS3
P170002159,1/4/2017 0:00,2246,625,WINSLOW WAY E,122607645,23236096,ASSIS4
P170001620,1/3/2017 0:00,2253,11299,ARROW PT DR NE,121011654,24608020,PC4
P170001385,1/3/2017 0:00,1505,,"XY(122255872,24133522)",122255872,24133522,CELL
P170001359,1/3/2017 0:00,1425,13253,TEEM LOOP RD NE,122009694,25405951,FRAUD4
P170001338,1/3/2017 0:00,1402,253,HIGH SCHOOL RD NE,122470100,23646300,MVC4
P170001165,1/3/2017 0:00,0934,9624,SPORTSMAN CLUB RD NE,122373345,24193248,T
P170000345,1/1/2017 0:00,1703,15446,SUNRISE DR NE,122763796,26092302,PC4
