call_id,agency,actdate,acttime,geox,geoy,streetnbr,street,naturecode
P050002778,BIPD,1/6/2005 0:00,1613,373962496,70982682,218,FERNCLIFF AV NE,POV4
P050002739,BIPD,1/6/2005 0:00,1510,373660799,75450546,11362,KALLGREN RD NE,WC911
P050000881,BIPD,1/2/2005 0:00,1843,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,DUI3
P050000844,BIPD,1/2/2005 0:00,1736,370529206,79640777,,AGATEWOOD RD NE / STATE HY 305 NE,TRAFF3
P050000777,BIPD,1/2/2005 0:00,1504,372787103,72091229,,NE HIGH SCHOOL RD / LOVELL AV NW,T
P050000767,BIPD,1/2/2005 0:00,1439,373202315,72041819,1270,MADISON AV N,T
P050002177,BIPD,1/5/2005 0:00,1223,373200852,72864291,8555,MADISON AV N,INFOP5
P050002179,BIPD,1/5/2005 0:00,1228,373186870,72101017,,NE HIGH SCHOOL RD / MADISON AV N,T
P050002168,BIPD,1/5/2005 0:00,1206,373590403,72068878,,IHLAND PL / MADISON,T
P050002100,BIPD,1/5/2005 0:00,0916,371160079,68890529,4765,LYNWOOD CENTER RD NE,THEFT5
P050001661,BIPD,1/4/2005 0:00,1109,373958907,70848849,,FERNCLIFF AV NE / WINSLOW WY E,T
P050001547,BIPD,1/4/2005 0:00,0124,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,T
P050001525,BIPD,1/3/2005 0:00,2346,372512844,78532339,,NE HIDDEN COVE RD / SPARGUR LOOP RD NE,T
P050001516,BIPD,1/3/2005 0:00,2320,371759990,78494450,8022,NE HIDDEN COVE RD,T
P050001437,BIPD,1/3/2005 0:00,2020,372374768,71791616,1000,WEAVER AV NE,T
P050001230,BIPD,1/3/2005 0:00,1412,372573499,72906261,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,T
P050002794,BIPD,1/6/2005 0:00,1656,371191985,78251531,7500,NE HIDDEN COVE RD,T
P050002857,BIPD,1/6/2005 0:00,1852,373440736,70853910,380,WINSLOW WY E,ALS
P050001566,BIPD,1/4/2005 0:00,0429,373756702,70744805,,HARBORVIEW DR SE / OLYMPIC DR SE,T
P050001141,BIPD,1/3/2005 0:00,1041,374860473,71222749,11267,NE WING POINT WY,PC3
P050001065,BIPD,1/3/2005 0:00,0718,373058406,74099172,,N MADISON AV NE / STATE HY 305 NE,ANIMA4
P050001052,BIPD,1/3/2005 0:00,0640,371936193,76953219,8458,MEADOWMEER LANE,MVC4
P050001039,BIPD,1/3/2005 0:00,0445,373905264,70637166,499,OLYMPIC DR SE,T
P050001033,BIPD,1/3/2005 0:00,0305,370102380,80615577,16370,STATE HY 305 NE,TRAFF3
P050000979,BIPD,1/2/2005 0:00,2301,373459370,70853128,,ERICKSEN AV NE / WINSLOW WY E,T
P050000862,BIPD,1/2/2005 0:00,1810,373169414,71264069,,MADISON AV N / WYATT WY NE,T
P050002171,BIPD,1/5/2005 0:00,1212,373753350,70848849,,MADISON / NEW BROOKLYNN,T
P050000861,BIPD,1/2/2005 0:00,1808,373590403,72068878,,NE HIGH SCHOOL RD / STATE HY 305 NE,DUI3
P050000784,BIPD,1/2/2005 0:00,1523,373905264,70637166,499,OLYMPIC DR SE,WC911
P050000719,BIPD,1/2/2005 0:00,1157,371227882,78612825,7495,NE CARENE LN,GUNVI3
P050001218,BIPD,1/3/2005 0:00,1313,373159111,70865790,,MADISON AV N / WINSLOW WY E,T
P050000993,BIPD,1/2/2005 0:00,2345,373058406,74099172,,SPORTSMAN CLUB RD NE / STATE HY 305 NE,T
P050000934,BIPD,1/2/2005 0:00,2107,371608960,73543272,,NE PAULANNA LN / SANDS AV NE,FI
P050000916,BIPD,1/2/2005 0:00,2026,373788402,73474783,,GREEN SPOT PL NE / NE LOFGREN RD,FU
P050000869,BIPD,1/2/2005 0:00,1821,373788402,73474783,,GREEN SPOT PL NE / NE LOFGREN RD,MVCR
P050000677,BIPD,1/2/2005 0:00,0921,369513746,72968093,9141,FLETCHER BAY RD NE,FOUND4
P050000476,BIPD,1/1/2005 0:00,2133,371278820,78241175,7599,NE HIDDEN COVE RD,WC911
P050000345,BIPD,1/1/2005 0:00,1724,372626504,75719196,,NE MORGAN RD / STATE HY 305 NE,T
P050000327,BIPD,1/1/2005 0:00,1658,372805543,75317290,,NE KOURA RD / STATE HY 305 NE,T
P050000263,BIPD,1/1/2005 0:00,1404,373336304,70858317,271,WINSLOW WY E,ALRA
P050000236,BIPD,1/1/2005 0:00,1213,373937455,72056364,,HIGH SCHOOL RD NE / STONECRESS LN NE,T
P050000466,BIPD,1/1/2005 0:00,2112,0,0,,ROTARY BALL FEILD,FI
P050000332,BIPD,1/1/2005 0:00,1701,381763017,65947512,,INFO BREMERTON SUN,MEDIA
P050002176,BIPD,1/5/2005 0:00,1220,372598270,76124149,8824,NE LOVGREEN RD E,SUICI3
P050002228,BIPD,1/5/2005 0:00,1421,369696835,68447146,,FLETCHER BAY / NEW BROOKLYNN,T
P050002314,BIPD,1/5/2005 0:00,1639,372953128,78523247,,NE HIDDEN COVE RD / PHELPS RD NE,T
P050001632,BIPD,1/4/2005 0:00,0943,371879767,78725740,8150,NE HIDDEN COVE RD,MVC4
P050002697,BIPD,1/6/2005 0:00,1334,374433941,69396301,10753,NE BILL POINT DR,TRAFF3
P050002698,BIPD,1/6/2005 0:00,1337,373058406,74099172,,N MADISON AV NE / STATE HY 305 NE,T
P050000211,BIPD,1/1/2005 0:00,1050,373519712,72038848,1220,HILDEBRAND LN NE,T
P050000197,BIPD,1/1/2005 0:00,0951,370879291,78179027,7176,NE HIDDEN COVE RD,T
P050000182,BIPD,1/1/2005 0:00,0903,373968670,73143376,9100,FERNCLIFF AV NE,ASSIS4
P050000062,BIPD,1/1/2005 0:00,0117,373058406,74099172,,SPORTSMAN CLUB RD NE / STATE HY 305 NE,T
P050000473,BIPD,1/1/2005 0:00,2124,369920520,72956565,,MILLER RD NE / NE NEW BROOKLYN RD,T
