call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P09000198B8IPD,,1/4/2009 0:00,1740,,KALLGREN RD NE / NE VALLEY RD,122590741,24700686,MVC3
P09000206B5IPD,,1/4/2009 0:00,1856,,NE DUNCAN LN / FALK RD NE,122785767,24565380,GUNVI3
P09000205B7IPD,,1/4/2009 0:00,1845,5618,WARD AVE NE,122581982,22858472,WC911
P09000197B8IPD,,1/4/2009 0:00,1729,15798,STATE HWY 305 NE,121419086,26448474,MVCG
P09000187B5IPD,,1/4/2009 0:00,1513,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741136,25661125,T
P09000183B0IPD,,1/4/2009 0:00,1237,,MILLER RD NE / PETERSON HILL RD NE,121669667,24878567,T
P09000055B3IPD,,1/2/2009 0:00,0136,,HILDEBRAND LN NE / TORMEY LN NE,122534254,23589670,PC4
P09000053B9IPD,,1/2/2009 0:00,0024,9330,NE HIGH SCHOOL RD,122360180,23686606,FI
P09000031B2IPD,,1/1/2009 0:00,1318,9349,NE LOVGREEN RD E,122377288,24969993,SUSPI4
P09000030B5IPD,,1/1/2009 0:00,1259,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,PC3
P09000026B1IPD,,1/1/2009 0:00,1135,385,SHEPARD WAY NW,122338746,23319634,SFR
P09000208B3IPD,,1/4/2009 0:00,1911,8901,FERNCLIFF AVE NE,122703563,23936789,WIRESF
P09000199B9IPD,,1/4/2009 0:00,1750,4139,POINT WHITE DR NE,121521098,22448028,TRAFF3
P09000190B9IPD,,1/4/2009 0:00,1626,299,SHANNON DR SE,122508732,23164541,T
P09000061B2IPD,,1/2/2009 0:00,0811,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571082,23644469,T
P09000057B7IPD,,1/2/2009 0:00,0343,1076,ALEXANDER PL,122797772,23577716,WC911
P09000043B1IPD,,1/1/2009 0:00,1909,,NE EAGLE HARBOR DR / WARD AVE NE,122581685,22852666,DUI3
P09000003B1IPD,,1/1/2009 0:00,0031,350,MADISON AVE N,122429345,23336029,T
P09000186B1IPD,,1/4/2009 0:00,1409,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741136,25661125,FI
P09000178B2IPD,,1/4/2009 0:00,1000,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741136,25661125,T
P09000215B2IPD,,1/4/2009 0:00,2039,2113,COUNTRY VIEW LN NE,122600037,21572495,WC911
P09000199B4IPD,,1/4/2009 0:00,1746,,MILLER RD NE / NE NEW BROOKLYN RD,121365750,23936543,MVCG
P09000198B2IPD,,1/4/2009 0:00,1733,,NE KOURA RD / STATE HWY 305 NE,122310217,24709702,TRAFF3
P09000191B6IPD,,1/4/2009 0:00,1635,299,SHANNON DR SE,122508732,23164541,PC3
P09000182B3IPD,,1/4/2009 0:00,1225,,NE DAY RD W / MILLER RD NE,121978357,25249210,T
P09000137B1IPD,,1/3/2009 0:00,1302,,NE BERGMAN RD / MILLER RD NE,121825422,25120970,T
P09000135B4IPD,,1/3/2009 0:00,1158,1201,CHERRY AVE NE,122902297,23625434,FU
P09000135B0IPD,,1/3/2009 0:00,1144,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235375,23919324,T
