call_id,agency,actdate,acttime,streetnbr
P200000144,BIPD,1/1/2020 0:00,0853,15446
P200000318,BIPD,1/1/2020 0:00,1502,
P200000370,BIPD,1/1/2020 0:00,1614,
P200000479,BIPD,1/1/2020 0:00,2117,
P200000560,BIPD,1/2/2020 0:00,0015,240
P200000598,BIPD,1/2/2020 0:00,0258,8076
P200000606,BIPD,1/2/2020 0:00,0328,4797
P200000702,BIPD,1/2/2020 0:00,0854,
P200000723,BIPD,1/2/2020 0:00,0946,
P200000873,BIPD,1/2/2020 0:00,1353,
P200000849,BIPD,1/2/2020 0:00,1326,6585
P200001055,BIPD,1/2/2020 0:00,2018,7703
P200000048,BIPD,1/1/2020 0:00,0157,
P200000033,BIPD,1/1/2020 0:00,0129,15347
P200000165,BIPD,1/1/2020 0:00,1000,3921
P200000337,BIPD,1/1/2020 0:00,1528,
P200000503,BIPD,1/1/2020 0:00,2200,12995
P200000559,BIPD,1/2/2020 0:00,0015,625
P200000008,BIPD,1/1/2020 0:00,0040,
P200000067,BIPD,1/1/2020 0:00,0246,
P200000135,BIPD,1/1/2020 0:00,0756,10702
P200000319,BIPD,1/1/2020 0:00,1505,235
P200000373,BIPD,1/1/2020 0:00,1619,
P200000368,BIPD,1/1/2020 0:00,1609,235
P200001244,BIPD,1/3/2020 0:00,1006,651
P200001315,BIPD,1/3/2020 0:00,1230,8895
P200001337,BIPD,1/3/2020 0:00,1320,8635
P200001431,BIPD,1/3/2020 0:00,1554,10252
P200001672,BIPD,1/4/2020 0:00,0039,15227
P200001722,BIPD,1/4/2020 0:00,0335,16280
P200000597,BIPD,1/2/2020 0:00,0257,12492
P200000600,BIPD,1/2/2020 0:00,0310,11299
P200000609,BIPD,1/2/2020 0:00,0346,108
P200000612,BIPD,1/2/2020 0:00,0348,372
P200000720,BIPD,1/2/2020 0:00,0942,
P200000865,BIPD,1/2/2020 0:00,1346,10945
P200000498,BIPD,1/1/2020 0:00,2151,7644
P200000603,BIPD,1/2/2020 0:00,0322,8985
P200000705,BIPD,1/2/2020 0:00,0857,7383
P200000742,BIPD,1/2/2020 0:00,1023,14836
P200000857,BIPD,1/2/2020 0:00,1331,400
P200000932,BIPD,1/2/2020 0:00,1516,271
P200001734,BIPD,1/4/2020 0:00,0402,6657
P200001763,BIPD,1/4/2020 0:00,0707,
P200001831,BIPD,1/4/2020 0:00,1109,10261
P200001848,BIPD,1/4/2020 0:00,1153,7315
P200001955,BIPD,1/4/2020 0:00,1555,11024
P200001964,BIPD,1/4/2020 0:00,1619,8800
P200000853,BIPD,1/2/2020 0:00,1327,14836
P200000901,BIPD,1/2/2020 0:00,1426,8040
P200001070,BIPD,1/2/2020 0:00,2103,9171
P200001166,BIPD,1/3/2020 0:00,0600,
P200001171,BIPD,1/3/2020 0:00,0633,7215
P200000968,BIPD,1/2/2020 0:00,1648,10340
P200000985,BIPD,1/2/2020 0:00,1734,
P200001047,BIPD,1/2/2020 0:00,1955,
P200001050,BIPD,1/2/2020 0:00,1956,
P200001000,BIPD,1/2/2020 0:00,1812,16881
P200001072,BIPD,1/2/2020 0:00,2106,271
P200000133,BIPD,1/1/2020 0:00,0750,8055
P200000157,BIPD,1/1/2020 0:00,0928,
P200000159,BIPD,1/1/2020 0:00,0939,
P200000218,BIPD,1/1/2020 0:00,1157,
P200000275,BIPD,1/1/2020 0:00,1341,200
P200000307,BIPD,1/1/2020 0:00,1437,
P200000043,BIPD,1/1/2020 0:00,0154,10890
P200000042,BIPD,1/1/2020 0:00,0154,10044
P200000066,BIPD,1/1/2020 0:00,0241,4058
P200000129,BIPD,1/1/2020 0:00,0744,5377
P200000139,BIPD,1/1/2020 0:00,0826,1307
P200000285,BIPD,1/1/2020 0:00,1401,835
P200000100,BIPD,1/1/2020 0:00,0441,10044
P200000125,BIPD,1/1/2020 0:00,0712,11512
P200000143,BIPD,1/1/2020 0:00,0847,7827
P200000169,BIPD,1/1/2020 0:00,1010,5274
P200001048,BIPD,1/2/2020 0:00,1955,
P200001083,BIPD,1/2/2020 0:00,2155,
P200002002,BIPD,1/4/2020 0:00,1809,
P200002141,BIPD,1/4/2020 0:00,2327,321
P200002411,BIPD,1/5/2020 0:00,1536,11162
P200002484,BIPD,1/5/2020 0:00,1847,
P200002518,BIPD,1/5/2020 0:00,1950,10890
P200002543,BIPD,1/5/2020 0:00,2043,3787
P200000267,BIPD,1/1/2020 0:00,1333,9507
P200000329,BIPD,1/1/2020 0:00,1522,
P200000394,BIPD,1/1/2020 0:00,1704,296
P200000411,BIPD,1/1/2020 0:00,1804,10535
P200000669,BIPD,1/2/2020 0:00,0755,
P200000691,BIPD,1/2/2020 0:00,0835,16260
P200001091,BIPD,1/2/2020 0:00,2228,920
P200001176,BIPD,1/3/2020 0:00,0654,
P200001226,BIPD,1/3/2020 0:00,0921,
P200001341,BIPD,1/3/2020 0:00,1328,625
P200001342,BIPD,1/3/2020 0:00,1329,4975
P200001359,BIPD,1/3/2020 0:00,1346,7968
P200002553,BIPD,1/5/2020 0:00,2058,
P200002594,BIPD,1/5/2020 0:00,2215,
P200002643,BIPD,1/6/2020 0:00,0100,629
P200002690,BIPD,1/6/2020 0:00,0451,10553
P200002936,BIPD,1/6/2020 0:00,1359,
P200002974,BIPD,1/6/2020 0:00,1510,
P200001191,BIPD,1/3/2020 0:00,0748,
P200001224,BIPD,1/3/2020 0:00,0918,
P200001221,BIPD,1/3/2020 0:00,0916,1301
P200001255,BIPD,1/3/2020 0:00,1039,12699
P200001270,BIPD,1/3/2020 0:00,1109,920
P200001726,BIPD,1/4/2020 0:00,0341,6891
P200001741,BIPD,1/4/2020 0:00,0524,499
P200001818,BIPD,1/4/2020 0:00,1044,
P200001830,BIPD,1/4/2020 0:00,1107,6580
P200001901,BIPD,1/4/2020 0:00,1409,
P200001948,BIPD,1/4/2020 0:00,1548,776
P200003016,BIPD,1/6/2020 0:00,1626,
P200003059,BIPD,1/6/2020 0:00,1750,
P200003079,BIPD,1/6/2020 0:00,1824,
P200003090,BIPD,1/6/2020 0:00,1840,6426
P200003102,BIPD,1/6/2020 0:00,1924,6429
P200003340,BIPD,1/7/2020 0:00,0739,7564
P200000722,BIPD,1/2/2020 0:00,0945,10916
P200000774,BIPD,1/2/2020 0:00,1110,15347
P200000944,BIPD,1/2/2020 0:00,1556,8615
P200000952,BIPD,1/2/2020 0:00,1619,8672
P200001077,BIPD,1/2/2020 0:00,2128,11299
P200001102,BIPD,1/2/2020 0:00,2257,14900
P200001343,BIPD,1/3/2020 0:00,1329,7900
P200001391,BIPD,1/3/2020 0:00,1439,10355
P200001436,BIPD,1/3/2020 0:00,1613,220
P200001449,BIPD,1/3/2020 0:00,1648,9437
P200001641,BIPD,1/3/2020 0:00,2328,241
P200001718,BIPD,1/4/2020 0:00,0328,8090
P200003360,BIPD,1/7/2020 0:00,0820,
P200003381,BIPD,1/7/2020 0:00,0848,
P200003419,BIPD,1/7/2020 0:00,0939,835
P200003521,BIPD,1/7/2020 0:00,1157,
P200003660,BIPD,1/7/2020 0:00,1520,3520
P200003665,BIPD,1/7/2020 0:00,1524,290
P200001968,BIPD,1/4/2020 0:00,1623,
P200001977,BIPD,1/4/2020 0:00,1712,
P200001997,BIPD,1/4/2020 0:00,1758,
P200002119,BIPD,1/4/2020 0:00,2232,6400
P200002153,BIPD,1/4/2020 0:00,2344,15212
P200002261,BIPD,1/5/2020 0:00,0833,7560
P200002524,BIPD,1/5/2020 0:00,2005,
P200002542,BIPD,1/5/2020 0:00,2042,
P200002584,BIPD,1/5/2020 0:00,2155,10842
P200002733,BIPD,1/6/2020 0:00,0813,
P200002793,BIPD,1/6/2020 0:00,0945,
P200002907,BIPD,1/6/2020 0:00,1309,360
P200001218,BIPD,1/3/2020 0:00,0905,
P200001345,BIPD,1/3/2020 0:00,1331,
P200001386,BIPD,1/3/2020 0:00,1423,
P200001284,BIPD,1/3/2020 0:00,1121,3998
P200001492,BIPD,1/3/2020 0:00,1809,9330
P200000342,BIPD,1/1/2020 0:00,1531,15446
P200000365,BIPD,1/1/2020 0:00,1607,
P200000393,BIPD,1/1/2020 0:00,1702,235
P200000464,BIPD,1/1/2020 0:00,2047,323
P200000681,BIPD,1/2/2020 0:00,0820,
P200000757,BIPD,1/2/2020 0:00,1052,400
P200003647,BIPD,1/7/2020 0:00,1458,
P200003683,BIPD,1/7/2020 0:00,1555,
P200003700,BIPD,1/7/2020 0:00,1624,860
P200003716,BIPD,1/7/2020 0:00,1651,271
P200004018,BIPD,1/8/2020 0:00,0836,
P200004060,BIPD,1/8/2020 0:00,0947,
P200001720,BIPD,1/4/2020 0:00,0333,15237
P200001729,BIPD,1/4/2020 0:00,0350,11688
P200001731,BIPD,1/4/2020 0:00,0356,11251
P200001740,BIPD,1/4/2020 0:00,0444,499
P200001803,BIPD,1/4/2020 0:00,0927,8635
P200001885,BIPD,1/4/2020 0:00,1327,15798
P200002931,BIPD,1/6/2020 0:00,1351,381
P200003054,BIPD,1/6/2020 0:00,1734,
P200003127,BIPD,1/6/2020 0:00,2027,5400-BLK
P200003250,BIPD,1/7/2020 0:00,0058,625
P200003262,BIPD,1/7/2020 0:00,0141,6430
P200003323,BIPD,1/7/2020 0:00,0621,
P200001656,BIPD,1/4/2020 0:00,0006,
P200001711,BIPD,1/4/2020 0:00,0309,6435
P200001715,BIPD,1/4/2020 0:00,0324,12659
P200001759,BIPD,1/4/2020 0:00,0700,
P200001921,BIPD,1/4/2020 0:00,1449,
P200001984,BIPD,1/4/2020 0:00,1723,1311
P200004084,BIPD,1/8/2020 0:00,1035,6324
P200004077,BIPD,1/8/2020 0:00,1025,639
P200004112,BIPD,1/8/2020 0:00,1125,1270
P200004554,BIPD,1/9/2020 0:00,0355,456
P200004604,BIPD,1/9/2020 0:00,0752,165
P200004712,BIPD,1/9/2020 0:00,1033,6894
P200002028,BIPD,1/4/2020 0:00,1925,7644
P200002079,BIPD,1/4/2020 0:00,2107,6400
P200002102,BIPD,1/4/2020 0:00,2152,9000-BLK
P200002121,BIPD,1/4/2020 0:00,2243,9140
P200002149,BIPD,1/4/2020 0:00,2337,
P200002359,BIPD,1/5/2020 0:00,1333,
P200000802,BIPD,1/2/2020 0:00,1211,14836
P200000804,BIPD,1/2/2020 0:00,1211,
P200000825,BIPD,1/2/2020 0:00,1237,1315
P200000859,BIPD,1/2/2020 0:00,1337,
P200000927,BIPD,1/2/2020 0:00,1512,9300
P200000955,BIPD,1/2/2020 0:00,1634,8742
P200004880,BIPD,1/9/2020 0:00,1452,960
P200004953,BIPD,1/9/2020 0:00,1647,500
P200005151,BIPD,1/10/2020 0:00,0109,7989
P200005209,BIPD,1/10/2020 0:00,0701,580
P200005298,BIPD,1/10/2020 0:00,1022,11200
P200002133,BIPD,1/4/2020 0:00,2322,4793
P200002395,BIPD,1/5/2020 0:00,1442,
P200002452,BIPD,1/5/2020 0:00,1718,301
P200002520,BIPD,1/5/2020 0:00,1957,
P200002684,BIPD,1/6/2020 0:00,0419,454
P200002707,BIPD,1/6/2020 0:00,0627,
P200005323,BIPD,1/10/2020 0:00,1134,
P200005510,BIPD,1/10/2020 0:00,1617,365
P200005586,BIPD,1/10/2020 0:00,1842,
P200005658,BIPD,1/10/2020 0:00,2230,11299
P200005741,BIPD,1/11/2020 0:00,0236,15273
P200005938,BIPD,1/11/2020 0:00,1421,635
P200002480,BIPD,1/5/2020 0:00,1844,6434
P200002498,BIPD,1/5/2020 0:00,1914,15446
P200002536,BIPD,1/5/2020 0:00,2028,
P200002538,BIPD,1/5/2020 0:00,2035,
P200002541,BIPD,1/5/2020 0:00,2042,5674
P200002658,BIPD,1/6/2020 0:00,0242,721
P200001046,BIPD,1/2/2020 0:00,1953,
P200001080,BIPD,1/2/2020 0:00,2138,920
P200001110,BIPD,1/2/2020 0:00,2319,10321
P200001197,BIPD,1/3/2020 0:00,0807,9415
P200001303,BIPD,1/3/2020 0:00,1151,
P200001377,BIPD,1/3/2020 0:00,1411,10495
P200002709,BIPD,1/6/2020 0:00,0633,
P200002737,BIPD,1/6/2020 0:00,0818,7068
P200002779,BIPD,1/6/2020 0:00,0926,
P200002794,BIPD,1/6/2020 0:00,0946,12369
P200002932,BIPD,1/6/2020 0:00,1352,10919
P200003011,BIPD,1/6/2020 0:00,1618,
P200002683,BIPD,1/6/2020 0:00,0417,503
P200002745,BIPD,1/6/2020 0:00,0832,9624
P200002801,BIPD,1/6/2020 0:00,0953,
P200002850,BIPD,1/6/2020 0:00,1122,301
P200002872,BIPD,1/6/2020 0:00,1216,5150
P200002910,BIPD,1/6/2020 0:00,1315,
P200001348,BIPD,1/3/2020 0:00,1335,625
P200001393,BIPD,1/3/2020 0:00,1445,
P200001385,BIPD,1/3/2020 0:00,1422,
P200001437,BIPD,1/3/2020 0:00,1616,625
P200001485,BIPD,1/3/2020 0:00,1753,7205
P200001592,BIPD,1/3/2020 0:00,2139,921
P200003363,BIPD,1/7/2020 0:00,0826,
P200003574,BIPD,1/7/2020 0:00,1331,6850
P200003702,BIPD,1/7/2020 0:00,1627,363
P200003737,BIPD,1/7/2020 0:00,1742,
P200003868,BIPD,1/7/2020 0:00,2258,499
P200003888,BIPD,1/8/2020 0:00,0012,
P200005969,BIPD,1/11/2020 0:00,1537,
P200006249,BIPD,1/12/2020 0:00,0250,15805
P200006508,BIPD,1/12/2020 0:00,1759,10010
P200006580,BIPD,1/12/2020 0:00,2115,4704
P200006762,BIPD,1/13/2020 0:00,0422,
P200002956,BIPD,1/6/2020 0:00,1439,
P200003005,BIPD,1/6/2020 0:00,1615,
P200003018,BIPD,1/6/2020 0:00,1630,625
P200003108,BIPD,1/6/2020 0:00,1942,7566
P200003138,BIPD,1/6/2020 0:00,2046,6409
P200003139,BIPD,1/6/2020 0:00,2049,15632
P200003044,BIPD,1/6/2020 0:00,1718,
P200003101,BIPD,1/6/2020 0:00,1922,242
P200003114,BIPD,1/6/2020 0:00,1955,10919
P200003116,BIPD,1/6/2020 0:00,2000,
P200003558,BIPD,1/7/2020 0:00,1314,910
P200003711,BIPD,1/7/2020 0:00,1642,15126
P200001713,BIPD,1/4/2020 0:00,0318,9224
P200001716,BIPD,1/4/2020 0:00,0325,7659
P200001812,BIPD,1/4/2020 0:00,1018,10261
P200001927,BIPD,1/4/2020 0:00,1502,519
P200002036,BIPD,1/4/2020 0:00,1951,305
P200002124,BIPD,1/4/2020 0:00,2248,11299
P200003894,BIPD,1/8/2020 0:00,0033,
P200003970,BIPD,1/8/2020 0:00,0611,1344
P200004040,BIPD,1/8/2020 0:00,0902,860
P200004117,BIPD,1/8/2020 0:00,1128,6639
P200004145,BIPD,1/8/2020 0:00,1209,639
P200004216,BIPD,1/8/2020 0:00,1405,
P200006935,BIPD,1/13/2020 0:00,1258,
P200007079,BIPD,1/13/2020 0:00,1805,4537
P200007159,BIPD,1/13/2020 0:00,2116,
P200007083,BIPD,1/13/2020 0:00,1816,5982
P200007170,BIPD,1/13/2020 0:00,2146,6804
P200007204,BIPD,1/13/2020 0:00,2319,253
P200003188,BIPD,1/6/2020 0:00,2233,
P200003317,BIPD,1/7/2020 0:00,0605,
P200003358,BIPD,1/7/2020 0:00,0812,
P200003383,BIPD,1/7/2020 0:00,0849,9343
P200003496,BIPD,1/7/2020 0:00,1129,
P200003502,BIPD,1/7/2020 0:00,1136,
P200003797,BIPD,1/7/2020 0:00,1953,
P200003806,BIPD,1/7/2020 0:00,2021,
P200003773,BIPD,1/7/2020 0:00,1854,6639
P200003810,BIPD,1/7/2020 0:00,2030,
P200004273,BIPD,1/8/2020 0:00,1530,
P200004469,BIPD,1/8/2020 0:00,2203,6411
P200002140,BIPD,1/4/2020 0:00,2326,13989
P200002181,BIPD,1/5/2020 0:00,0046,253
P200002362,BIPD,1/5/2020 0:00,1336,403
P200002424,BIPD,1/5/2020 0:00,1605,
P200002475,BIPD,1/5/2020 0:00,1828,
P200004310,BIPD,1/8/2020 0:00,1633,7047
P200004409,BIPD,1/8/2020 0:00,1932,824
P200004552,BIPD,1/9/2020 0:00,0344,
P200004632,BIPD,1/9/2020 0:00,0841,403
P200004684,BIPD,1/9/2020 0:00,0954,8294
