_needs_review,_review_reason,CallID,When Reported,Typ,Nature,P,Location,Cty
,,19C062649,00:02:18 07/19/19,l,Area Check,3,1248 W SIXTH ST; WELCOME INN;ABAN BUSN,COR
,,19C062650,00:03:21 07/19/19,l,Property Check,4,2813 S MAIN ST,COR
,,19C062652,00:05:03 07/19/19,l,Patrol Info,4,2484 CENTENNIAL WAY; FIREWORKS,COR
,,19C062653,00:09:13 07/19/19,l,Property Check,4,19751 KATY WAY,ELC
,,19C062654,00:14:30 07/19/19,l,Alarm Call,2,1150 W TENTH ST; CORONA HIGH SCHOOL,COR
,,19C062656,00:20:23 07/19/19,l,Traffic Stop,4,MAGNOLIA AVE & RIMPAU AVE,COR
,,19C062657,00:22:02 07/19/19,l,Alarm Call,2,302 ELIZABETH LN;ALPHA LASER INCORP,COR
,,19C062660,00:29:29 07/19/19,l,Property Check,4,1212 MAGNOLIA AVE; EL SUPER,COR
,,19C062661,00:37:28 07/19/19,l,Traffic Stop,4,E SIXTH ST & RIMPAU AVE,COR
,,19C062662,00:37:56 07/19/19,l,Alarm Call,2,705 N MAIN ST # 104; ALDI,COR
,,19C062663,00:38:13 07/19/19,l,Traffic Stop,4,E SIXTH ST & RIMPAU AVE,COR
,,19C062664,00:38:32 07/19/19,l,Traffic Stop,4,E SIXTH ST & RIMPAU AVE,COR
,,19C062665,00:39:29 07/19/19,l,Susp Vehicle,3,1479 BURRERO WAY; OCCUP,COR
,,19C062666,00:39:53 07/19/19,l,Traffic Stop,4,E SIXTH ST & RIMPAU AVE,COR
,,19C062667,00:42:38 07/19/19,l,Traffic Stop,4,E SIXTH ST & RIMPAU AVE,COR
,,19C062668,00:45:16 07/19/19,l,Property Check,4,702 E SIXTH ST; ARCO AM PM,COR
,,19C062670,00:56:08 07/19/19,l,Loud Noise,3,895 JOHNNY CASH DR; MUSIC,COR
,,19C062671,01:13:55 07/19/19,l,Disturb Peace,3,3072 S BUENA VISTA AVE,COR
,,19C062672,01:28:31 07/19/19,l,911 Hangup,2,209 E BLAINE ST,COR
,,19C062673,01:29:49 07/19/19,l,Citizen Contact,3,615 RICHEY ST; PROMENADE PARK ; LL CONT,COR
,,19C062674,01:37:24 07/19/19,l,Alarm Call,2,1564 TWIN OAKS CIR,COR
,,19C062675,01:46:34 07/19/19,l,Disturb Peace,3,1248 W SIXTH ST; WELCOME INN,COR
,,19C062677,01:51:06 07/19/19,l,Welfare Check,2,1248 W SIXTH ST; WELCOME INN,COR
,,19C062678,02:07:45 07/19/19,l,Property Check,4,1820 RIMPAU AVE; CENTENNIAL HIGH SCHOOL,COR
,,19C062679,02:15:44 07/19/19,l,Susp Person,3,CHEROKEE RD & CALIFORNIA AVE,COR
,,19C062680,02:16:22 07/19/19,l,Dist/Physical,1,1275 MAGNOLIA AVE # 105; SHAMROCKS,COR
,,19C062682,02:21:51 07/19/19,l,Auto Theft Rec,4,1349 AGNES ST,COR
,,19C062683,02:27:27 07/19/19,f,ZZFall,1,2300 S MAIN ST # 158; VALENCIA TERRACE,COR
,,19C062685,03:11:10 07/19/19,l,Property Check,4,1685 W SIXTH ST;LARRY H MILLER TOYOTA TRUCK CENTER,COR
,,19C062686,03:11:58 07/19/19,l,Assist Othr Dpt,3,1759 CINDY CT ; AOD RSO,COR
,,19C062687,03:29:18 07/19/19,l,Area Check,3,W MONTEREY RD & S VICENTIA AVE,COR
,,19C062688,03:50:12 07/19/19,l,Area Check,3,GREEN RIVER RD & 91 WB ON RAMP,COR
,,19C062690,04:21:08 07/19/19,l,Alarm Call,2,1395 E FOOTHILL PKWY; SANTIAGO HIGH SCHOOL,COR
,,19C062691,04:32:19 07/19/19,l,Special Detail,4,730 PUBLIC SAFETY WAY; CORONA POLICE; PD/ STN,COR
,,19C062692,04:47:14 07/19/19,l,Alarm Call,2,399 E HARRISON ST # E; FERMA GROUP,COR
,,19C062693,04:55:22 07/19/19,l,Patrol Info,4,KELLOGG AVE & QUINCE ST;SUSPV,COR
,,19C062694,04:57:39 07/19/19,l,Alarm Call,2,2765 LAKESHORE DR; CITRUS CITY GRILLE,COR
,,19C062695,05:09:49 07/19/19,f,ZZSick,1,408 WYNOLA CT,COR
,,19C062696,06:23:25 07/19/19,l,Area Check,3,W ORANGE HEIGHTS LN & JEPSON CIR,COR
YES,'Nature' garbled/scrambled text,19C062697,06:28:41 07/19/19,f,ZZFwy Acc w/inj,1,91 WB AUTO CENTER 71,RVC
,,19C062698,06:42:40 07/19/19,l,Disturb Peace,3,1501 W SIXTH ST; JACK IN THE BOX,COR
,,19C062699,07:05:11 07/19/19,l,Susp Vehicle,3,SHEPARD CREST DR & GODDARD WAY,COR
,,19C062700,07:07:13 07/19/19,l,Z-Animal Svcs,4,3827 HOLLY SPRINGS DR,COR
,,19C062701,07:09:25 07/19/19,l,Property Check,4,2355 COMPTON AVE; LA FITNESS,COR
,,19C062702,07:13:24 07/19/19,lf,Man Down,1,1267 W SIXTH ST,COR
,,19C062704,07:17:31 07/19/19,l,Alarm Call,2,1195 MAGNOLIA AVE # H; COUNTY OF RIVERSIDE,COR
,,19C062706,07:24:07 07/19/19,l,Ill Parked Veh,4,W EIGHTH ST & S LINCOLN AVE,COR
,,19C062707,07:24:17 07/19/19,l,Susp Person,3,2355 COMPTON AVE; LA FITNESS,COR
,,19C062709,07:34:39 07/19/19,l,Alarm Call,2,1150 W TENTH ST; CORONA HIGH SCHOOL,COR
,,19C062710,07:35:28 07/19/19,l,Susp Person,3,PARKSIDE GREEN HOA,COR
,,19C062711,07:40:21 07/19/19,l,911 Hangup,2,598 HILLSBOROUGH WAY,COR
,,19C062712,07:50:41 07/19/19,l,Traffic Stop,4,CALIFORNIA AVE & RIMPAU AVE,COR
,,19C062714,07:53:56 07/19/19,f,ZZHeat/Cold Exp,1,780 MONTAGUE DR,COR
,,19C062716,07:55:47 07/19/19,lf,Vegetation High,1,91 WB GREEN RIVER OC LINE,COR
,,19C062718,07:59:39 07/19/19,l,911 Hangup,2,562 GRAPEVINE DR,COR
,,19C062719,08:01:51 07/19/19,l,Alarm Call,2,11350 CRESTRIDGE DR,COR
