_needs_review,_review_reason,CallID,When,Typ,Nature,P,Location,Cty
,,19C068042,00:04:19 08/01/19,f,ZZFwy Veh Fire,1,15 SB TEMESCAL CANYON INDIAN TRUCK TRAIL SYC CYN,TEM
,,19C068043,00:06:22 08/01/19,l,Property Check,4,109 N MCKINLEY ST; FOOD FOR LESS,COR
,,19C068044,00:07:51 08/01/19,l,911 Hangup,2,1592 FAIRWAY DR;PHS1,COR
,,19C068046,00:18:16 08/01/19,l,Domestic Distur,2,1797 WALLACE ST,COR
,,19C068048,00:26:19 08/01/19,l,Susp Vehicle,3,2331 KELLOGG AVE # A; CROSSROADS CHURCH,COR
,,19C068049,00:28:05 08/01/19,l,Trespass,3,1160 E ONTARIO AVE; CHIPOTLE; HOMELESS,COR
,,19C068050,00:34:43 08/01/19,f,ZZSick,1,785 N MAIN ST; ARCO AM PM,COR
,,19C068052,00:39:31 08/01/19,l,Domestic Distur,2,1063 CIRCLE CITY DR; POSS 594,COR
,,19C068054,00:50:02 08/01/19,f,ZZAA MedicalAid,1,511 TERMINO AVE,COR
,,19C068055,01:13:33 08/01/19,l,Prowler,2,217 W OLD MILL RD,COR
,,19C068058,01:29:28 08/01/19,l,911 Hangup,2,1071 W SIXTH ST,COR
,,19C068059,01:32:34 08/01/19,l,Traffic Stop,4,W THIRD ST & S VICENTIA AVE,COR
,,19C068060,01:42:05 08/01/19,l,Alarm Call,2,399 E HARRISON ST # E; FERMA GROUP,COR
,,19C068062,02:06:24 08/01/19,f,ZZSick,1,612 GREENGATE ST,COR
,,19C068063,02:07:11 08/01/19,f,ZZPublicSrvceF,2,1496 ELEGANTE CT,COR
,,19C068065,02:10:34 08/01/19,l,Alarm Call,2,1214 MAGNOLIA AVE; #101,COR
,,19C068068,02:16:58 08/01/19,l,Special Detail,4,800 S MAIN ST; CORONA REGIONAL MEDICAL CENTER,COR
,,19C068069,02:21:23 08/01/19,l,Property Check,4,1698 W SIXTH ST # A; 7 11 STORE WEST,COR
,,19C068070,02:33:26 08/01/19,l,Property Check,4,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C068072,02:42:15 08/01/19,l,911 Hangup,2,788 GIANNI DR # 103,COR
,,19C068074,02:55:08 08/01/19,l,Battery Past,3,1002 W EIGHTH ST,COR
,,19C068075,03:02:46 08/01/19,l,911 Hangup,2,815 E SIXTH ST,COR
,,19C068076,03:05:21 08/01/19,l,Property Check,4,2243 EAGLE GLEN PKWY; STATER BROS,COR
,,19C068077,03:25:56 08/01/19,l,Property Check,4,2323 S MAIN ST,COR
,,19C068078,03:45:20 08/01/19,l,Property Check,4,185 MAGNOLIA AVE; LEE POLLARD HIGH SCHOOL,COR
,,19C068079,03:57:19 08/01/19,l,Property Check,4,470 HIDDEN VALLEY PKWY; KOHLS,COR
,,19C068081,04:09:16 08/01/19,l,Citizen Contact,3,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C068082,04:11:18 08/01/19,l,Alarm Call,2,2765 LAKESHORE DR; CITRUS CITY GRILLE,COR
,,19C068083,04:12:33 08/01/19,l,Property Check,4,1355 E ONTARIO AVE,COR
,,19C068084,04:23:38 08/01/19,l,Alarm Call,2,510 HIDDEN VALLEY PKWY # 104; THE HOT DOG SHOPPE,COR
,,19C068085,04:26:48 08/01/19,l,Property Check,4,2780 LAKESHORE DR,COR
,,19C068086,04:34:08 08/01/19,l,Alarm Call,2,4105 CAMERON WAY # 101;VIDEO ALARM,COR
,,19C068087,04:40:01 08/01/19,f,ZZBreathing,1,1248 W SIXTH ST;#117 WELCOME INN,COR
,,19C068088,05:00:29 08/01/19,l,Property Check,4,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C068089,05:31:26 08/01/19,l,Susp Vehicle,3,1015 MONTECITO DR; RESIDENCE INN,COR
,,19C068090,05:43:44 08/01/19,l,Susp Person,3,702 E SIXTH ST; ARCO AM PM,COR
,,19C068091,05:56:24 08/01/19,lf,Structure Fire,1,805 S MERRILL ST,COR
,,19C068095,06:02:32 08/01/19,l,Alarm Call,2,2621 RESEARCH DR # 102; BRANCH AND COAST,COR
,,19C068096,06:04:01 08/01/19,l,911 Hangup,2,1200 S MERRILL ST,COR
,,19C068097,06:14:08 08/01/19,lf,ZZSick,1,RADIO RD & E SIXTH ST,COR
,,19C068098,06:39:54 08/01/19,l,Alarm Call,2,1132 OLYMPIC DR; THE YOUNG AMERICANS INC,COR
,,19C068099,06:40:13 08/01/19,l,Auto Theft Past,3,995 POMONA RD # 83,COR
,,19C068100,06:44:22 08/01/19,l,Trespass,3,420 N MCKINLEY ST # 102; PALM BEACH TAN,COR
,,19C068101,06:53:33 08/01/19,l,Traffic Stop,4,1160 CALIFORNIA AVE,COR
,,19C068103,07:03:10 08/01/19,l,Traffic Stop,4,OLYMPIC DR & CALIFORNIA AVE,COR
,,19C068104,07:03:21 08/01/19,l,Property Check,4,1900 AVIATION DR; CORONA AIRPORT,COR
,,19C068105,07:03:28 08/01/19,l,Property Check,4,470 HIDDEN VALLEY PKWY; KOHLS,COR
,,19C068106,07:04:55 08/01/19,l,Drunk In Public,2,504 S SMITH AVE,COR
,,19C068107,07:09:20 08/01/19,l,Ped Check,4,1400 CRESTA RD,COR
,,19C068108,07:10:06 08/01/19,f,ZZFwy Acc w/ inj,1,15 NB MAGNOLIA HIDDEN VALLEY,COR
,,19C068109,07:11:41 08/01/19,lf,ZZFwy UnkInjury,1,15 NB ON RAMP & MAGNOLIA AVE,COR
,,19C068111,07:18:19 08/01/19,l,Welfare Check,2,1141 NIMROD CIR,COR
,,19C068112,07:24:33 08/01/19,l,Standby,4,321 E SIXTH ST; CORONA COMMUNITY AME CHURCH,COR
,,19C068113,07:25:24 08/01/19,l,Traffic Detail,4,WIMBLEDON DR & BRITTANY DR,COR
,,19C068114,07:43:19 08/01/19,l,Property Check,4,2355 COMPTON AVE; LA FITNESS,COR
,,19C068115,07:43:28 08/01/19,l,Traffic Stop,4,1401 W SIXTH ST,COR
,,19C068117,07:47:39 08/01/19,l,911 Hangup,2,1211 W TENTH ST,COR
,,19C068118,07:48:01 08/01/19,l,Traffic Stop,4,E SIXTH ST & S HOWARD ST,COR
,,19C068119,07:52:31 08/01/19,l,Petty Theft P,4,321 W RINCON ST;#426; ARTISAN APTS; LL CONT,COR
,,19C068120,07:57:13 08/01/19,l,Alarm Call,2,399 E HARRISON ST # E; FERMA GROUP; FERMA CORP,COR
,,19C068122,08:02:12 08/01/19,l,Trespass,3,1450 W SIXTH ST # 115; R L OSBORN,COR
,,19C068123,08:02:57 08/01/19,l,Petty Theft P,4,933 CIMARRON LN; LL CONT,COR
,,19C068124,08:04:04 08/01/19,l,Citizen Contact,3,390 N MCKINLEY ST; FRONT COUNTER,COR
,,19C068125,08:06:02 08/01/19,l,Auto Theft Rec,4,79 E GRAND BLVD,COR
,,19C068126,08:08:50 08/01/19,l,Dist/Verbal,2,1290 E ONTARIO AVE; WALMART,COR
,,19C068127,08:09:12 08/01/19,l,Traffic Detail,4,3793 BEDFORD CANYON RD,COR
,,19C068130,08:15:08 08/01/19,l,Susp Person,3,1245 W NINTH ST,COR
,,19C068131,08:16:02 08/01/19,l,Property Check,4,465 N MCKINLEY ST; ALL STAR CAR WASH,COR
,,19C068132,08:24:29 08/01/19,l,Disturb Peace,3,W SIXTH ST & S SMITH AVE,COR
,,19C068133,08:28:58 08/01/19,l,Vehicle Check,4,EL SOBRANTE RD & CIRCLE CITY DR,COR
,,19C068134,08:31:08 08/01/19,l,CMC Violation,4,KELLOGG AVE & CANARY LN,COR
,,19C068135,08:35:12 08/01/19,l,Ill Parked Veh,4,1300 CAMELOT DR,COR
,,19C068136,08:37:58 08/01/19,l,Dist/Verbal,2,2071 COMPTON AVE # 102; VISTA MEDICAL,COR
,,19C068138,08:42:01 08/01/19,l,Accident,2,HARRINGTON ST & WINDSTREAM ST,COR
,,19C068139,08:45:04 08/01/19,l,911 Hangup,2,990 MARGARITA DR,COR
,,19C068140,08:46:11 08/01/19,l,911 Hangup,2,7407 RIVERSIDE,RVC
,,19C068141,08:46:44 08/01/19,l,Traffic Stop,4,1100 SHERBORN ST,COR
,,19C068142,08:46:59 08/01/19,l,Abandoned Veh,4,1400 KROONEN DR,COR
,,19C068144,08:47:58 08/01/19,f,ZZFall,1,4435 PUTTING GREEN DR,COR
,,19C068147,08:54:19 08/01/19,l,911 Hangup,2,250 E RINCON ST,COR
,,19C068148,08:56:32 08/01/19,l,Additional Info,4,12412 CLOUD BRUST - MORENO VALEY,RVC
,,19C068149,09:00:28 08/01/19,l,Abandoned Veh,4,CAROLWOOD DR & BORDER AVE,COR
,,19C068151,09:01:50 08/01/19,l,Traffic Stop,4,1208 MAGNOLIA AVE; SEARS OUTLET 9150 AT CORONA MARKETPLACE,COR
,,19C068153,09:09:52 08/01/19,l,911 Hangup,2,1525 PLAZA DE NOCHE,COR
,,19C068154,09:15:22 08/01/19,l,Alarm Call,2,3450 MOUNTAINSIDE CIR,COR
,,19C068158,09:36:21 08/01/19,f,ZZCarbon Alarm,2,1046 WESTBROOK ST; SIERRA COMMUNICATIONS GROUP,COR
,,19C068159,09:38:50 08/01/19,l,Susp Vehicle,3,WESTBROOK ST & GREENBRIAR DR,COR
,,19C068161,09:41:25 08/01/19,lf,Disturb Peace,3,1910 FRONTAGE RD; AYRES SUITES; REF TO LEAVE; j,COR
,,19C068162,09:47:36 08/01/19,f,ZZCommrcal Alrm,1,1229 RAILROAD ST,COR
,,19C068167,09:59:20 08/01/19,l,Welfare Check,2,777 S TEMESCAL ST # 26,COR
,,19C068168,10:00:12 08/01/19,l,911 Hangup,2,1054 MORNING SUN LN,COR
,,19C068169,10:02:11 08/01/19,l,Additional Info,4,1370 HOLIDAY CT;FRNT COUNTER,COR
,,19C068171,10:09:37 08/01/19,l,911 Hangup,2,598 SANTANA WAY,COR
,,19C068172,10:12:25 08/01/19,l,Follow Up,4,11711 COLLETT AVE RVSD,RIV
,,19C068173,10:15:18 08/01/19,l,Disturb Peace,3,1150 W TENTH ST ;TEST CALL ONLY,COR
,,19C068176,10:31:32 08/01/19,l,Dist/Verbal,2,938 HEDGES DR,COR
,,19C068177,10:31:47 08/01/19,l,Traffic Stop,4,1075 W SIXTH ST; PIZZA HUT PLOT,COR
,,19C068181,10:34:40 08/01/19,l,911 Hangup,2,1250 CORONA POINTE CT,COR
,,19C068182,10:37:28 08/01/19,l,Traffic Stop,4,205 N LINCOLN AVE; DOLLAR SELF STORAGE,COR
,,19C068183,10:42:07 08/01/19,lf,911 Hangup,2,365 N MAIN ST,COR
,,19C068186,10:45:01 08/01/19,l,Auto Theft Past,3,2250 TREEHOUSE LN,COR
,,19C068187,10:46:21 08/01/19,f,ZZSick,1,730 PUBLIC SAFETY WAY,COR
,,19C068188,10:50:01 08/01/19,l,Traffic Stop,4,E THIRD ST & E GRAND BLVD,COR
,,19C068189,10:50:03 08/01/19,l,Disturb Peace P,4,2176 CEDAR GLEN CIR;LOBBY,COR
,,19C068193,10:52:24 08/01/19,l,Battery,1,1267 W SIXTH ST; JAYS LIQUOR,COR
,,19C068194,10:54:20 08/01/19,l,Property Check,4,2331 CALIFORNIA AVE; EL POLLO LOCO,COR
,,19C068196,11:03:16 08/01/19,l,Citizen Contact,3,4740 GREEN RIVER RD # 316; STATEWIDE FUNDING,COR
,,19C068197,11:07:00 08/01/19,l,Fraud Past,4,2482 EMERSON CIR;LOBBBY,COR
,,19C068198,11:12:56 08/01/19,l,911 Hangup,2,451 WELLESLEY DR; PROMENADE TERRACE APARTMENTS,COR
,,19C068199,11:12:57 08/01/19,l,Alarm Call,2,1166 RIVER RD,COR
,,19C068200,11:14:15 08/01/19,l,Citizen Contact,3,3725 COPPER RIDGE DR,COR
,,19C068201,11:14:32 08/01/19,l,911 Hangup,2,770 PUBLIC SAFETY WAY,COR
,,19C068203,11:16:53 08/01/19,l,Disturb Peace,3,611 N MAIN ST; USA GAS,COR
,,19C068204,11:17:31 08/01/19,l,Traffic Stop,4,E FOOTHILL PKWY & FULLERTON AVE,COR
,,19C068205,11:21:21 08/01/19,l,Susp Vehicle,3,635 VIEW LN,COR
,,19C068206,11:22:55 08/01/19,l,911 Hangup,2,1150 W TENTH ST,COR
,,19C068207,11:24:07 08/01/19,l,911 Hangup,2,13455 ESTELLE ST,HGS
,,19C068208,11:27:41 08/01/19,l,Fraud Past,4,650 EBBCREEK ST;#545f;lobby,COR
,,19C068209,11:28:05 08/01/19,l,Assist Othr Dpt,3,3248 GREENVALE CIR,COR
,,19C068210,11:28:49 08/01/19,l,H&S Violation,3,S RAMONA AVE & E THIRD ST,COR
,,19C068211,11:31:25 08/01/19,l,Citizen Contact,3,1466 GARNET ST; FRONT COUNTER,COR
,,19C068212,11:33:12 08/01/19,l,Area Check,3,W SIXTH ST & S MAIN ST,COR
,,19C068213,11:37:26 08/01/19,l,Fraud Past,4,650 EBBCREEK ST;#545F;LOBBY,COR
,,19C068214,11:46:04 08/01/19,l,Patrol Info,4,163 N VICENTIA AVE,COR
,,19C068215,12:01:08 08/01/19,f,ZZCommrcal Alrm,1,255 E RINCON ST; AWP RINCON CORP PLAZA,COR
,,19C068216,12:01:28 08/01/19,l,Panhand/Solicit,3,120 W PARKRIDGE AVE; WALGREENS 07591 AT NORTH MAIN PLAZA,COR
,,19C068217,12:05:47 08/01/19,l,Disturb Peace,3,1900 FRONTAGE RD; AYRES SUITES,COR
,,19C068218,12:13:21 08/01/19,l,Welfare Check,2,1515 PLAZA DE NOCHE # 16,COR
,,19C068220,12:15:37 08/01/19,l,Suspicious Circ,3,401 E SIXTH ST; MOBIL GAS,COR
,,19C068222,12:24:17 08/01/19,lf,Cardiac Arrest,1,3547 BRIARVALE ST,HGS
,,19C068223,12:34:03 08/01/19,l,911 Hangup,2,110 W UPPER DR,COR
,,19C068224,12:40:15 08/01/19,l,Ill Parked Veh,4,1055 AQUAMARINE LN,COR
,,19C068225,12:41:15 08/01/19,l,Vandalism Past,4,126 N MERRILL ST,COR
,,19C068226,12:42:01 08/01/19,l,Welfare Check,2,3697 FOXPLAIN RD,COR
,,19C068227,12:43:07 08/01/19,l,Grand Theft P,4,2489 TUSCANY ST ;KOHLS,COR
,,19C068228,12:45:22 08/01/19,l,Domestic Distur,2,3319 WALKENRIDGE DR,COR
,,19C068230,12:50:17 08/01/19,l,Citizen Contact,3,3745 TEMESCAL CANYON RD; LL CONT FOR TRAFFIC,COR
,,19C068231,12:51:27 08/01/19,lf,Choking,1,275 TELLER ST # 130; SHOGUN,COR
,,19C068232,12:53:43 08/01/19,l,Disturb Peace,3,1322 W SIXTH ST; CVS,COR
,,19C068233,12:55:54 08/01/19,l,911 Hangup,2,1218 E ONTARIO AVE,COR
,,19C068236,13:01:54 08/01/19,f,ZZSick,1,555 E FIFTH ST # 103,COR
,,19C068237,13:04:26 08/01/19,f,ZZSick,1,2600 S MAIN ST; CORONA POST ACUTE; RM#167B,COR
,,19C068238,13:11:14 08/01/19,l,Disturb Peace,3,1252 W SIXTH ST # 106; LAW OFFICE,COR
,,19C068239,13:19:26 08/01/19,l,911 Hangup,2,134 N SHERMAN AVE,COR
,,19C068242,13:24:02 08/01/19,l,Area Check,3,BEDFORD CANYON RD & E FOOTHILL PKWY,COR
,,19C068243,13:29:38 08/01/19,f,Structure Fire,1,1089 W ONTARIO AVE,COR
,,19C068244,13:31:34 08/01/19,l,Cite Sign Off,4,730 PUBLIC SAFETY WAY; CORONA POLICE;LOBBY,COR
,,19C068246,13:34:55 08/01/19,l,Ill Parked Veh,4,1400 CAMELOT DR,COR
,,19C068247,13:36:06 08/01/19,l,Panhand/Solicit,3,785 N MAIN ST; ARCO AM PM,COR
,,19C068250,13:38:47 08/01/19,l,Assist Othr Dpt,3,1089 W ONTARIO AVE,COR
,,19C068251,13:49:11 08/01/19,l,Silent Comm 211,1,555 S PROMENADE AVE; QSC,COR
,,19C068252,13:51:08 08/01/19,l,Alarm Call,2,1300 SAN PONTE RD,COR
,,19C068253,13:56:44 08/01/19,l,Grand Theft P,4,451 WELLESLEY DR;PROMENADE TERRACE,COR
,,19C068254,13:56:46 08/01/19,l,911 Hangup,2,2601 GREEN RIVER RD ;PHASE 2,COR
,,19C068255,13:59:32 08/01/19,l,Public Service,3,3745 JULIETTE CIR,COR
,,19C068256,14:02:05 08/01/19,f,ZZ Fire Test,2,730 PUBLIC SAFETY WAY,COR
,,19C068257,14:06:22 08/01/19,l,Welfare Check,2,3100 S MAIN ST; MOUNTAINGATE PARK,COR
,,19C068258,14:08:35 08/01/19,l,Citizen Contact,3,126 N MERRILL ST,COR
,,19C068261,14:17:00 08/01/19,l,Fraud Past,4,448 MONDALE ST; FRONT COUNTER,COR
,,19C068264,14:23:07 08/01/19,l,Welfare Check,2,FOOTHILL AT SKYLINE,COR
,,19C068267,14:27:05 08/01/19,l,Abandoned Veh,4,1859 MYRTLE ST,COR
,,19C068268,14:29:32 08/01/19,l,Traffic Stop,4,S MAIN ST & E FRANCIS ST,COR
,,19C068269,14:29:56 08/01/19,l,911 Hangup,2,355 E RINCON ST # 210; WELLS FARGO HOME,COR
,,19C068271,14:35:58 08/01/19,l,Area Check,3,480 N MCKINLEY ST,COR
,,19C068272,14:44:55 08/01/19,l,Traffic Detail,4,2500 MANGULAR AVE,COR
,,19C068273,14:46:28 08/01/19,l,Veh Burg Past,4,1375 SAMPSON AVE; LULA ROE,COR
,,19C068274,14:48:03 08/01/19,f,ZZBreathing,1,671 STONEYBROOK DR # 31,COR
YES,'Nature' garbled text (embedded symbol),19C068276,14:51:28 08/01/19,f,ZZFaint/Uncons,1,1280 CORONA POINTE CT; #112; CITY OF HOPE,COR
,,19C068277,14:53:28 08/01/19,l,Brandish Weapon,1,928 N COTA ST,COR
,,19C068278,14:56:31 08/01/19,l,Citizen Contact,3,1003 RIDGEWOOD DR; FRONT COUNTER,COR
,,19C068280,15:07:13 08/01/19,l,Welfare Check,2,2469 MCMACKIN DR,COR
,,19C068281,15:13:15 08/01/19,l,911 Hangup,2,2045 COMPTON AVE; #101; LOMA LINDA UNIV MEDICAL,COR
,,19C068282,15:14:30 08/01/19,l,Trespass,3,117 N COTA ST,COR
,,19C068283,15:21:12 08/01/19,l,911 Hangup,2,2035 RIVER RD,NOR
,,19C068284,15:23:33 08/01/19,l,Ill Parked Veh,4,865 W ORANGE HEIGHTS LN,COR
,,19C068285,15:23:56 08/01/19,l,911 Hangup,2,1218 W ONTARIO AVE; PHASE 1 HANG UP,COR
,,19C068287,15:25:56 08/01/19,f,ZZSick,1,3412 WEXFORD CIR,COR
,,19C068288,15:35:00 08/01/19,l,Citizen Contact,3,1025 CIRCLE CITY DR;FRNT LOBBY,COR
,,19C068289,15:38:31 08/01/19,f,ZZFall,1,1550 RIMPAU AVE # 102,COR
,,19C068290,15:42:25 08/01/19,l,Alarm Call,2,2744 PLUMWOOD LN,COR
,,19C068291,15:43:16 08/01/19,l,Disturb Peace P,4,3555 GRAND OAKS; CHICK FIL A,COR
,,19C068292,15:43:52 08/01/19,l,Ped Check,4,E FOURTH ST & S RAMONA AVE,COR
,,19C068294,15:45:16 08/01/19,f,ZZChest Pains,1,3556 HILLVIEW DR,HGS
,,19C068295,15:45:36 08/01/19,f,ZZDiabetic,1,2520 KINGSTON DR,COR
,,19C068297,15:53:06 08/01/19,lf,Man Down,1,S MAIN ST & E ONTARIO AVE,COR
,,19C068298,15:53:52 08/01/19,f,ZZPublicSrvceF,2,S SMITH AVE & PLEASANT VIEW AVE,COR
,,19C068299,15:58:14 08/01/19,l,Drunk Driver,2,W FOOTHILL PKWY & PASEO GRANDE,COR
,,19C068301,16:08:01 08/01/19,l,Additional Info,4,401 S LINCOLN AVE # J; CHECK INTO CASH,COR
,,19C068302,16:17:41 08/01/19,l,911 Hangup,2,20170 LAYTON ST,ELC
,,19C068303,16:20:23 08/01/19,l,Assault Wpn P,2,2055 S MAIN ST;LL CONT,COR
,,19C068304,16:22:43 08/01/19,l,Cite Sign Off,4,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C068306,16:25:50 08/01/19,l,Alarm Call,2,2812 SWEET RAIN CIR,COR
,,19C068307,16:27:00 08/01/19,l,Special Detail,4,200 N LINCOLN AVE; MOTEL 6,COR
,,19C068308,16:29:29 08/01/19,l,911 Hangup,2,2430 TUSCANY ST; BEST BUY STORES L P 847 AT THE CROSSINGS,COR
,,19C068309,16:34:07 08/01/19,l,Petty Theft P,2,479 N MCKINLEY ST; WALMART,COR
,,19C068311,16:41:14 08/01/19,l,Patrol Info,4,904 E SIXTH ST; CORONA CHAMBER OF COMMERCE,COR
,,19C068312,16:42:34 08/01/19,f,ZZSick,1,4020 ROYAL VISTA CIR,COR
,,19C068313,16:43:33 08/01/19,l,Traffic Stop,4,VIA SANTIAGO & VIA FELIPE,COR
,,19C068314,16:43:58 08/01/19,l,Citizen Contact,3,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C068315,16:50:21 08/01/19,l,Patrol Info,4,1150 W TENTH ST; CORONA HIGH SCHOOL,COR
,,19C068316,16:56:22 08/01/19,f,ZZPublicSrvceF,2,1229 KELLEY AVE,COR
,,19C068317,16:56:33 08/01/19,f,ZZSick,1,1315 MAGNOLIA AVE # 102; JACK IN THE BOX,COR
,,19C068318,17:02:36 08/01/19,l,Missing Person,2,1228 MIRASOL LN; LL CONT,COR
,,19C068319,17:06:01 08/01/19,l,Ped Check,4,2500 CABOT DR; DOS LAGOS SHOPPING CENTER,COR
,,19C068323,17:15:48 08/01/19,l,Disturb Peace,2,1745 SAMPSON AVE;ARIZONA PIPELINE,COR
,,19C068324,17:16:51 08/01/19,l,911 Hangup,2,623 N MAIN ST; #D6; CORONA LIFE SERVICES,COR
,,19C068326,17:22:26 08/01/19,l,Patrol Info,4,470 HIDDEN VALLEY PKWY; KOHLS,COR
,,19C068328,17:30:39 08/01/19,l,Robbery,1,598 SANTANA WAY; SANTANA PARK,COR
,,19C068329,17:36:38 08/01/19,l,Traffic Stop,4,W SIXTH ST & S BELLE AVE,COR
,,19C068330,17:44:49 08/01/19,lf,Accident Inj,1,MAGNOLIA AVE & S NEECE ST,COR
,,19C068331,17:47:01 08/01/19,l,911 Hangup,2,1229 KELLEY AVE,COR
,,19C068333,17:50:14 08/01/19,l,Petty Theft,3,470 HIDDEN VALLEY PKWY; KOHLS,COR
,,19C068334,17:53:06 08/01/19,l,Alarm Call,2,1121 RAILROAD ST # 101; R AND J FABRICATORS,COR
,,19C068335,17:56:53 08/01/19,l,Alarm Call,2,2880 KEYSTONE CIR; AUDIBLE RESD PANIC,COR
,,19C068337,18:08:51 08/01/19,l,Disturb Peace,2,137 N BUENA VISTA AVE ; aventine court apts ;POSS 273AP,COR
,,19C068338,18:09:39 08/01/19,l,Dist/Verbal,2,347 N GRANT AVE; FAMILY,COR
,,19C068339,18:11:52 08/01/19,l,Susp Vehicle,3,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C068340,18:21:28 08/01/19,l,Susp Vehicle,3,OLD TEMESCAL RD & VIA COMO CT,COR
,,19C068342,18:22:53 08/01/19,l,Petty Theft P,4,550 HIDDEN VALLEY PKWY; STATER BROS MARKETS,COR
,,19C068344,18:28:03 08/01/19,l,Citizen Contact,3,2355 COMPTON AVE; LA FITNESS ; LL CONT,COR
,,19C068345,18:28:22 08/01/19,l,Disturb Peace,3,450 AUTO CENTER DR; IN N OUT BURGER 25,COR
,,19C068347,18:33:24 08/01/19,l,911 Hangup,2,1660 LEESON LN,COR
,,19C068348,18:35:12 08/01/19,l,Found Property,4,321 W RINCON ST; #426,COR
,,19C068351,18:40:05 08/01/19,f,ZZ Fire Test,2,730 PUBLIC SAFETY WAY,COR
YES,'Nature' garbled text (embedded symbol),19C068352,18:44:39 08/01/19,f,ZZFaint/Uncons,1,1113 ANDREW LN,COR
,,19C068354,18:46:57 08/01/19,l,Susp Vehicle,3,FALCON CIR & MABEY CANYON RD,COR
,,19C068355,18:49:18 08/01/19,l,Loitering,3,815 RIMPAU AVE,COR
,,19C068357,18:58:29 08/01/19,l,Welfare Check,2,1950 NUTWOOD CIR,COR
,,19C068361,19:05:30 08/01/19,l,Ped Check,4,610 N MAIN ST; EL POLLO LOCO,COR
,,19C068363,19:08:05 08/01/19,l,Follow Up,4,730 PUBLIC SAFETY WAY; CORONA POLICE,COR
,,19C068364,19:08:23 08/01/19,l,911 Hangup,2,930 E SIXTH ST; CITY PARK,COR
,,19C068365,19:08:27 08/01/19,l,Patrol Info,4,3555 GRAND OAKS; CHICK FIL A,COR
,,19C068366,19:09:05 08/01/19,l,911 Hangup,2,1151 W SIXTH ST,COR
,,19C068367,19:10:06 08/01/19,l,911 Hangup,2,1801 BOWDOIN ST ; PHASE 2 HNG UP,COR
,,19C068368,19:12:02 08/01/19,l,Susp Person,3,1553 W ONTARIO AVE,COR
,,19C068369,19:13:11 08/01/19,l,Ped Check,4,W GRAND BLVD & W NINTH ST,COR
,,19C068371,19:21:33 08/01/19,l,911 Hangup,2,1251 DUXBURY CIR ; VOIP,COR
,,19C068372,19:24:37 08/01/19,f,ZZFall,1,2300 S MAIN ST # 201; VALENCIA TERRACE,COR
,,19C068373,19:24:50 08/01/19,lf,Accident Inj,1,W OLIVE ST & S BUENA VISTA AVE,COR
,,19C068374,19:25:01 08/01/19,f,ZZSick,1,4901 GREEN RIVER RD # 237,COR
,,19C068376,19:26:23 08/01/19,l,Resid Burg I/P,2,1507 SAN RAFAEL DR; POSS,COR
,,19C068379,19:30:22 08/01/19,l,Alarm Call,2,1014 VIA VIENTO LN ;AUD RESD,COR
,,19C068378,19:30:22 08/01/19,l,Citizen Contact,3,1129 S MERRILL ST;LL CONT,COR
,,19C068380,19:30:45 08/01/19,l,Accident,2,S MAIN ST & W FIFTH ST,COR
,,19C068383,19:37:59 08/01/19,l,Vandalism Past,4,720 N MAIN ST; BURLINGTON COAT,COR
