Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,460 BOSTON POST ROAD EAST Apt. #B412,Marlborough,,,Marlborough PD,,00:50,,,01/01/2015,2015 - Press Log.pdf,1
,,Medical,,Services Rendered- FD,No,,460 BOSTON POST ROAD EAST Apt. #B412,Marlborough,,,Marlborough PD,,00:50,,,01/01/2015,2015 - Press Log.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,21 NORWOOD ST,Marlborough,,,Marlborough PD,,01:06,,,01/01/2015,2015 - Press Log.pdf,1
,,Medical,,Services Rendered- FD,No,,21 NORWOOD ST,Marlborough,,,Marlborough PD,,01:08,,,01/01/2015,2015 - Press Log.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,159 STEVENS ST,Marlborough,,,Marlborough PD,,01:12,,,01/01/2015,2015 - Press Log.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,146 MAPLE ST,Marlborough,,,Marlborough PD,,01:18,,,01/01/2015,2015 - Press Log.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,189 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,01:31,,,01/01/2015,2015 - Press Log.pdf,1
,,Suspicious M/V,,Unfounded,No,,200 MAIN ST,Marlborough,,,Marlborough PD,,01:33,,,01/01/2015,2015 - Press Log.pdf,1
,,Medical,,Services Rendered- FD,No,,99 PLEASANT ST Apt. #201,Marlborough,,,Marlborough PD,,01:38,,,01/01/2015,2015 - Press Log.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #201,Marlborough,,,Marlborough PD,,01:39,,,01/01/2015,2015 - Press Log.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,460 BOSTON POST ROAD EAST Apt. #B407,Marlborough,,,Marlborough PD,,01:41,,,01/01/2015,2015 - Press Log.pdf,1
,,Medical,,Services Rendered- FD,No,,460 BOSTON POST ROAD EAST Apt. #407,Marlborough,,,Marlborough PD,,01:42,,,01/01/2015,2015 - Press Log.pdf,1
,,COMPLAINT,,Services Rendered- PD,No,,123 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,01:47,,,01/01/2015,2015 - Press Log.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,15 WEST MAIN ST @ 2 HAYDEN ST,Marlborough,,,Marlborough PD,,01:59,,,01/01/2015,2015 - Press Log.pdf,1
