Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST Apt. #101,Marlborough,,,Marlborough PD,,00:07,,,01/01/2016,2016 - Press Log.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #101,Marlborough,,,Marlborough PD,,00:12,,,01/01/2016,2016 - Press Log.pdf,1
,,Medical,,Transported to Hospital,No,,420 HEMENWAY ST Apt. #364,Marlborough,,,Marlborough PD,,00:18,,,01/01/2016,2016 - Press Log.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,420 HEMENWAY ST Apt. #364,Marlborough,,,Marlborough PD,,00:19,,,01/01/2016,2016 - Press Log.pdf,1
,,DISTURBANCE,,Unfounded,No,,25 BRIARWOOD LN,Marlborough,,,Marlborough PD,,00:22,,,01/01/2016,2016 - Press Log.pdf,1
,,DISTURBANCE,,Unfounded,No,,510 LINCOLN ST @ 72 GRANT ST,Marlborough,,,Marlborough PD,,00:23,,,01/01/2016,2016 - Press Log.pdf,1
,,DISTURBANCE,,Report,Yes,,181 BOSTON POST ROAD EAST Apt. #55,Marlborough,,,Marlborough PD,,00:51,,,01/01/2016,2016 - Press Log.pdf,1
,,DISTURBANCE,,Unfounded,No,,139 KINGS VIEW RD @ 126 CROSBY RD,Marlborough,,,Marlborough PD,,00:52,,,01/01/2016,2016 - Press Log.pdf,1
,,ASSIST CITIZEN,,Unfounded,No,,2 SILVER ST Apt. #3,Marlborough,,,Marlborough PD,,01:06,,,01/01/2016,2016 - Press Log.pdf,1
,,Suspicious M/V,,Unfounded,No,,24 BIGELOW ST @ 511 ELM ST,Marlborough,,,Marlborough PD,,01:12,,,01/01/2016,2016 - Press Log.pdf,1
,,Well being check,,Arrest(s) Made,Yes,16-1-AR,143 NASHOBA DR,Marlborough,,,Marlborough PD,,01:40,,,01/01/2016,2016 - Press Log.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,28 NEIL ST,Marlborough,,,Marlborough PD,,01:43,,,01/01/2016,2016 - Press Log.pdf,1
,,DISTURBANCE,,Unfounded,No,,GRANT ST,Marlborough,,,Marlborough PD,,02:28,,,01/01/2016,2016 - Press Log.pdf,1
,,Medical,,Transported to Hospital,No,,397 BOLTON ST Apt. #B,Marlborough,,,Marlborough PD,,02:54,,,01/01/2016,2016 - Press Log.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,397 BOLTON ST Apt. #B5,Marlborough,,,Marlborough PD,,02:56,,,01/01/2016,2016 - Press Log.pdf,1
,,MOTOR VEHICLE STOP,,Arrest(s) Made,Yes,16-2-AR,402 MAPLE ST,Marlborough,,,Marlborough PD,,02:57,,,01/01/2016,2016 - Press Log.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,03:21,,,01/01/2016,2016 - Press Log.pdf,2
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #116,Marlborough,,,Marlborough PD,,03:52,,,01/01/2016,2016 - Press Log.pdf,2
,,DISTURBANCE,,Report,Yes,,LINCOLN ST,Marlborough,,,Marlborough PD,,04:01,,,01/01/2016,2016 - Press Log.pdf,2
,,SUSPICIOUS ACTIVITY,,Arrest(s) Made,Yes,,63 WEST MAIN ST,Marlborough,,,Marlborough PD,,05:36,,,01/01/2016,2016 - Press Log.pdf,2
,,DISABLED MV,,No Action Required,No,,525 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,06:42,,,01/01/2016,2016 - Press Log.pdf,2
,,DPW Called Out,,Services Rendered- PD,No,,17 MUIR WAY,Marlborough,,,Marlborough PD,,09:10,,,01/01/2016,2016 - Press Log.pdf,2
,,"BURGLARY, B & E PAST",,Report,Yes,,679 STEVENS ST,Marlborough,,,Marlborough PD,,09:31,,,01/01/2016,2016 - Press Log.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,240 HEMENWAY ST,Marlborough,,,Marlborough PD,,09:44,,,01/01/2016,2016 - Press Log.pdf,2
,,Medical,,Report,Yes,,240 HEMENWAY ST,Marlborough,,,Marlborough PD,,09:44,,,01/01/2016,2016 - Press Log.pdf,2
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,BIGELOW ST @ NASHOBA DR,Marlborough,,,Marlborough PD,,09:49,,,01/01/2016,2016 - Press Log.pdf,2
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,481 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:53,,,01/01/2016,2016 - Press Log.pdf,2
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,451 BOLTON ST,Marlborough,,,Marlborough PD,,09:55,,,01/01/2016,2016 - Press Log.pdf,2
,,Medical,,Report,Yes,,41 STETSON DR,Marlborough,,,Marlborough PD,,10:07,,,01/01/2016,2016 - Press Log.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,41 STETSON DR,Marlborough,,,Marlborough PD,,10:07,,,01/01/2016,2016 - Press Log.pdf,2
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,281 PLEASANT ST @ 103 RUSSELL ST,Marlborough,,,Marlborough PD,,10:49,,,01/01/2016,2016 - Press Log.pdf,2
,,Public Assist,,Services Rendered- PD,No,,53 CRESTWOOD LN,Marlborough,,,Marlborough PD,,11:01,,,01/01/2016,2016 - Press Log.pdf,2
,,Animal Complaint,,Services Rendered- PD,No,,342 SUDBURY ST,Marlborough,,,Marlborough PD,,11:31,,,01/01/2016,2016 - Press Log.pdf,2
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,555 FARM RD,Marlborough,,,Marlborough PD,,11:39,,,01/01/2016,2016 - Press Log.pdf,2
,,Police Assist,,Services Rendered- PD,No,,157 UNION ST,Marlborough,,,Marlborough PD,,11:42,,,01/01/2016,2016 - Press Log.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,199 LAKESIDE AVE,Marlborough,,,Marlborough PD,,11:46,,,01/01/2016,2016 - Press Log.pdf,3
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,769 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,11:47,,,01/01/2016,2016 - Press Log.pdf,3
,,Threats,,Services Rendered- PD,No,,509 LINCOLN ST Apt. #7,Marlborough,,,Marlborough PD,,12:36,,,01/01/2016,2016 - Press Log.pdf,3
,,Police Assist,,Services Rendered- PD,No,,417 MAPLE ST,Marlborough,,,Marlborough PD,,13:03,,,01/01/2016,2016 - Press Log.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,82 BRIGHAM ST,Marlborough,,,Marlborough PD,,13:55,,,01/01/2016,2016 - Press Log.pdf,3
,,911 Hangup/Call,,Services Rendered- PD,No,,402 HEMENWAY ST Apt. #125,Marlborough,,,Marlborough PD,,14:03,,,01/01/2016,2016 - Press Log.pdf,3
,,Medical,,Report,Yes,,133 WAGON HILL RD,Marlborough,,,Marlborough PD,,14:05,,,01/01/2016,2016 - Press Log.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,133 WAGON HILL RD,Marlborough,,,Marlborough PD,,14:08,,,01/01/2016,2016 - Press Log.pdf,3
,,Well being check,,Services Rendered- PD,No,,26 GLEASON STREET EXTEN,Marlborough,,,Marlborough PD,,14:31,,,01/01/2016,2016 - Press Log.pdf,3
,,Medical,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #308,Marlborough,,,Marlborough PD,,15:01,,,01/01/2016,2016 - Press Log.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #308,Marlborough,,,Marlborough PD,,15:01,,,01/01/2016,2016 - Press Log.pdf,3
,,Harassment,,Report,Yes,,31 ROBIN HOOD RD,Marlborough,,,Marlborough PD,,16:11,,,01/01/2016,2016 - Press Log.pdf,3
,,Ambulance Assist,,Report,Yes,,20 FRONT ST,Marlborough,,,Marlborough PD,,16:38,,,01/01/2016,2016 - Press Log.pdf,3
,,Ambulance Only,,Transported to Hospital,No,,20 FRONT ST,Marlborough,,,Marlborough PD,,16:38,,,01/01/2016,2016 - Press Log.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,DONALD J. LYNCH BLVD @ BIGELOW ST,Marlborough,,,Marlborough PD,,16:40,,,01/01/2016,2016 - Press Log.pdf,3
,,Motor vehicle accident I,,Transported to Hospital,No,,DONALD J. LYNCH BLVD @ BIGELOW ST,Marlborough,,,Marlborough PD,,16:41,,,01/01/2016,2016 - Press Log.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,269 EAST MAIN ST,Marlborough,,,Marlborough PD,,17:16,,,01/01/2016,2016 - Press Log.pdf,3
,,Suspicious M/V,,Vehicle Towed,No,,105 GRANGER BLVD @ 11 NEWTON ST,Marlborough,,,Marlborough PD,,17:40,,,01/01/2016,2016 - Press Log.pdf,3
,,SUSPICIOUS ACTIVITY,,Report,Yes,,591 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,18:10,,,01/01/2016,2016 - Press Log.pdf,3
,,Medical,,Transported to Hospital,No,,268 HOSMER ST,Marlborough,,,Marlborough PD,,18:14,,,01/01/2016,2016 - Press Log.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,268 HOSMER ST,Marlborough,,,Marlborough PD,,18:15,,,01/01/2016,2016 - Press Log.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,601 DONALD J. LYNCH BLVD Apt. #S134,Marlborough,,,Marlborough PD,,18:32,,,01/01/2016,2016 - Press Log.pdf,4
,,Medical,,Transported to Hospital,No,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,18:32,,,01/01/2016,2016 - Press Log.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,ROUTE 290 CONNECTOR,Marlborough,,,Marlborough PD,,19:00,,,01/01/2016,2016 - Press Log.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,19:23,,,01/01/2016,2016 - Press Log.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,90 MAPLE ST,Marlborough,,,Marlborough PD,,19:43,,,01/01/2016,2016 - Press Log.pdf,4
,,Medical,,Transported to Hospital,No,,728 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,19:45,,,01/01/2016,2016 - Press Log.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,728 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,19:46,,,01/01/2016,2016 - Press Log.pdf,4
,,Medical,,Transported to Hospital,No,,19 CATHERINE DR,Marlborough,,,Marlborough PD,,19:52,,,01/01/2016,2016 - Press Log.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,19 CATHERINE DR,Marlborough,,,Marlborough PD,,19:55,,,01/01/2016,2016 - Press Log.pdf,4
,,Ambulance Only,,Transported to Hospital,No,,[HUD] 307 CENTRAL ST Apt. #2113,Marlborough,,,Marlborough PD,,19:58,,,01/01/2016,2016 - Press Log.pdf,4
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,11 MASCIARELLI DR,Marlborough,,,Marlborough PD,,20:18,,,01/01/2016,2016 - Press Log.pdf,4
,,DISABLED MV,,Services Rendered- PD,No,,187 PLEASANT ST @ 6 PEARL ST,Marlborough,,,Marlborough PD,,21:30,,,01/01/2016,2016 - Press Log.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,50 WINTHROP ST Apt. #1,Marlborough,,,Marlborough PD,,00:34,,,01/02/2016,2016 - Press Log.pdf,4
,,Medical,,Transported to Hospital,No,,50 WINTHROP ST Apt. #1,Marlborough,,,Marlborough PD,,00:35,,,01/02/2016,2016 - Press Log.pdf,4
,,Medical,,Transported to Hospital,No,,19 WITHERBEE ST Apt. #2,Marlborough,,,Marlborough PD,,01:04,,,01/02/2016,2016 - Press Log.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,13 GRAHAM PATH,Marlborough,,,Marlborough PD,,01:09,,,01/02/2016,2016 - Press Log.pdf,5
,,Medical,,Transported to Hospital,No,,13 GRAHAM PATH,Marlborough,,,Marlborough PD,,01:09,,,01/02/2016,2016 - Press Log.pdf,5
,,911 Hangup/Call,,Building Checked/Secured,No,,45 BARTLETT ST,Marlborough,,,Marlborough PD,,01:56,,,01/02/2016,2016 - Press Log.pdf,5
,,ASSIST CITIZEN,,Services Rendered- PD,No,,397 BOLTON ST Apt. #H1,Marlborough,,,Marlborough PD,,02:19,,,01/02/2016,2016 - Press Log.pdf,5
,,BUILDING CHECK,,Building Checked/Secured,No,,40 NEW ST,Marlborough,,,Marlborough PD,,02:56,,,01/02/2016,2016 - Press Log.pdf,5
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,03:39,,,01/02/2016,2016 - Press Log.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #274,Marlborough,,,Marlborough PD,,03:53,,,01/02/2016,2016 - Press Log.pdf,5
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #274,Marlborough,,,Marlborough PD,,03:54,,,01/02/2016,2016 - Press Log.pdf,5
,,DISABLED MV,,Services Rendered- PD,No,,32 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,04:16,,,01/02/2016,2016 - Press Log.pdf,5
,,ASSIST OTHER AGENCY,,Report,Yes,,FRONT ST,Marlborough,,,Marlborough PD,,07:01,,,01/02/2016,2016 - Press Log.pdf,5
,,Animal Complaint,,Unfounded,No,,BRIGHAM ST,Marlborough,,,Marlborough PD,,08:08,,,01/02/2016,2016 - Press Log.pdf,5
,,Parking Violation,,Services Rendered- PD,No,,20 BOND ST,Marlborough,,,Marlborough PD,,08:09,,,01/02/2016,2016 - Press Log.pdf,5
,,Medical,,Report,Yes,,400 HEMENWAY ST Apt. #182,Marlborough,,,Marlborough PD,,09:58,,,01/02/2016,2016 - Press Log.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #182,Marlborough,,,Marlborough PD,,09:59,,,01/02/2016,2016 - Press Log.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,50 WITHERBEE ST,Marlborough,,,Marlborough PD,,10:46,,,01/02/2016,2016 - Press Log.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,235 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,10:49,,,01/02/2016,2016 - Press Log.pdf,5
,,Medical,,Report,Yes,,99 ESSEX ST,Marlborough,,,Marlborough PD,,11:06,,,01/02/2016,2016 - Press Log.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,99 ESSEX ST,Marlborough,,,Marlborough PD,,11:08,,,01/02/2016,2016 - Press Log.pdf,5
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,HAYES MEMORIAL DR @ BARTLETT ST,Marlborough,,,Marlborough PD,,11:19,,,01/02/2016,2016 - Press Log.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,121 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,11:30,,,01/02/2016,2016 - Press Log.pdf,6
,,911 Hangup/Call,,Services Rendered- PD,No,,769 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,11:36,,,01/02/2016,2016 - Press Log.pdf,6
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:58,,,01/02/2016,2016 - Press Log.pdf,6
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,141 MAPLE ST,Marlborough,,,Marlborough PD,,12:17,,,01/02/2016,2016 - Press Log.pdf,6
,,Medical,,Report,Yes,,42 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,12:32,,,01/02/2016,2016 - Press Log.pdf,6
,,Ambulance Assist,,Services Rendered- PD,No,,42 BOSTON POST ROAD WEST Apt. #307,Marlborough,,,Marlborough PD,,12:33,,,01/02/2016,2016 - Press Log.pdf,6
,,Medical,,Report,Yes,,121 NORTHBORO ROAD EAST Apt. #307,Marlborough,,,Marlborough PD,,12:36,,,01/02/2016,2016 - Press Log.pdf,6
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #307,Marlborough,,,Marlborough PD,,12:38,,,01/02/2016,2016 - Press Log.pdf,6
,,LARCENY,,Report,Yes,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,13:17,,,01/02/2016,2016 - Press Log.pdf,6
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,277 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,13:52,,,01/02/2016,2016 - Press Log.pdf,6
,,Ambulance Assist,,Services Rendered- PD,No,,13 AVALON DR Apt. #11,Marlborough,,,Marlborough PD,,14:36,,,01/02/2016,2016 - Press Log.pdf,6
,,Medical,,Report,Yes,,13 AVALON DR Apt. #11,Marlborough,,,Marlborough PD,,14:37,,,01/02/2016,2016 - Press Log.pdf,6
,,MVA WITH INJURIES,,Report,Yes,,531 LINCOLN ST @ 85 BROAD ST,Marlborough,,,Marlborough PD,,15:04,,,01/02/2016,2016 - Press Log.pdf,6
,,Motor vehicle accident I,,Report,Yes,,82 BROAD ST,Marlborough,,,Marlborough PD,,15:04,,,01/02/2016,2016 - Press Log.pdf,6
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,450 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,15:28,,,01/02/2016,2016 - Press Log.pdf,6
,,Medical,,Transported to Hospital,No,,240 MAIN ST Apt. #110,Marlborough,,,Marlborough PD,,15:43,,,01/02/2016,2016 - Press Log.pdf,6
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST Apt. #110,Marlborough,,,Marlborough PD,,15:43,,,01/02/2016,2016 - Press Log.pdf,6
,,Medical,,Transported to Hospital,No,,99 GRANGER BLVD,Marlborough,,,Marlborough PD,,16:47,,,01/02/2016,2016 - Press Log.pdf,6
,,Ambulance Assist,,Services Rendered- PD,No,,99 GRANGER BLVD,Marlborough,,,Marlborough PD,,16:50,,,01/02/2016,2016 - Press Log.pdf,6
,,Motor vehicle accident I,,Services Rendered- FD,No,,1015 BOSTON POST ROAD EAST @ 64 WAYSIDE INN RD,Marlborough,,,Marlborough PD,,16:51,,,01/02/2016,2016 - Press Log.pdf,7
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,1015 BOSTON POST ROAD EAST @ 64 WAYSIDE INN RD,Marlborough,,,Marlborough PD,,16:53,,,01/02/2016,2016 - Press Log.pdf,7
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,370 BOLTON ST,Marlborough,,,Marlborough PD,,17:34,,,01/02/2016,2016 - Press Log.pdf,7
,,Harassment,,Services Rendered- PD,No,,60 EAST MAIN ST Apt. #1,Marlborough,,,Marlborough PD,,18:05,,,01/02/2016,2016 - Press Log.pdf,7
,,Well being check,,Services Rendered- PD,No,,LINCOLN ST @ GIBBONS ST,Marlborough,,,Marlborough PD,,18:18,,,01/02/2016,2016 - Press Log.pdf,7
,,Medical,,Transported to Hospital,No,,LINCOLN ST @ GIBBONS ST,Marlborough,,,Marlborough PD,,18:20,,,01/02/2016,2016 - Press Log.pdf,7
,,Medical,,Transported to Hospital,No,,23 CENTRAL ST,Marlborough,,,Marlborough PD,,18:40,,,01/02/2016,2016 - Press Log.pdf,7
,,Ambulance Assist,,Services Rendered- PD,No,,23 CENTRAL ST,Marlborough,,,Marlborough PD,,18:40,,,01/02/2016,2016 - Press Log.pdf,7
,,DPW Called Out,,Services Rendered- PD,No,,56 KINGS GRANT RD,Marlborough,,,Marlborough PD,,19:27,,,01/02/2016,2016 - Press Log.pdf,7
,,Ambulance Assist,,Services Rendered- PD,No,,521 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,19:32,,,01/02/2016,2016 - Press Log.pdf,7
,,Medical,,Services Rendered- FD,No,,521 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,19:32,,,01/02/2016,2016 - Press Log.pdf,7
,,Medical,,Transported to Hospital,No,,15 BRIMSMEAD ST,Marlborough,,,Marlborough PD,,19:51,,,01/02/2016,2016 - Press Log.pdf,7
,,Ambulance Assist,,Services Rendered- PD,No,,15 BRIMSMEAD ST,Marlborough,,,Marlborough PD,,19:52,,,01/02/2016,2016 - Press Log.pdf,7
,,Medical,,Services Rendered- FD,No,,25 HOSMER ST Apt. #9,Marlborough,,,Marlborough PD,,19:58,,,01/02/2016,2016 - Press Log.pdf,7
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,512 HOSMER ST,Marlborough,,,Marlborough PD,,21:01,,,01/02/2016,2016 - Press Log.pdf,7
,,DISTURBANCE,,Report,Yes,,155 BROADMEADOW RD Apt. #8,Marlborough,,,Marlborough PD,,21:23,,,01/02/2016,2016 - Press Log.pdf,7
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,400 HUDSON ST @ 290 BOLTON ST,Marlborough,,,Marlborough PD,,22:00,,,01/02/2016,2016 - Press Log.pdf,7
,,Medical,,Transported to Hospital,No,,29 ROYAL CREST DR Apt. #7,Marlborough,,,Marlborough PD,,22:19,,,01/02/2016,2016 - Press Log.pdf,7
,,Ambulance Assist,,Services Rendered- PD,No,,29 ROYAL CREST DR Apt. #7,Marlborough,,,Marlborough PD,,22:20,,,01/02/2016,2016 - Press Log.pdf,7
