Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,FAMILY RESIDENTIAL - 164 LINCOLN ST Apt. #2,Marlborough,,,Marlborough PD,,07:00,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,235 WEST MAIN ST,Marlborough,,,Marlborough PD,,07:08,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,Private Tow,,Services Rendered- PD,No,,39 BRIARWOOD LN,Marlborough,,,Marlborough PD,,07:19,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,Private Tow,,Services Rendered- PD,No,,20 CRESCENT ST,Marlborough,,,Marlborough PD,,07:21,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,420 MAPLE ST Apt. #2,Marlborough,,,Marlborough PD,,08:05,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,85 BROAD ST,Marlborough,,,Marlborough PD,,08:19,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:30,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,554 BOSTON POST ROAD EAST Apt. #C,Marlborough,,,Marlborough PD,,08:32,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,355 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:33,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:36,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,08:59,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,BELMONT STREET EXT,Marlborough,,,Marlborough PD,,09:32,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,67 FOREST ST,Marlborough,,,Marlborough PD,,09:43,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,09:45,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,28 PARIS ST Apt. #202,Marlborough,,,Marlborough PD,,10:35,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #211,Marlborough,,,Marlborough PD,,10:42,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,BUILDING CHECK,,Services Rendered- PD,No,,370 STEARNS RD,Marlborough,,,Marlborough PD,,11:07,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,406 HEMENWAY ST Apt. #6221,Marlborough,,,Marlborough PD,,11:15,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,BUILDING CHECK,,Building Checked/Secured,No,,98 ARNOLD STREET EXT,Marlborough,,,Marlborough PD,,11:33,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,421 BOLTON ST,Marlborough,,,Marlborough PD,,11:36,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,170 PLEASANT ST,Marlborough,,,Marlborough PD,,11:37,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,BUILDING CHECK,,Building Checked/Secured,No,,237 CONCORD RD,Marlborough,,,Marlborough PD,,11:53,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,BUILDING CHECK,,Building Checked/Secured,No,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,12:29,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,720 STEVENS ST,Marlborough,,,Marlborough PD,,12:34,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,DISTURBANCE,,Report,Yes,,FAMILY RESIDENTIAL - 188 MECHANIC ST,Marlborough,,,Marlborough PD,,12:48,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,303 LINCOLN ST,Marlborough,,,Marlborough PD,,13:02,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,16 REDBUD WAY Apt. #4,Marlborough,,,Marlborough PD,,13:13,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,37 VILLAGE DR,Marlborough,,,Marlborough PD,,13:34,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,56 MUSTANG AVE,Marlborough,,,Marlborough PD,,13:48,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,1101 BLUEBELL LN,Marlborough,,,Marlborough PD,,13:56,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,47 HAGER ST,Marlborough,,,Marlborough PD,,14:03,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,11 APEX DR Apt. #103A,Marlborough,,,Marlborough PD,,14:11,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,DISTURBANCE,,Arrest(s) Made,Yes,,133 EAST MAIN ST,Marlborough,,,Marlborough PD,,14:23,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #114,Marlborough,,,Marlborough PD,,14:55,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,20 RICHARD RD,Marlborough,,,Marlborough PD,,15:09,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,Parking Violation,,Services Rendered- PD,No,,[MAR 7215] 59 BOLTON ST @ 99 FRANCIS ST,Marlborough,,,Marlborough PD,,15:16,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,2
,,Private Tow,,Private tow,No,,183 EAST MAIN ST Apt. #2,Marlborough,,,Marlborough PD,,15:25,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,STACEY RD,Marlborough,,,Marlborough PD,,15:27,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,15:44,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,56 DANJOU DR,Marlborough,,,Marlborough PD,,15:48,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,MOTOR VEHICLE STOP,,Report,Yes,,BOSTON POST ROAD WEST @ RT495 NORTH,Marlborough,,,Marlborough PD,,16:23,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,Threats,,Report,Yes,,21 AUSTEN WAY,Marlborough,,,Marlborough PD,,16:25,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,BUILDING CHECK,,Building Checked/Secured,No,,370 STEARNS RD,Marlborough,,,Marlborough PD,,17:52,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,MOTOR VEHICLE STOP,,Arrest(s) Made,Yes,26-31-AR,342 LINCOLN ST,Marlborough,,,Marlborough PD,,18:12,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,123 WESTMINSTER DR,Marlborough,,,Marlborough PD,,18:22,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,DISTURBANCE,,Report,Yes,,136 FARM RD,Marlborough,,,Marlborough PD,,18:24,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,Private Tow,,Private tow,No,,3 FARMHOUSE LN,Marlborough,,,Marlborough PD,,19:02,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,145 AMES ST Apt. #2308,Marlborough,,,Marlborough PD,,19:23,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #206,Marlborough,,,Marlborough PD,,19:42,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,SUSPICIOUS ACTIVITY,,Report,Yes,,138 HOWE ST,Marlborough,,,Marlborough PD,,19:56,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,"ALARM, HOLD-UP",,Services Rendered- PD,No,,1305 APPLEBRIAR LN,Marlborough,,,Marlborough PD,,20:53,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,DISTURBANCE,,Services Rendered- PD,No,,160 WEST MAIN ST Apt. #9,Marlborough,,,Marlborough PD,,21:03,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,DPW Called Out,,Services Rendered- PD,No,,531 LINCOLN ST @ 85 BROAD ST,Marlborough,,,Marlborough PD,,21:22,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,BUILDING CHECK,,Building Checked/Secured,No,,370 STEARNS RD,Marlborough,,,Marlborough PD,,21:25,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,51 CHASE RD,Marlborough,,,Marlborough PD,,21:34,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Parking Violation,,Services Rendered- PD,No,,HASTINGS ST,Marlborough,,,Marlborough PD,,22:30,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,72 CEDAR HILL ST @ 445 SIMARANO DR,Marlborough,,,Marlborough PD,,22:50,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,23:25,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,DISABLED MV,,Services Rendered- PD,No,,169 LINCOLN ST @ 32 SHORT ST,Marlborough,,,Marlborough PD,,23:26,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,DISTURBANCE,,Report,Yes,,135 AMES ST Apt. #1202,Marlborough,,,Marlborough PD,,23:58,,,01/21/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Threats,,Report,Yes,,460 BOSTON POST ROAD EAST Apt. #602,Marlborough,,,Marlborough PD,,00:52,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Parking Violation,,Report,Yes,,FAMILY RESIDENTIAL - 40 NEIL ST,Marlborough,,,Marlborough PD,,00:58,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,29 PLEASANT ST Apt. #B3,Marlborough,,,Marlborough PD,,01:54,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Parking Violation,,Services Rendered- PD,No,,WITHERBEE ST,Marlborough,,,Marlborough PD,,02:50,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Parking Violation,,Services Rendered- PD,No,,WINTHROP ST,Marlborough,,,Marlborough PD,,02:56,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Parking Violation,,Services Rendered- PD,No,,EMMETT ST,Marlborough,,,Marlborough PD,,03:01,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Ambulance Assist,,Transported to Hospital,No,,32 MAIN ST,Marlborough,,,Marlborough PD,,03:23,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,656 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,04:10,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,681 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,04:22,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,BUILDING CHECK,,Building Checked/Secured,No,,1001 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,04:33,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,Ambulance Assist,,Transported to Hospital,No,,90 ONAMOG ST,Marlborough,,,Marlborough PD,,05:01,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,753 FOREST ST Apt. #100,Marlborough,,,Marlborough PD,,05:30,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,4
,,BUILDING CHECK,,Services Rendered- PD,No,,219 FOREST ST,Marlborough,,,Marlborough PD,,05:46,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,BUILDING CHECK,,Building Checked/Secured,No,,199 FOREST ST,Marlborough,,,Marlborough PD,,05:47,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,98 STACEY RD,Marlborough,,,Marlborough PD,,07:10,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,911 Hangup/Call,,Services Rendered- PD,No,,183 EAST MAIN ST Apt. #2,Marlborough,,,Marlborough PD,,08:10,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,Animal Complaint,,Services Rendered- PD,No,,47 RED SPRING RD,Marlborough,,,Marlborough PD,,08:26,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,487 LINCOLN ST Apt. #5,Marlborough,,,Marlborough PD,,08:39,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,198 BOSTON POST ROAD EAST Apt. #1,Marlborough,,,Marlborough PD,,08:54,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,DISABLED MV,,Services Rendered- PD,No,,114 EAST MAIN ST @ 5 LINCOLN ST,Marlborough,,,Marlborough PD,,09:31,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,Ambulance Assist,,Transported to Hospital,No,,99 PLEASANT ST,Marlborough,,,Marlborough PD,,09:54,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #103B,Marlborough,,,Marlborough PD,,10:07,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,DISABLED MV,,Services Rendered- PD,No,,820 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:32,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,Well being check,,Services Rendered- PD,No,,11 CATHERINE DR,Marlborough,,,Marlborough PD,,10:43,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,DISTURBANCE,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,11:00,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,ASSIST CITIZEN,,Services Rendered- PD,No,,760 FARM RD,Marlborough,,,Marlborough PD,,11:49,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Unfounded,No,,216 MAPLE ST,Marlborough,,,Marlborough PD,,11:55,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,Well being check,,Unfounded,No,,19 BROAD ST Apt. #2,Marlborough,,,Marlborough PD,,12:24,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,Well being check,,Services Rendered- PD,No,,53 HOWLAND ST,Marlborough,,,Marlborough PD,,12:40,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,911 Hangup/Call,,Services Rendered- PD,No,,64 PLEASANT ST,Marlborough,,,Marlborough PD,,12:47,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,ASSIST CITIZEN,,Services Rendered- PD,No,,116 MAIN ST Apt. #S - 1,Marlborough,,,Marlborough PD,,13:14,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,5
,,ASSIST CITIZEN,,Services Rendered- PD,No,,116 MAIN ST Apt. #S - 1,Marlborough,,,Marlborough PD,,13:18,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,COMPLAINT,,Services Rendered- PD,No,,66 BELMONT STREET EXT,Marlborough,,,Marlborough PD,,13:32,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Threats,,Report,Yes,,24 REDBUD WAY Apt. #13,Marlborough,,,Marlborough PD,,14:03,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,MVA WITH INJURIES,,Report,Yes,,9 RESERVOIR ST @ 537 BOLTON ST,Marlborough,,,Marlborough PD,,14:09,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,218 STEARNS RD,Marlborough,,,Marlborough PD,,14:30,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Well being check,,Services Rendered- PD,No,,130 WILSON ST,Marlborough,,,Marlborough PD,,14:44,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Well being check,,Services Rendered- PD,No,,38 FAIRMOUNT ST Apt. #2,Marlborough,,,Marlborough PD,,14:49,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,DISABLED MV,,Services Rendered- PD,No,,484 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,15:04,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,BUILDING CHECK,,Services Rendered- PD,No,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,15:13,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Private Tow,,Private tow,No,,11 CLINTON ST,Marlborough,,,Marlborough PD,,15:18,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Well being check,,Services Rendered- PD,No,,676 FARM RD Apt. #1,Marlborough,,,Marlborough PD,,15:41,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,157 UNION ST,Marlborough,,,Marlborough PD,,16:13,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Eratic Operator,,Unfounded,No,,85 BOLTON ST @ 136 LINCOLN ST,Marlborough,,,Marlborough PD,,16:22,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Well being check,,Services Rendered- PD,No,,281 HUDSON ST,Marlborough,,,Marlborough PD,,17:00,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,DISTURBANCE,,Report,Yes,,740 FARM RD,Marlborough,,,Marlborough PD,,17:01,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,Well being check,,Services Rendered- PD,No,,13 RUTH DR,Marlborough,,,Marlborough PD,,17:03,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,ASSIST CITIZEN,,Services Rendered- PD,No,,651 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,17:41,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,SHOPLIFTING,,Report,Yes,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,17:51,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,DISABLED MV,,Services Rendered- PD,No,,215 HOSMER ST,Marlborough,,,Marlborough PD,,18:40,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,6
,,"ALARM, BURGLAR",,Report,Yes,,753 FOREST ST Apt. #100,Marlborough,,,Marlborough PD,,18:41,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,Well being check,,Services Rendered- PD,No,,22 BROAD ST Apt. #315,Marlborough,,,Marlborough PD,,19:15,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,Private Tow,,Private tow,No,,342 LINCOLN ST,Marlborough,,,Marlborough PD,,19:54,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,65 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,20:01,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,ASSIST CITIZEN,,Services Rendered- PD,No,,16 BOWSTRING WAY,Marlborough,,,Marlborough PD,,20:19,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,39 RINGOLD ST,Marlborough,,,Marlborough PD,,20:20,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,BUILDING CHECK,,Building Checked/Secured,No,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,20:48,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,Private Tow,,Private tow,No,,53 TAVITIAN BLVD,Marlborough,,,Marlborough PD,,20:49,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
,,BUILDING CHECK,,Building Checked/Secured,No,,300 NICKERSON RD,Marlborough,,,Marlborough PD,,21:37,,,01/22/2026,Call_Log_01-21-26_-_01-26-26.pdf,7
