Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,ASSIST CITIZEN,,No Action Required,No,,581 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,07:10,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,496 LINCOLN ST Apt. #9,Marlborough,,,Marlborough PD,,07:25,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,DISABLED MV,,No Action Required,No,,250 MAPLE ST,Marlborough,,,Marlborough PD,,08:48,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,BUILDING CHECK,,Building Checked/Secured,No,,237 CONCORD RD,Marlborough,,,Marlborough PD,,09:00,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,BUILDING CHECK,,Services Rendered- PD,No,,237 CONCORD RD,Marlborough,,,Marlborough PD,,09:10,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,BUILDING CHECK,,Services Rendered- PD,No,,237 CONCORD RD,Marlborough,,,Marlborough PD,,09:10,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,BUILDING CHECK,,Building Checked/Secured,No,,237 CONCORD RD,Marlborough,,,Marlborough PD,,09:12,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,111 NEIL ST,Marlborough,,,Marlborough PD,,09:30,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,Animal Complaint,,Services Rendered- PD,No,,19 CRESCENT ST Apt. #1,Marlborough,,,Marlborough PD,,09:33,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,175 MAPLE ST @ 48 VALLEY ST,Marlborough,,,Marlborough PD,,09:39,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,636 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:41,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,496 LINCOLN ST Apt. #9,Marlborough,,,Marlborough PD,,10:00,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,Well being check,,Services Rendered- PD,No,,15 PARIS ST Apt. #2,Marlborough,,,Marlborough PD,,10:20,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,BUILDING CHECK,,Building Checked/Secured,No,,706 HOSMER ST,Marlborough,,,Marlborough PD,,10:40,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
,,DISTURBANCE,,Report,Yes,,121 NORTHBORO ROAD EAST Apt. #315,Marlborough,,,Marlborough PD,,12:36,,,02/24/2026,Call_Log_02-24-26_-_02-28-26.pdf,1
