Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,CRIMINAL COMPLAINT,Yes,,31 CHURCH ST,Marlborough,,,Marlborough PD,,07:06,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,Eratic Operator,,Unfounded,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,07:28,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,SANDINI RD,Marlborough,,,Marlborough PD,,08:16,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,Parking Violation,,Report,Yes,,66 DEVENS ST,Marlborough,,,Marlborough PD,,08:33,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:41,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,0 NEW ST @ 115 GRANGER BLVD,Marlborough,,,Marlborough PD,,08:52,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,LARCENY,,Report,Yes,,173 DICENZO BLVD,Marlborough,,,Marlborough PD,,08:58,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,BRIGHAM ST,Marlborough,,,Marlborough PD,,09:16,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,340 MAPLE ST,Marlborough,,,Marlborough PD,,09:18,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,290 HUDSON ST,Marlborough,,,Marlborough PD,,09:43,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,FAIRMOUNT ST,Marlborough,,,Marlborough PD,,09:51,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,142 WILSON ST,Marlborough,,,Marlborough PD,,09:53,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,406 LINCOLN ST,Marlborough,,,Marlborough PD,,09:57,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,HOWLAND ST,Marlborough,,,Marlborough PD,,09:58,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,19 MACINTOSH AVE,Marlborough,,,Marlborough PD,,10:23,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,Trespassing,,Report,Yes,,222 EAST MAIN ST,Marlborough,,,Marlborough PD,,10:46,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,DISTURBANCE,,Report,Yes,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,10:52,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,30 MAIN ST,Marlborough,,,Marlborough PD,,11:17,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,LARCENY,,Report,Yes,,400 HEMENWAY ST,Marlborough,,,Marlborough PD,,11:41,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,DISTURBANCE,,Report,Yes,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,11:41,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,447 BOSTON POST ROAD EAST Apt. #24,Marlborough,,,Marlborough PD,,11:45,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,406 LINCOLN ST,Marlborough,,,Marlborough PD,,11:50,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,66 MECHANIC ST @ 339 LINCOLN ST,Marlborough,,,Marlborough PD,,11:54,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,2
,,Directed Patrol,,Services Rendered- PD,No,,ASH ST,Marlborough,,,Marlborough PD,,11:56,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,2
,,DISABLED MV,,Services Rendered- PD,No,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:56,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,58 MUSTANG AVE,Marlborough,,,Marlborough PD,,12:15,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,45 LIBERTY ST Apt. #3,Marlborough,,,Marlborough PD,,12:16,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,2
,,LARCENY,,Report,Yes,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,12:28,,,04/30/2019,Call_Log_April_30_2019_to_May_1_2019.pdf,2
