Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #304,Marlborough,,,Marlborough PD,,07:18,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST Apt. #304,Marlborough,,,Marlborough PD,,07:18,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,SITE FOR BLDG - 225 CEDAR HILL ST Apt. #`,Marlborough,,,Marlborough PD,,07:24,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,220 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,08:09,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,Medical,,Transported to Hospital,No,,176 ELM ST,Marlborough,,,Marlborough PD,,08:55,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,35 MILL STREET CENTRAL Apt. #1,Marlborough,,,Marlborough PD,,08:56,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,176 ELM ST,Marlborough,,,Marlborough PD,,08:57,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:33,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,SERVE WARRANT,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,09:41,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,10:15,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,10:53,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,198 BOSTON POST ROAD EAST Apt. #10,Marlborough,,,Marlborough PD,,10:57,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,MISSING PERSON,,Report,Yes,,277 BOSTON POST ROAD WEST Apt. #527,Marlborough,,,Marlborough PD,,11:07,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,City Ordinance,,Report,Yes,,378 LINCOLN ST,Marlborough,,,Marlborough PD,,11:09,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,ASSIST OTHER AGENCY,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,12:11,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST Apt. #106,Marlborough,,,Marlborough PD,,12:16,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #106B,Marlborough,,,Marlborough PD,,12:18,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,1
,,DISTURBANCE,,Report,Yes,,280 ELM ST Apt. #31,Marlborough,,,Marlborough PD,,13:02,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,SERVE WARRANT,,Unfounded,No,,53 GULBANKIAN DR,Marlborough,,,Marlborough PD,,13:02,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,KARLA VLUAN - 281 STEARNS RD Apt. #RD,Marlborough,,,Marlborough PD,,13:21,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,264 EAST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,13:48,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,EVELINA DR,Marlborough,,,Marlborough PD,,13:58,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,500 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,14:05,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,DISTURBANCE,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,14:21,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,DISTURBANCE,,Unfounded,No,,80 MILDON AVE,Marlborough,,,Marlborough PD,,14:24,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,Well being check,,Services Rendered- PD,No,,489 LINCOLN ST Apt. #1,Marlborough,,,Marlborough PD,,14:32,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,450 BOSTON POST ROAD EAST Apt. #A510,Marlborough,,,Marlborough PD,,14:35,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,2
