Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,SERVE SUMMONS,,Services Rendered- PD,No,,36 ELDORADO DR,Marlborough,,,Marlborough PD,,07:06,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,430 LAKESIDE AVE @ 14 GLEN ST,Marlborough,,,Marlborough PD,,07:15,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #305,Marlborough,,,Marlborough PD,,07:43,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,07:44,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,402 ROBIN HILL ST,Marlborough,,,Marlborough PD,,08:08,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,13 LAKESIDE AVE @ 26 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:37,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Directed Patrol,,Services Rendered- PD,No,,35 BEACH ST @ 22 CLOVER HILL ST,Marlborough,,,Marlborough PD,,08:46,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:46,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Trespassing,,Services Rendered- PD,No,,145 PLEASANT ST,Marlborough,,,Marlborough PD,,08:49,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:18,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,MOTOR VEHICLE STOP,,Report,Yes,,280 SOUTH ST,Marlborough,,,Marlborough PD,,09:27,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,ROUTE 290 CONNECTOR,Marlborough,,,Marlborough PD,,09:42,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,3 SOUTH ST @ 120 WEST MAIN ST,Marlborough,,,Marlborough PD,,10:19,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Private Tow,,Private tow,No,,750 FARM RD,Marlborough,,,Marlborough PD,,10:38,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,591 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,10:47,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,378 LINCOLN ST,Marlborough,,,Marlborough PD,,11:07,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,135 EAST MAIN ST,Marlborough,,,Marlborough PD,,11:12,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,376 MAPLE ST @ 492 SOUTH ST,Marlborough,,,Marlborough PD,,12:11,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Police Assist,,Services Rendered- PD,No,,400 BOLTON ST Apt. #214,Marlborough,,,Marlborough PD,,13:12,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #125A,Marlborough,,,Marlborough PD,,13:23,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,39 BRIARWOOD LN,Marlborough,,,Marlborough PD,,14:43,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,14:49,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,49 BRIARWOOD LN Apt. #6,Marlborough,,,Marlborough PD,,14:59,,,04/03/2018,Call_Log_April_3_2018_to_April_4_2018.pdf,2
