Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,CRIMINAL COMPLAINT,Yes,,413 LAKESIDE AVE,Marlborough,,,Marlborough PD,,07:00,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,53 WINTHROP ST Apt. #1,Marlborough,,,Marlborough PD,,07:45,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,Directed Patrol,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:07,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:54,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,Medical,,Services Rendered- FD,No,,121 NORTHBORO ROAD EAST Apt. #122A,Marlborough,,,Marlborough PD,,08:56,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,08:57,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,Medical,,Services Rendered- FD,No,,1 BLOSSOM LN @ 355 HOSMER ST,Marlborough,,,Marlborough PD,,09:00,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,Well being check,,Services Rendered- PD,No,,1 BLOSSOM LN @ 355 HOSMER ST,Marlborough,,,Marlborough PD,,09:01,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,DISTURBANCE,,Report,Yes,,190 BOLTON ST Apt. #10,Marlborough,,,Marlborough PD,,09:34,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,509 LINCOLN ST,Marlborough,,,Marlborough PD,,09:50,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,Public Assist,,Services Rendered- FD,No,,36 FONTAINE ST,Marlborough,,,Marlborough PD,,10:09,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,99 UNION ST,Marlborough,,,Marlborough PD,,10:17,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,CEDAR HILL ST,Marlborough,,,Marlborough PD,,10:17,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,28 PETERS AVE @ 61 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:44,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
,,DISTURBANCE,,Report,Yes,,260 MECHANIC ST,Marlborough,,,Marlborough PD,,10:54,,,04/09/2021,Call_Log_April_9_2021_to_April_12_2021.pdf,1
