Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Motor vehicle accident I,,Medical Assistance Rendered,No,,ROUTE 290 CONNECTOR @ ROUTE 290 EASTBOUND,Marlborough,,,Marlborough PD,,07:12,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,401 ELM ST,Marlborough,,,Marlborough PD,,07:32,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,12 PLEASANT CT,Marlborough,,,Marlborough PD,,07:44,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,12 PLEASANT CT,Marlborough,,,Marlborough PD,,07:44,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,80 BENJAMIN RD,Marlborough,,,Marlborough PD,,08:17,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,80 BENJAMIN RD,Marlborough,,,Marlborough PD,,08:18,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #116,Marlborough,,,Marlborough PD,,08:43,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST Apt. #116,Marlborough,,,Marlborough PD,,08:44,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,133 BROADMEADOW RD,Marlborough,,,Marlborough PD,,09:13,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,27 CHRISTIE WAY Apt. #62E,Marlborough,,,Marlborough PD,,09:22,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,240 MAIN ST Apt. #515,Marlborough,,,Marlborough PD,,09:48,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,277 MAIN ST Apt. #305,Marlborough,,,Marlborough PD,,09:51,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST Apt. #515,Marlborough,,,Marlborough PD,,09:52,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,LARCENY,,Report,Yes,,20 FRONT ST Apt. #2,Marlborough,,,Marlborough PD,,09:54,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:57,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,620 FARM RD,Marlborough,,,Marlborough PD,,10:04,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,165 AMES ST Apt. #3304,Marlborough,,,Marlborough PD,,10:12,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,165 AMES ST Apt. #3304,Marlborough,,,Marlborough PD,,10:12,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,2
,,MOTOR VEHICLE STOP,,CRIMINAL COMPLAINT,Yes,,64 MAPLE ST,Marlborough,,,Marlborough PD,,10:18,,,08/27/2021,Call_Log_August_27_2021_to_August_30_2021.pdf,2
