Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,CRIMINAL COMPLAINT,Yes,,138 BROAD ST @ 10 MARTIN ST,Marlborough,,,Marlborough PD,,07:00,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Medical,,Transported to Hospital,No,,22 BROAD ST Apt. #426,Marlborough,,,Marlborough PD,,07:13,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #426,Marlborough,,,Marlborough PD,,07:14,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,112 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,07:40,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,18 VINE ST,Marlborough,,,Marlborough PD,,07:58,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,DISTURBANCE,,Report,Yes,,312 MAPLE ST,Marlborough,,,Marlborough PD,,08:19,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,176 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:38,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Police Assist,,Report,Yes,,115 BROADMEADOW RD,Marlborough,,,Marlborough PD,,08:49,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,100 GRANGER BLVD,Marlborough,,,Marlborough PD,,08:50,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Medical,,Transported to Hospital,No,,400 BOLTON ST,Marlborough,,,Marlborough PD,,08:51,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 BOLTON ST Apt. #224,Marlborough,,,Marlborough PD,,08:52,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,220 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,09:15,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Private Tow,,Private tow,No,,39 BRIARWOOD LN,Marlborough,,,Marlborough PD,,09:31,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,42 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:33,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,910 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:34,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:50,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Medical,,Services Rendered- FD,No,,165 AMES ST Apt. #3304,Marlborough,,,Marlborough PD,,10:04,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,165 AMES ST,Marlborough,,,Marlborough PD,,10:06,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,1
,,Ambulance Only,,Services Rendered- FD,No,,[HUD] 253 WASHINGTON ST,Marlborough,,,Marlborough PD,,12:12,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,Medical,,Transported to Hospital,No,,FAMILY RESIDENTIAL - 2 EDINBORO ST Apt. #3,Marlborough,,,Marlborough PD,,12:20,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,FAMILY RESIDENTIAL - 2 EDINBORO ST Apt. #3,Marlborough,,,Marlborough PD,,12:24,,,08/30/2021,Call_Log_August_30_2021_to_September_1_2021.pdf,2
