Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,5 HOLM ST,Marlborough,,,Marlborough PD,,07:13,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,28 MILL STREET CENTRAL,Marlborough,,,Marlborough PD,,07:25,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Medical,,Transported to Hospital,No,,28 MILL STREET CENTRAL,Marlborough,,,Marlborough PD,,07:25,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,400 MAPLE ST,Marlborough,,,Marlborough PD,,07:39,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,333 EAST MAIN ST @ 10 COOK LN,Marlborough,,,Marlborough PD,,08:26,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,21 HIGHLAND ST,Marlborough,,,Marlborough PD,,08:37,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,137 BEACH ST,Marlborough,,,Marlborough PD,,08:38,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,MOTOR VEHICLE STOP,,Report,Yes,,260 WEST MAIN ST,Marlborough,,,Marlborough PD,,09:14,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,199 LAKESIDE AVE,Marlborough,,,Marlborough PD,,09:33,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,ASSIST OTHER AGENCY,,No Action Required,No,,56 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,10:13,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,769 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,10:14,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,10:28,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Medical,,Transported to Hospital,No,,ROUTE 290 EASTBOUND,Marlborough,,,Marlborough PD,,10:40,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,ASSIST OTHER AGENCY,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,10:49,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,11:01,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Well being check,,Unfounded,No,,35 HOSMER ST Apt. #11,Marlborough,,,Marlborough PD,,11:49,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,56 NEWTON ST,Marlborough,,,Marlborough PD,,12:03,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Medical,,Transported to Hospital,No,,56 NEWTON ST,Marlborough,,,Marlborough PD,,12:04,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,274 WEST MAIN ST,Marlborough,,,Marlborough PD,,12:31,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Animal Complaint,,Report,Yes,,ORCHARD ST,Marlborough,,,Marlborough PD,,12:47,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Fraud / Forgery,,Report,Yes,,137 GRACE CIR,Marlborough,,,Marlborough PD,,12:59,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Ambulance Assist,,Report,Yes,,120 PROSPECT ST Apt. #4,Marlborough,,,Marlborough PD,,13:25,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,1
,,Ambulance Only,,Transported to Hospital,No,,120 PROSPECT ST Apt. #4,Marlborough,,,Marlborough PD,,13:44,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,Private Tow,,Services Rendered- PD,No,,445 SIMARANO DR,Marlborough,,,Marlborough PD,,13:46,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,52 NEWTON ST,Marlborough,,,Marlborough PD,,14:04,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,35 WEST MAIN ST,Marlborough,,,Marlborough PD,,14:13,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,57 MECHANIC ST,Marlborough,,,Marlborough PD,,14:16,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,Medical,,Transported to Hospital,No,,121 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,14:54,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,Medical,,Services Rendered- FD,No,,181 CEDAR HILL ST,Marlborough,,,Marlborough PD,,14:55,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,181 CEDAR HILL ST,Marlborough,,,Marlborough PD,,14:55,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,121 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,14:56,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,Animal Complaint,,Services Rendered- PD,No,,47 HAGER ST,Marlborough,,,Marlborough PD,,14:59,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,53 DARTMOUTH ST,Marlborough,,,Marlborough PD,,15:04,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,336 EAST MAIN ST,Marlborough,,,Marlborough PD,,15:24,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,ABANDONED MV,,Services Rendered- PD,No,,181 MILL STREET SOUTH,Marlborough,,,Marlborough PD,,15:34,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
,,Harassment,,Report,Yes,,195 EAST MAIN ST,Marlborough,,,Marlborough PD,,16:05,,,08/30/2019,Call_Log_August_31_2019_to_September_3_2019.pdf,2
