Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Private Tow,,Private tow,No,,12 ROYAL CREST DR,Marlborough,,,Marlborough PD,,07:06,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,Private Tow,,Private tow,No,,48 BRIARWOOD LN Apt. #5,Marlborough,,,Marlborough PD,,07:08,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,RECOVERED STOLEN MV,,Report,Yes,,31 MAIN ST,Marlborough,,,Marlborough PD,,07:36,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,07:50,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,07:50,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,"ALARM, HOLD-UP",,Building Checked/Secured,No,,157 UNION ST,Marlborough,,,Marlborough PD,,08:02,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:23,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:35,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:53,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,09:52,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,Parking Violation,,No Action Required,No,,65 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,09:56,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,53 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:09,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,96 SOUTH BOLTON ST,Marlborough,,,Marlborough PD,,10:28,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #121,Marlborough,,,Marlborough PD,,10:36,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #121,Marlborough,,,Marlborough PD,,10:36,,,08/05/2019,Call_Log_August_5_2019_to_August_6_2019.pdf,1
