Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:34,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,86 MINEHAN LN,Marlborough,,,Marlborough PD,,09:33,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,SUDDEN DEATH,,Report,Yes,,86 MINEHAN LN,Marlborough,,,Marlborough PD,,09:34,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,RECOVERED STOLEN MV,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,09:37,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:56,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:57,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,656 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:02,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,LARCENY,,Report,Yes,,98 BOLTON ST,Marlborough,,,Marlborough PD,,10:24,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,55 HOWLAND ST,Marlborough,,,Marlborough PD,,10:39,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,88 REDBUD WAY,Marlborough,,,Marlborough PD,,10:55,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
,,ASSIST OTHER AGENCY,,No Action Required,No,,18 COTTING AVE Apt. #3,Marlborough,,,Marlborough PD,,11:02,,,12/14/2020,Call_Log_December_14_2020_to_December_15_2020.pdf,1
