Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,11 WESTMINSTER DR Apt. #11,Marlborough,,,Marlborough PD,,07:55,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,198 WEST MAIN ST Apt. #1,Marlborough,,,Marlborough PD,,08:21,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #112,Marlborough,,,Marlborough PD,,09:04,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Threats,,Report,Yes,,25 UNION ST,Marlborough,,,Marlborough PD,,09:12,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,169 APEX DR,Marlborough,,,Marlborough PD,,10:02,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Ambulance Assist,,Report,Yes,,520 FARM RD,Marlborough,,,Marlborough PD,,11:11,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Well being check,,No Action Required,No,,909 ELM ST,Marlborough,,,Marlborough PD,,11:38,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,133 EAST MAIN ST,Marlborough,,,Marlborough PD,,11:57,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,LAKESIDE AVE,Marlborough,,,Marlborough PD,,12:01,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,25 UNION ST,Marlborough,,,Marlborough PD,,12:15,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,370 HEMENWAY ST Apt. #308,Marlborough,,,Marlborough PD,,12:22,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,6 WALKER ST @ 418 MAPLE ST,Marlborough,,,Marlborough PD,,12:30,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,80 WARREN AVE,Marlborough,,,Marlborough PD,,12:45,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,LARCENY,,Report,Yes,,34 CURTIS AVE,Marlborough,,,Marlborough PD,,13:15,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
,,Fraud / Forgery,,Report,Yes,,212 MAPLE ST Apt. #12,Marlborough,,,Marlborough PD,,13:30,,,12/19/2018,Call_Log_December_19_2018_to_December_20_2018.pdf,1
