Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,1 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,07:06,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,15 DICKENSON WAY,Marlborough,,,Marlborough PD,,07:13,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Private Tow,,Services Rendered- PD,No,,1 ROYAL CREST DR,Marlborough,,,Marlborough PD,,07:17,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #112,Marlborough,,,Marlborough PD,,07:20,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Private Tow,,Private tow,No,,39 BRIARWOOD LN,Marlborough,,,Marlborough PD,,07:23,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Unfounded,No,,627 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,08:05,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,109 WESTMINSTER DR,Marlborough,,,Marlborough PD,,08:28,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,400 MAPLE ST,Marlborough,,,Marlborough PD,,08:34,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,LARCENY,,Report,Yes,,601 DONALD J. LYNCH BLVD Apt. #N117A,Marlborough,,,Marlborough PD,,08:44,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,554 BOSTON POST ROAD EAST Apt. #A,Marlborough,,,Marlborough PD,,08:51,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Sex Offender Registration,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,09:00,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,1 AVALON DR @ 91 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:03,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,66 WILSON ST @ 7 HEATH ST,Marlborough,,,Marlborough PD,,09:15,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,TECH PLATING - 40 CEDAR HILL ST,Marlborough,,,Marlborough PD,,09:15,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,5 CHESTNUT ST @ 104 MECHANIC ST,Marlborough,,,Marlborough PD,,09:21,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,197 BOSTON POST ROAD WEST Apt. #G1,Marlborough,,,Marlborough PD,,09:26,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Private Tow,,Services Rendered- PD,No,,100 RESULTS WAY,Marlborough,,,Marlborough PD,,10:00,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,169 LINCOLN ST @ 32 SHORT ST,Marlborough,,,Marlborough PD,,10:09,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,80 LINCOLN ST Apt. #1,Marlborough,,,Marlborough PD,,10:40,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,223 MAPLE ST,Marlborough,,,Marlborough PD,,10:49,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,2 ASH ST @ 180 HUDSON ST,Marlborough,,,Marlborough PD,,11:07,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,228 PROSPECT ST,Marlborough,,,Marlborough PD,,11:19,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,11:42,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,210 LAKESHORE DR,Marlborough,,,Marlborough PD,,11:44,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,164 FELTON ST @ 483 ELM ST,Marlborough,,,Marlborough PD,,11:51,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,Well being check,,Report,Yes,,162 LEOLEIS DR,Marlborough,,,Marlborough PD,,12:00,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,Well being check,,Services Rendered- PD,No,,331 STOW RD @ 15 BEAMAN LN,Marlborough,,,Marlborough PD,,12:06,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,911 Hangup/Call,,Unfounded,No,,26 CHANDLER ST,Marlborough,,,Marlborough PD,,12:20,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,ROUTE 495 N,Marlborough,,,Marlborough PD,,12:35,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,100 PHELPS ST Apt. #10,Marlborough,,,Marlborough PD,,14:04,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,SERVE SUMMONS,,Services Rendered- PD,No,,257 MECHANIC ST,Marlborough,,,Marlborough PD,,14:07,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,Threats,,Report,Yes,,25 UNION ST,Marlborough,,,Marlborough PD,,14:45,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
,,ASSAULT,,Report,Yes,,25 UNION ST,Marlborough,,,Marlborough PD,,14:46,,,02/14/2019,Call_Log_February_14_2019_to_February_19_2019.pdf,2
