Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,"ALARM, BURGLAR",,No Action Required,No,,295 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,07:01,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,Medical,,Transported to Hospital,No,,19 NORTHBORO ROAD EAST Apt. #116,Marlborough,,,Marlborough PD,,07:19,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,07:31,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,Medical,,Transported to Hospital,No,,406 HEMENWAY ST Apt. #6234,Marlborough,,,Marlborough PD,,07:44,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,Medical,,Services Rendered- FD,No,,117 BROAD ST,Marlborough,,,Marlborough PD,,08:00,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,43 LIBBY AVE,Marlborough,,,Marlborough PD,,08:10,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:29,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,08:29,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,08:30,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,Animal Complaint,,Unfounded,No,,24 MUSTANG AVE,Marlborough,,,Marlborough PD,,09:22,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,212 PHELPS ST,Marlborough,,,Marlborough PD,,09:50,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,LARCENY,,Report,Yes,,276 MAIN ST Apt. #27,Marlborough,,,Marlborough PD,,10:01,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
,,Parking Violation,,Unfounded,No,,520 LINCOLN ST,Marlborough,,,Marlborough PD,,10:12,,,02/18/2022,Call_Log_February_18_2022_to_February_22_2022.pdf,1
