Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,554 BOSTON POST ROAD EAST Apt. #C,Marlborough,,,Marlborough PD,,07:34,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Private Tow,,Private tow,No,,54 HOWLAND ST,Marlborough,,,Marlborough PD,,07:58,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Private Tow,,Private tow,No,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,08:02,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Public Assist,,Medical Assistance Rendered,No,,6 FARMHOUSE LN Apt. #3,Marlborough,,,Marlborough PD,,08:25,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,11 ORCHARD ST,Marlborough,,,Marlborough PD,,08:29,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,11 ORCHARD ST,Marlborough,,,Marlborough PD,,08:30,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,15 DICKENSON WAY Apt. #81A,Marlborough,,,Marlborough PD,,08:43,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,24 KINGS VIEW RD,Marlborough,,,Marlborough PD,,08:53,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,24 KINGS VIEW RD,Marlborough,,,Marlborough PD,,08:53,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,246 MAPLE ST Apt. #3,Marlborough,,,Marlborough PD,,09:03,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Eratic Operator,,Unfounded,No,,529 BOSTON POST ROAD EAST @ 815 FARM RD,Marlborough,,,Marlborough PD,,09:28,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,237 BOSTON POST ROAD WEST Apt. #C,Marlborough,,,Marlborough PD,,09:47,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,DISTURBANCE,,Report,Yes,,47 PHELPS ST,Marlborough,,,Marlborough PD,,09:55,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,175 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:01,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,90 ONAMOG ST,Marlborough,,,Marlborough PD,,10:14,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,90 ONAMOG ST,Marlborough,,,Marlborough PD,,10:16,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,MISSING PERSON,,Report,Yes,,85 WASHINGTON ST Apt. #2,Marlborough,,,Marlborough PD,,10:23,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,DISTURBANCE,,Report,Yes,,447 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:32,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Well being check,,Services Rendered- PD,No,,420 HEMENWAY ST Apt. #164,Marlborough,,,Marlborough PD,,10:40,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,1
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST,Marlborough,,,Marlborough PD,,10:58,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,10:59,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,2
,,Parking Violation,,Services Rendered- PD,No,,MONUMENT AVE,Marlborough,,,Marlborough PD,,11:02,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,2
,,Medical,,Transported to Hospital,No,,100 PHELPS ST Apt. #30,Marlborough,,,Marlborough PD,,11:03,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,3 FARMHOUSE LN,Marlborough,,,Marlborough PD,,11:25,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,2
,,Motor Vehicle Accident I I,,Medical Assistance Rendered,No,,RT495 NORTH,Marlborough,,,Marlborough PD,,12:01,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,2
,,MISSING PERSON,,Report,Yes,,24 SHELLY LN,Marlborough,,,Marlborough PD,,12:02,,,02/23/2023,Call_Log_February_23_2023_to_March_6_2023.pdf,2
