Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,113 CLOVER HILL ST,Marlborough,,,Marlborough PD,,08:06,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #108,Marlborough,,,Marlborough PD,,08:26,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,225 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:35,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:39,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,85 BROAD ST Apt. #428,Marlborough,,,Marlborough PD,,08:49,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,"ALARM, HOLD-UP",,Building Checked/Secured,No,,81 GRANGER BLVD,Marlborough,,,Marlborough PD,,09:37,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,32 MOUNT PLEASANT ST,Marlborough,,,Marlborough PD,,09:56,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,Trespassing,,Services Rendered- PD,No,,90 BROAD ST,Marlborough,,,Marlborough PD,,10:17,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,21 AUSTEN WAY,Marlborough,,,Marlborough PD,,11:17,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
,,Threats,,Services Rendered- PD,No,,21 AUSTEN WAY,Marlborough,,,Marlborough PD,,11:30,,,02/29/2024,Call_Log_February_29_2024_to_March_4_2024.pdf,1
