Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,DISTURBANCE,,Report,Yes,,275 MECHANIC ST,Marlborough,,,Marlborough PD,,07:32,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Ambulance Only,,Transported to Hospital,No,,275 MECHANIC ST,Marlborough,,,Marlborough PD,,07:37,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Ambulance Only,,Services Rendered- FD,No,,[HUD] 5 MASON ST Apt. #1,Marlborough,,,Marlborough PD,,08:05,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,500 NICKERSON RD Apt. #201,Marlborough,,,Marlborough PD,,08:06,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,75 WHITE TER,Marlborough,,,Marlborough PD,,08:30,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:44,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Ambulance Only,,Transported to Hospital,No,,[HUD] 11 LAKE ST Apt. #313,Marlborough,,,Marlborough PD,,08:46,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #132,Marlborough,,,Marlborough PD,,09:04,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #132,Marlborough,,,Marlborough PD,,09:05,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Medical,,Transported to Hospital,No,,421 BOLTON ST,Marlborough,,,Marlborough PD,,09:18,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,421 BOLTON ST,Marlborough,,,Marlborough PD,,09:18,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:31,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,265 LAKESIDE AVE,Marlborough,,,Marlborough PD,,10:31,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Medical,,Transported to Hospital,No,,36 GROVE ST,Marlborough,,,Marlborough PD,,10:40,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,10:43,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Medical,,Transported to Hospital,No,,103 VICTORIA LN,Marlborough,,,Marlborough PD,,10:59,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Medical,,Transported to Hospital,No,,14 CLINTON ST Apt. #2,Marlborough,,,Marlborough PD,,11:00,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,103 VICTORIA LN,Marlborough,,,Marlborough PD,,11:01,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Well being check,,Services Rendered- PD,No,,22 BROAD ST Apt. #326,Marlborough,,,Marlborough PD,,11:14,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,ASSIST CITIZEN,,No Action Required,No,,1 D'ANGELO DR,Marlborough,,,Marlborough PD,,11:26,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Ambulance Only,,Services Rendered- FD,No,,[HUD] 605 MAIN ST,Marlborough,,,Marlborough PD,,12:04,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,MOTOR VEHICLE STOP,,Report,Yes,,44 CONCORD RD @ 350 EAST MAIN ST,Marlborough,,,Marlborough PD,,12:21,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Medical,,Transported to Hospital,No,,37 KOSMAS ST,Marlborough,,,Marlborough PD,,12:23,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,37 KOSMAS ST,Marlborough,,,Marlborough PD,,12:25,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Well being check,,Services Rendered- PD,No,,51 BRIARWOOD LN Apt. #3,Marlborough,,,Marlborough PD,,12:53,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Fraud / Forgery,,Report,Yes,,1 CADILLAC DR,Marlborough,,,Marlborough PD,,13:21,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Harassment,,Report,Yes,,FAMILY RESIDENTIAL - 38 WEST MAIN ST,Marlborough,,,Marlborough PD,,13:46,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,ASSIST CITIZEN,,No Action Required,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,13:51,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,SERVE WARRANT,,Unfounded,No,,198 WEST MAIN ST Apt. #1,Marlborough,,,Marlborough PD,,14:12,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Medical,,Transported to Hospital,No,,87B BROADMEADOW RD Apt. #5,Marlborough,,,Marlborough PD,,14:27,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Well being check,,Services Rendered- PD,No,,240 MAIN ST Apt. #415,Marlborough,,,Marlborough PD,,14:28,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,87B BROADMEADOW RD Apt. #5,Marlborough,,,Marlborough PD,,14:33,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Medical,,Medical Assistance Rendered,No,,240 MAIN ST Apt. #411,Marlborough,,,Marlborough PD,,15:18,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST,Marlborough,,,Marlborough PD,,15:18,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,1 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,15:34,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,2
,,Threats,,Report,Yes,,105 BENJAMIN RD,Marlborough,,,Marlborough PD,,15:36,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,181 BOSTON POST ROAD EAST Apt. #61,Marlborough,,,Marlborough PD,,15:50,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,181 BOSTON POST ROAD EAST Apt. #61,Marlborough,,,Marlborough PD,,15:52,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,ASSAULT,,Report,Yes,,25 UNION ST,Marlborough,,,Marlborough PD,,15:57,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,406 LINCOLN ST Apt. #201,Marlborough,,,Marlborough PD,,16:03,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,406 LINCOLN ST Apt. #201,Marlborough,,,Marlborough PD,,16:08,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,300 LAKESIDE AVE,Marlborough,,,Marlborough PD,,16:15,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Well being check,,Services Rendered- PD,No,,39 NEWTON ST Apt. #9,Marlborough,,,Marlborough PD,,16:25,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,176 BOSTON POST ROAD WEST @ 23 APEX DR,Marlborough,,,Marlborough PD,,17:18,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,29 PLEASANT ST Apt. #D9,Marlborough,,,Marlborough PD,,17:19,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,911 Hangup/Call,,Building Checked/Secured,No,,441 BOLTON ST,Marlborough,,,Marlborough PD,,17:21,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Fraud / Forgery,,Report,Yes,,264 EAST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,18:25,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,431 LINCOLN ST,Marlborough,,,Marlborough PD,,18:31,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,87 STACEY RD,Marlborough,,,Marlborough PD,,19:19,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,87 STACEY RD,Marlborough,,,Marlborough PD,,19:19,,,01/14/2022,Call_Log_January_14_2022_to_January_18_2022.pdf,3
