Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,132 SPRING ST @ 200 ELM ST,Marlborough,,,Marlborough PD,,07:57,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:31,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,911 Hangup/Call,,Building Checked/Secured,No,,65 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:33,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,264 EAST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,08:50,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,45 EAST DUDLEY ST,Marlborough,,,Marlborough PD,,08:51,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,DISTURBANCE,,Report,Yes,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,09:06,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,1001 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:29,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,121 PLEASANT ST,Marlborough,,,Marlborough PD,,09:55,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,110 GRANGER BLVD @ 36 LIBERTY ST,Marlborough,,,Marlborough PD,,10:17,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,109 COOK LN @ 2 REAGIN LN,Marlborough,,,Marlborough PD,,10:39,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #221,Marlborough,,,Marlborough PD,,10:40,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,283 COOK LN,Marlborough,,,Marlborough PD,,10:56,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,TRAFFIC CONTROL,,Unfounded,No,,20 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,11:11,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,19 WEED ST @ 1 COURT ST,Marlborough,,,Marlborough PD,,11:12,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,ABANDONED MV,,Services Rendered- PD,No,,1 COURT ST @ 19 WEED ST,Marlborough,,,Marlborough PD,,11:49,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,Well being check,,Services Rendered- PD,No,,20 HOLLY HILL LN,Marlborough,,,Marlborough PD,,12:01,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #201,Marlborough,,,Marlborough PD,,12:05,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,47 NEWTON ST,Marlborough,,,Marlborough PD,,12:17,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,175 MAIN ST,Marlborough,,,Marlborough PD,,12:33,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,911 Hangup/Call,,Building Checked/Secured,No,,650 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,12:58,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,911 Hangup/Call,,Building Checked/Secured,No,,650 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,13:19,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,209 COOK LN,Marlborough,,,Marlborough PD,,13:20,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,408 MAPLE ST,Marlborough,,,Marlborough PD,,13:29,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,10 ROYAL CREST DR Apt. #3,Marlborough,,,Marlborough PD,,13:37,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,25 EAST DUDLEY ST,Marlborough,,,Marlborough PD,,13:46,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,2
,,Parking Violation,,Services Rendered- PD,No,,76 PROSPECT ST,Marlborough,,,Marlborough PD,,13:51,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,2
,,MOTOR VEHICLE STOP,,Arrest(s) Made,Yes,19-34-AR,4 OLD CHARTER RD,Marlborough,,,Marlborough PD,,14:14,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,271 FARM RD,Marlborough,,,Marlborough PD,,14:26,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,2
,,Directed Patrol,,Citation/Warning Issued,No,,175 MAPLE ST @ 48 VALLEY ST,Marlborough,,,Marlborough PD,,15:03,,,01/23/2019,Call_Log_January_23_2019_to_January_24_2019.pdf,2
