Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,28 HOSMER ST,Marlborough,,,Marlborough PD,,07:01,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,543 STEVENS ST @ 130 LODI RD,Marlborough,,,Marlborough PD,,08:03,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,MOTOR VEHICLE STOP,,Arrest(s) Made,Yes,23-38-AR,543 STEVENS ST @ 130 LODI RD,Marlborough,,,Marlborough PD,,08:17,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,218 WEST HILL RD,Marlborough,,,Marlborough PD,,08:43,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,VANDALISM,,Services Rendered- PD,No,,25 BOUNDARY ST @ 1124 ELM ST,Marlborough,,,Marlborough PD,,09:01,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,Medical,,Medical Assistance Rendered,No,,76 O'MALLEY RD,Marlborough,,,Marlborough PD,,10:01,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,76 O'MALLEY RD,Marlborough,,,Marlborough PD,,10:02,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,DISTURBANCE,,Report,Yes,,494 LINCOLN ST,Marlborough,,,Marlborough PD,,10:08,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,11:12,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,LARCENY,,Report,Yes,,245 FOREST ST,Marlborough,,,Marlborough PD,,11:21,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,Well being check,,Services Rendered- PD,No,,12 FARMHOUSE LN Apt. #7,Marlborough,,,Marlborough PD,,11:27,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
,,Ambulance Only,,Medical Assistance Rendered,No,,10 GROVE ST,Marlborough,,,Marlborough PD,,11:48,,,01/31/2023,Call_Log_January_31_2023_to_February_7_2023.pdf,1
