Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,SERVE SUMMONS,,No Action Required,No,,FAMILY RESIDENTIAL - 195 BROAD ST Apt. #1,Marlborough,,,Marlborough PD,,07:03,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Eratic Operator,,Unfounded,No,,80 GRANGER BLVD @ 29 SOUTH BOLTON ST,Marlborough,,,Marlborough PD,,08:02,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,400 HEMENWAY ST,Marlborough,,,Marlborough PD,,08:07,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #227,Marlborough,,,Marlborough PD,,08:08,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST,Marlborough,,,Marlborough PD,,08:08,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,99 PLEASANT ST Apt. #227,Marlborough,,,Marlborough PD,,08:09,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,29 PLEASANT ST Apt. #B6,Marlborough,,,Marlborough PD,,08:58,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,29 PLEASANT ST Apt. #B6,Marlborough,,,Marlborough PD,,08:59,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,400 HEMENWAY ST Apt. #173,Marlborough,,,Marlborough PD,,09:01,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #173,Marlborough,,,Marlborough PD,,09:03,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST Apt. #219,Marlborough,,,Marlborough PD,,09:53,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,820 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:22,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,5244 TIMBERVIEW WAY,Marlborough,,,Marlborough PD,,10:29,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,5244 TIMBERVIEW WAY,Marlborough,,,Marlborough PD,,10:30,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Fraud / Forgery,,Report,Yes,,152 GREENWOOD ST,Marlborough,,,Marlborough PD,,10:44,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,582 LINCOLN ST,Marlborough,,,Marlborough PD,,11:37,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST Apt. #305,Marlborough,,,Marlborough PD,,11:39,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,240 MAIN ST Apt. #305,Marlborough,,,Marlborough PD,,11:40,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,1
,,BUILDING CHECK,,Services Rendered- PD,No,,999 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:41,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST Apt. #305,Marlborough,,,Marlborough PD,,11:44,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,2
,,Parking Violation,,Services Rendered- PD,No,,NEWTON ST,Marlborough,,,Marlborough PD,,11:47,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,2
,,Medical,,Medical Assistance Rendered,No,,107 KELBER DR,Marlborough,,,Marlborough PD,,12:10,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,2
,,ASSIST CITIZEN,,Report,Yes,,39 BRIARWOOD LN,Marlborough,,,Marlborough PD,,12:12,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,2
,,Directed Patrol,,No Action Required,No,,706 HOSMER ST,Marlborough,,,Marlborough PD,,12:12,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,145 AMES ST,Marlborough,,,Marlborough PD,,12:46,,,07/19/2022,Call_Log_July_19_2022_to_July_25_2022.pdf,2
