Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Parking Violation,,Services Rendered- PD,No,,11 NEW ST @ 26 MONUMENT AVE,Marlborough,,,Marlborough PD,,07:06,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Parking Violation,,Citation/Warning Issued,No,,143 ONAMOG ST,Marlborough,,,Marlborough PD,,07:09,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,11 NEW ST @ 26 MONUMENT AVE,Marlborough,,,Marlborough PD,,07:12,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,FAIRMOUNT ST,Marlborough,,,Marlborough PD,,07:13,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,CENTRAL ST,Marlborough,,,Marlborough PD,,07:16,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,66 MECHANIC ST @ 339 LINCOLN ST,Marlborough,,,Marlborough PD,,07:17,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,MOTOR VEHICLE STOP,,CRIMINAL COMPLAINT,Yes,,311 MAPLE ST,Marlborough,,,Marlborough PD,,07:24,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,431 LINCOLN ST,Marlborough,,,Marlborough PD,,07:45,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,81 GRANGER BLVD,Marlborough,,,Marlborough PD,,07:46,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,406 LINCOLN ST,Marlborough,,,Marlborough PD,,08:15,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,COOK LN,Marlborough,,,Marlborough PD,,08:26,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,HOSMER ST,Marlborough,,,Marlborough PD,,08:34,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,17 WASHINGTON ST,Marlborough,,,Marlborough PD,,08:43,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,80 GRANGER BLVD @ 29 SOUTH BOLTON ST,Marlborough,,,Marlborough PD,,09:03,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,39 RINGOLD ST,Marlborough,,,Marlborough PD,,09:08,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,Medical,,Transported to Hospital,No,,370 HEMENWAY ST Apt. #300,Marlborough,,,Marlborough PD,,09:25,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,337 BRIGHAM ST,Marlborough,,,Marlborough PD,,09:26,,,07/29/2019,Call_Log_July_29_2019-July_30_2019.pdf,1
