Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Well being check,,Unfounded,No,,350 EAST MAIN ST @ 1 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,07:41,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,SUSPICIOUS ACTIVITY,,Services,No,,51 CONRAD RD,Marlborough,,,Marlborough PD,,08:03,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,740 FARM RD,Marlborough,,,Marlborough PD,,08:17,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Medical,,Services Rendered- FD,No,,145 PLEASANT ST,Marlborough,,,Marlborough PD,,08:27,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,145 PLEASANT ST,Marlborough,,,Marlborough PD,,08:29,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,105 BARTLETT ST,Marlborough,,,Marlborough PD,,08:32,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Ambulance Assist,,Report,Yes,,105 BARTLETT ST,Marlborough,,,Marlborough PD,,08:32,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Ambulance Only,,Medical Assistance Rendered,No,,157 UNION ST,Marlborough,,,Marlborough PD,,09:03,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,554 BOSTON POST ROAD EAST Apt. #B,Marlborough,,,Marlborough PD,,09:03,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,554 BOSTON POST ROAD EAST Apt. #B,Marlborough,,,Marlborough PD,,09:04,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Police Assist,,Services Rendered- PD,No,,496 LINCOLN ST,Marlborough,,,Marlborough PD,,09:37,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Parking Violation,,Unfounded,No,,33 PHELPS ST,Marlborough,,,Marlborough PD,,10:13,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,438 HEMENWAY ST,Marlborough,,,Marlborough PD,,10:26,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,88 UNION ST @ 237 PROSPECT ST,Marlborough,,,Marlborough PD,,10:40,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Well being check,,Services Rendered- PD,No,,164 MAPLE ST,Marlborough,,,Marlborough PD,,11:56,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Medical,,Medical Assistance Rendered,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,12:03,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,12:05,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,52 BROAD ST,Marlborough,,,Marlborough PD,,12:15,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,2
,,Medical,,Medical Assistance Rendered,No,,52 BROAD ST,Marlborough,,,Marlborough PD,,12:15,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,652 STOW RD,Marlborough,,,Marlborough PD,,12:17,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,2
,,DISTURBANCE,,Report,Yes,,19 NORTHBORO ROAD EAST Apt. #349,Marlborough,,,Marlborough PD,,12:29,,,07/02/2020,Call_Log_July_2_2020_to_July_7_2020.pdf,2
