Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,10 SOUTH ST,Marlborough,,,Marlborough PD,,07:35,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,Eratic Operator,,Unfounded,No,,23 MAIN ST,Marlborough,,,Marlborough PD,,08:07,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,FOUND/LOST PROPERTY,,Services Rendered- PD,No,,46 EAST DUDLEY ST,Marlborough,,,Marlborough PD,,08:18,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,LARCENY,,Services Rendered- PD,No,,393 SOUTH ST,Marlborough,,,Marlborough PD,,08:35,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,8 KINGS GRANT RD,Marlborough,,,Marlborough PD,,08:47,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,09:36,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,410 LAKESIDE AVE,Marlborough,,,Marlborough PD,,10:12,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,Well being check,,Services Rendered- PD,No,,240 MAIN ST Apt. #515,Marlborough,,,Marlborough PD,,10:22,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,SERVED HARASSMENT ORDER,,Services Rendered- PD,No,,175 BOSTON POST ROAD EAST Apt. #40,Marlborough,,,Marlborough PD,,10:34,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,Well being check,,Services Rendered- PD,No,,175 CHURCH ST Apt. #1,Marlborough,,,Marlborough PD,,10:38,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,DISTURBANCE,,Report,Yes,,47 BRIARWOOD LN Apt. #7,Marlborough,,,Marlborough PD,,10:46,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,181 BOSTON POST ROAD EAST Apt. #20,Marlborough,,,Marlborough PD,,10:59,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
,,Suspicious M/V,,Report,Yes,,13 ANDERSON RD,Marlborough,,,Marlborough PD,,11:01,,,07/30/2021,Call_Log_July_30_2021_to_August_2_2021.pdf,1
