Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Parking Violation,,Services Rendered- PD,No,,WINTER ST,Marlborough,,,Marlborough PD,,07:12,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,CENTRAL ST,Marlborough,,,Marlborough PD,,07:14,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,35 BEACH ST @ 22 CLOVER HILL ST,Marlborough,,,Marlborough PD,,07:26,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,Well being check,,Services Rendered- PD,No,,53 PEARL ST Apt. #3,Marlborough,,,Marlborough PD,,07:27,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,BEACH ST,Marlborough,,,Marlborough PD,,07:42,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,"ALARM, BURGLAR",,Citation/Warning Issued,No,,256 MAPLE ST,Marlborough,,,Marlborough PD,,08:06,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,431 PLEASANT ST,Marlborough,,,Marlborough PD,,08:14,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,SERVE WARRANT,,Arrest(s) Made,Yes,19-306-AR,39 HARVARD ST,Marlborough,,,Marlborough PD,,08:20,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,14 WINTHROP ST,Marlborough,,,Marlborough PD,,08:24,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,COURT ST,Marlborough,,,Marlborough PD,,08:36,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,22 WILSON ST @ 554 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,08:41,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,11 CONVENIENCE STORE - 92 BROAD ST,Marlborough,,,Marlborough PD,,09:06,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,09:22,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,159 STEVENS ST,Marlborough,,,Marlborough PD,,09:37,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,10:05,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,193 BOSTON POST ROAD WEST Apt. #C,Marlborough,,,Marlborough PD,,10:27,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,520 LINCOLN ST,Marlborough,,,Marlborough PD,,10:44,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,280 MAIN ST,Marlborough,,,Marlborough PD,,11:18,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,MVA WITH INJURIES,,Report,Yes,,775 PLEASANT ST,Marlborough,,,Marlborough PD,,11:29,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,Motor vehicle accident I,,Transported to Hospital,No,,775 PLEASANT ST,Marlborough,,,Marlborough PD,,11:29,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,1
,,Well being check,,Services Rendered- PD,No,,188 MECHANIC ST Apt. #1,Marlborough,,,Marlborough PD,,11:49,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,Medical,,Services Rendered- FD,No,,246 MAPLE ST Apt. #3,Marlborough,,,Marlborough PD,,11:55,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,279 EAST MAIN ST,Marlborough,,,Marlborough PD,,11:55,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,246 MAPLE ST Apt. #3,Marlborough,,,Marlborough PD,,11:56,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,11 D'AMICO DR,Marlborough,,,Marlborough PD,,11:57,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,Motor vehicle accident I,,Transported to Hospital,No,,890 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:59,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,MVA WITH INJURIES,,Report,Yes,,890 BOSTON POST ROAD EAST Apt. #2,Marlborough,,,Marlborough PD,,12:03,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,223 EAST MAIN ST,Marlborough,,,Marlborough PD,,12:05,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,Threats,,Report,Yes,,NEWTON ST,Marlborough,,,Marlborough PD,,12:46,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,Medical,,Services Rendered- FD,No,,18 COMMONWEALTH AVE,Marlborough,,,Marlborough PD,,12:49,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,18 COMMONWEALTH AVE,Marlborough,,,Marlborough PD,,12:49,,,07/31/2019,Call_Log_July_31_2019_to_August_1_2019.pdf,2
