Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Eratic Operator,,Services Rendered- PD,No,,MAPLE ST,Marlborough,,,Marlborough PD,,07:12,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,UNION ST,Marlborough,,,Marlborough PD,,07:17,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Unfounded,No,,22 WILSON ST @ 554 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,07:45,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,33 PARIS ST,Marlborough,,,Marlborough PD,,07:48,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,85 BOLTON ST @ 136 LINCOLN ST,Marlborough,,,Marlborough PD,,07:56,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,121 BOLTON ST @ 111 STATE ST,Marlborough,,,Marlborough PD,,08:07,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,36 BOLTON ST @ 3 HIGH ST,Marlborough,,,Marlborough PD,,08:50,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,Well being check,,Services Rendered- PD,No,,140 HOWE ST,Marlborough,,,Marlborough PD,,08:56,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,410 LAKESIDE AVE,Marlborough,,,Marlborough PD,,08:59,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,745 FARM RD,Marlborough,,,Marlborough PD,,09:40,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,483 ELM ST @ 164 FELTON ST,Marlborough,,,Marlborough PD,,09:45,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,9 MILL STREET NORTH,Marlborough,,,Marlborough PD,,10:17,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,41 FARRINGTON LN,Marlborough,,,Marlborough PD,,11:09,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,GULBANKIAN DR @ BROADMEADOW RD,Marlborough,,,Marlborough PD,,11:15,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
,,Eratic Operator,,Services Rendered- PD,No,,410 MAPLE ST,Marlborough,,,Marlborough PD,,11:22,,,06/26/2018,Call_Log_June_26_2018_to_June_27_2018.pdf,1
