Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Transported to Hospital,No,,29 HILDRETH ST,Marlborough,,,Marlborough PD,,07:42,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,29 HILDRETH ST,Marlborough,,,Marlborough PD,,07:43,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,276 MAIN ST Apt. #23,Marlborough,,,Marlborough PD,,08:09,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,31 MAIN ST,Marlborough,,,Marlborough PD,,08:19,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,222 BOLTON ST,Marlborough,,,Marlborough PD,,09:03,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:14,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,40 PLEASANT ST,Marlborough,,,Marlborough PD,,09:21,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,865 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,10:17,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,415 MAPLE ST @ 109 MILL STREET SOUTH,Marlborough,,,Marlborough PD,,10:27,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,378 LINCOLN ST,Marlborough,,,Marlborough PD,,10:29,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,34 BIRCHWOOD DR,Marlborough,,,Marlborough PD,,10:58,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST,Marlborough,,,Marlborough PD,,11:10,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST,Marlborough,,,Marlborough PD,,11:11,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,Medical,,Transported to Hospital,No,,35 RINGOLD ST,Marlborough,,,Marlborough PD,,11:13,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,35 RINGOLD ST,Marlborough,,,Marlborough PD,,11:13,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,174 WEST MAIN ST @ 9 MOUNT PLEASANT ST,Marlborough,,,Marlborough PD,,11:54,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,[MAR 7701] 20 PROSPECT ST Apt. #A,Marlborough,,,Marlborough PD,,12:18,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,1
,,DISTURBANCE,,Report,Yes,,31 MAIN ST,Marlborough,,,Marlborough PD,,12:34,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,SERVE SUMMONS,,Services Rendered- PD,No,,178 BOSTON POST ROAD EAST Apt. #6,Marlborough,,,Marlborough PD,,12:56,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,SHOPLIFTING,,Report,Yes,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,13:05,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,MISSING PERSON,,Report,Yes,,139A BROADMEADOW RD Apt. #6,Marlborough,,,Marlborough PD,,13:14,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Medical,,Transported to Hospital,No,,135 AMES ST Apt. #1413,Marlborough,,,Marlborough PD,,13:21,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Medical,,Transported to Hospital,No,,139A BROADMEADOW RD Apt. #6,Marlborough,,,Marlborough PD,,13:26,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Animal Complaint,,Unfounded,No,,14 MOUNT PLEASANT ST,Marlborough,,,Marlborough PD,,13:42,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,220 LINCOLN ST,Marlborough,,,Marlborough PD,,13:58,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Well being check,,Report,Yes,,39 NEWTON ST Apt. #8,Marlborough,,,Marlborough PD,,14:51,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,45 LAKESIDE AVE,Marlborough,,,Marlborough PD,,15:13,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Medical,,Medical Assistance Rendered,No,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,15:20,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,290 BOLTON ST @ 400 HUDSON ST,Marlborough,,,Marlborough PD,,15:32,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Citation/Warning Issued,No,,116 CHURCH ST @ 52 HILDRETH ST,Marlborough,,,Marlborough PD,,15:47,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Motor vehicle accident I,,Medical Assistance Rendered,No,,116 CHURCH ST @ 52 HILDRETH ST,Marlborough,,,Marlborough PD,,15:52,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,93 BROADMEADOW RD,Marlborough,,,Marlborough PD,,15:59,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,ABANDONED MV,,Citation/Warning Issued,No,,19 WARREN AVE @ 11 MADDOX RD,Marlborough,,,Marlborough PD,,16:23,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,FOUND/LOST PROPERTY,,Report,Yes,,605 HEMENWAY ST,Marlborough,,,Marlborough PD,,16:27,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,400 BOLTON ST,Marlborough,,,Marlborough PD,,16:45,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,Well being check,,Services Rendered- PD,No,,1 CADILLAC DR,Marlborough,,,Marlborough PD,,16:53,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,2
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,36 WESTBORO RD,Marlborough,,,Marlborough PD,,17:13,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Police Assist,,Services Rendered- PD,No,,CROSS ST,Marlborough,,,Marlborough PD,,17:19,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Medical,,Medical Assistance Rendered,No,,43 HOLLY HILL LN,Marlborough,,,Marlborough PD,,17:23,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,43 HOLLY HILL LN,Marlborough,,,Marlborough PD,,17:24,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,96 SOUTH BOLTON ST @ 28 BRIDGE ST,Marlborough,,,Marlborough PD,,17:38,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,WILLIAMS ST,Marlborough,,,Marlborough PD,,17:56,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,18:35,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,112 FOREST ST,Marlborough,,,Marlborough PD,,18:45,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,233 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,18:52,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,421 BOLTON ST,Marlborough,,,Marlborough PD,,19:06,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Medical,,Transported to Hospital,No,,794 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,19:07,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Suspicious M/V,,Services Rendered- PD,No,,794 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,19:07,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Medical,,Services Rendered- FD,No,,421 BOLTON ST,Marlborough,,,Marlborough PD,,19:10,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,Suspicious M/V,,Services Rendered- PD,No,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,19:39,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,771 BOSTON POST ROAD EAST Apt. #11,Marlborough,,,Marlborough PD,,19:53,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
,,DISTURBANCE,,Report,Yes,,230 EAST MAIN ST Apt. #B,Marlborough,,,Marlborough PD,,20:33,,,06/28/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,3
