Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,43 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,07:40,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,MVA WITH INJURIES,,Report,Yes,,100 SETTLERS LN,Marlborough,,,Marlborough PD,,07:50,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,(MAR 517] NEW HORIZONS - 400 HEMENWAY ST Apt. #181,Marlborough,,,Marlborough PD,,08:03,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Threats,,Report,Yes,,74 SILVER LEAF WAY Apt. #34,Marlborough,,,Marlborough PD,,08:14,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,(MAR 4324] RESIDENCE - 35 PADULA DR,Marlborough,,,Marlborough PD,,08:21,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:25,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,5 KINDER CIR,Marlborough,,,Marlborough PD,,08:54,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,(MAR 2729] RESIDENCE - 15 FARM RD,Marlborough,,,Marlborough PD,,09:16,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:19,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,297 HEMENWAY ST,Marlborough,,,Marlborough PD,,09:40,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #225,Marlborough,,,Marlborough PD,,09:42,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Well being check,,Services Rendered- PD,No,,496 LINCOLN ST,Marlborough,,,Marlborough PD,,10:26,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,(MAR 627] MARLBOROUGH HOSPITAL - 157 UNION ST,Marlborough,,,Marlborough PD,,10:56,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,12 CROSS ST,Marlborough,,,Marlborough PD,,11:14,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,"2 WINDSOR ST,",Marlborough,,,Marlborough PD,,11:16,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,581 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:17,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,326 LINCOLN ST,Marlborough,,,Marlborough PD,,11:26,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,MISSING PERSON,,Report,Yes,,39 NEWTON ST Apt. #11,Marlborough,,,Marlborough PD,,11:27,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,1 EAST MAIN ST,Marlborough,,,Marlborough PD,,11:36,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,(MAR 1882] RIDGEWOOD CONDOMINIUMS - 204 BOLTON ST,Marlborough,,,Marlborough PD,,12:22,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Well being check,,Services Rendered- PD,No,,222 EAST MAIN ST,Marlborough,,,Marlborough PD,,12:26,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,(MAR 1064] THE SHELTER ( ROLANDS HOUSE ) - 57 MECHANIC ST,Marlborough,,,Marlborough PD,,13:07,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,135A BROADMEADOW RD Apt. #3,Marlborough,,,Marlborough PD,,13:29,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,DISABLED MV,,Could Not Locate,No,,376 MAPLE ST @ 492 SOUTH ST,Marlborough,,,Marlborough PD,,13:31,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,67 FITCHBURG ST,Marlborough,,,Marlborough PD,,13:43,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,72 GLEN ST,Marlborough,,,Marlborough PD,,13:59,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,224 BRIGHAM ST,Marlborough,,,Marlborough PD,,14:08,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,66 FARM RD,Marlborough,,,Marlborough PD,,14:13,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,Harassment,,Report,Yes,,999 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,14:46,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,Suspicious M/V,,Services Rendered- PD,No,,(MAR 7215] PARKING GARAGE - 70 NEWTON ST,Marlborough,,,Marlborough PD,,16:29,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,340 MAPLE ST Apt. #400,Marlborough,,,Marlborough PD,,16:51,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,65 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,16:57,,,07/02/2018,Call_Log_June_29_2018_to_July_2_2018.pdf,2
