Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,DISABLED MV,,No Action Required,No,,30 FRANCIS ST,Marlborough,,,Marlborough PD,,07:47,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:24,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #109,Marlborough,,,Marlborough PD,,08:48,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,LARCENY,,Report,Yes,,177 COOK LN,Marlborough,,,Marlborough PD,,09:22,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,849 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:37,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,32 BURNS RD,Marlborough,,,Marlborough PD,,09:42,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,167 HELEN DR,Marlborough,,,Marlborough PD,,10:42,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,10:47,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,519 HOSMER ST @ 14 PRINCESS RD,Marlborough,,,Marlborough PD,,10:53,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,Parking Violation,,Services Rendered- PD,No,,9 MOUNT PLEASANT ST @ 174 WEST MAIN ST,Marlborough,,,Marlborough PD,,10:58,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,455 FOREST ST,Marlborough,,,Marlborough PD,,11:10,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,ASSIST OTHER AGENCY,,Arrest(s) Made,Yes,19-220-AR,200 CONCORD RD,Marlborough,,,Marlborough PD,,11:38,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
,,ASSAULT,,Report,Yes,,85 SAWIN ST,Marlborough,,,Marlborough PD,,11:50,,,06/05/2019,Call_Log_June_5_2019_to_June_6_2019.pdf,1
