Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,"Fire Alarm, Full Response",,Services Rendered- FD,No,,165 AMES ST Apt. #3110,Marlborough,,,Marlborough PD,,07:12,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,701 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,08:12,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Fraud / Forgery,,Report,Yes,,[MAR 4989] 35 ELDORADO DR,Marlborough,,,Marlborough PD,,08:13,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:19,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Harassment,,Report,Yes,,39 ROYAL CREST DR Apt. #12,Marlborough,,,Marlborough PD,,08:20,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Medical,,Transported to Hospital,No,,[MAR 2433] 92 WARREN AVE,Marlborough,,,Marlborough PD,,08:33,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,[MAR 2433] 92 WARREN AVE,Marlborough,,,Marlborough PD,,08:35,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,177 ROBERT RD,Marlborough,,,Marlborough PD,,08:52,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Medical,,Transported to Hospital,No,,56 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,09:41,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,58 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,09:41,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,676 STEVENS ST @ 7 WESTERN VIEW DR,Marlborough,,,Marlborough PD,,10:11,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,,Marlborough,,,Marlborough PD,,10:51,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Medical,,Transported to Hospital,No,,430 NORTHBORO ROAD CENTRAL,Marlborough,,,Marlborough PD,,10:58,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,430 NORTHBORO ROAD CENTRAL,Marlborough,,,Marlborough PD,,10:58,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Medical,,Transported to Hospital,No,,56 DANJOU DR,Marlborough,,,Marlborough PD,,11:05,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,56 DANJOU DR,Marlborough,,,Marlborough PD,,11:07,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,1 CADILLAC DR,Marlborough,,,Marlborough PD,,11:24,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,1 APEX DR,Marlborough,,,Marlborough PD,,11:28,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,1
,,BUILDING CHECK,,Report,Yes,,57 MAIN ST,Marlborough,,,Marlborough PD,,11:29,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,15 ELM ST,Marlborough,,,Marlborough PD,,11:34,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST Apt. #132,Marlborough,,,Marlborough PD,,11:57,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,City Ordinance,,Services Rendered- PD,No,,26 FOREST ST,Marlborough,,,Marlborough PD,,12:12,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,19 NORTHBORO ROAD EAST Apt. #303,Marlborough,,,Marlborough PD,,12:20,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Medical,,Transported to Hospital,No,,19 NORTHBORO ROAD EAST Apt. #303,Marlborough,,,Marlborough PD,,12:20,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Medical,,Transported to Hospital,No,,107 APPLEBRIAR LN,Marlborough,,,Marlborough PD,,12:41,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,107 APPLEBRIAR LN,Marlborough,,,Marlborough PD,,12:41,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,132 HOSMER ST Apt. #11,Marlborough,,,Marlborough PD,,12:52,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,MVA WITH INJURIES,,Services Rendered- PD,No,,169 PLEASANT ST,Marlborough,,,Marlborough PD,,13:29,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,pedestrian accident,,Transported to Hospital,No,,169 PLEASANT ST,Marlborough,,,Marlborough PD,,13:30,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,LARCENY,,Report,Yes,,431 BOLTON ST,Marlborough,,,Marlborough PD,,14:16,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST Apt. #102,Marlborough,,,Marlborough PD,,14:41,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,911 Hangup/Call,,Services Rendered- PD,No,,235 PLEASANT ST,Marlborough,,,Marlborough PD,,14:45,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,121 NORTHBORO ROAD EAST Apt. #102,Marlborough,,,Marlborough PD,,14:46,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,49 BRIARWOOD LN Apt. #12,Marlborough,,,Marlborough PD,,16:18,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Medical,,Services Rendered- FD,No,,49 BRIARWOOD LN Apt. #12,Marlborough,,,Marlborough PD,,16:18,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,MOTOR VEHICLE STOP,,Report,Yes,,265 LAKESIDE AVE,Marlborough,,,Marlborough PD,,16:33,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
,,Medical,,Services Rendered- FD,No,,121 NORTHBORO ROAD EAST Apt. #104EC,Marlborough,,,Marlborough PD,,16:47,,,03/11/2021,Call_Log_March_11_2021_to_March_15_2021.pdf,2
