Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,29 PLEASANT ST,Marlborough,,,Marlborough PD,,07:00,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,30 GREENDALE AVE Apt. #1,Marlborough,,,Marlborough PD,,07:07,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,FOREST ST,Marlborough,,,Marlborough PD,,07:15,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,69 MAPLE ST @ 30 BRIDGE ST,Marlborough,,,Marlborough PD,,07:25,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,28 BELLEVIEW AVE,Marlborough,,,Marlborough PD,,07:31,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,32 ELM ST,Marlborough,,,Marlborough PD,,07:35,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,VANDALISM,,Report,Yes,,461 SOUTH ST,Marlborough,,,Marlborough PD,,07:39,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,34 CHURCH ST @ 11 VINE ST,Marlborough,,,Marlborough PD,,07:47,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:19,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,174 WEST MAIN ST @ 9 MOUNT PLEASANT ST,Marlborough,,,Marlborough PD,,08:31,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,GLEN ST,Marlborough,,,Marlborough PD,,08:55,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,597 PLEASANT ST @ 17 FITCHBURG ST,Marlborough,,,Marlborough PD,,08:57,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,29 MUIR WAY,Marlborough,,,Marlborough PD,,09:04,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,69 UNION ST,Marlborough,,,Marlborough PD,,09:20,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,667 FARM RD,Marlborough,,,Marlborough PD,,09:29,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,Well being check,,Services Rendered- PD,No,,333 CHURCH ST Apt. #2,Marlborough,,,Marlborough PD,,09:36,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,264 MAIN ST,Marlborough,,,Marlborough PD,,09:44,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,460 BOSTON POST ROAD EAST Apt. #B301,Marlborough,,,Marlborough PD,,09:57,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
,,Threats,,Report,Yes,,25 UNION ST,Marlborough,,,Marlborough PD,,09:58,,,03/15/2019,Call_Log_March_15_2019_to_March_18_2019.pdf,1
