Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,SERVE WARRANT,,Arrest(s) Made,Yes,,45 LIBERTY ST,Marlborough,,,Marlborough PD,,07:13,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Medical,,Transported to Hospital,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,07:21,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Medical,,Transported to Hospital,No,,15 PRISCILLA DR,Marlborough,,,Marlborough PD,,07:27,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Medical,,Transported to Hospital,No,,460 BOSTON POST ROAD EAST Apt. #B509,Marlborough,,,Marlborough PD,,07:43,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Medical,,Transported to Hospital,No,,720 BOSTON POST ROAD EAST Apt.,Marlborough,,,Marlborough PD,,08:18,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,720 BOSTON POST ROAD EAST Apt.,Marlborough,,,Marlborough PD,,08:21,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,08:40,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,219 LINCOLN ST @ 52 HUNTINGTON AVE,Marlborough,,,Marlborough PD,,08:44,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,57 ORCHARD ST Apt. #1,Marlborough,,,Marlborough PD,,09:08,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,MOTOR VEHICLE STOP,,Report,Yes,,276 MAIN ST,Marlborough,,,Marlborough PD,,09:14,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Medical,,Services Rendered- FD,No,,103 MAIN ST,Marlborough,,,Marlborough PD,,09:29,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Ambulance Assist,,Report,Yes,,103 MAIN ST,Marlborough,,,Marlborough PD,,09:29,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 LIBERTY ST,Marlborough,,,Marlborough PD,,09:50,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST Apt. #205,Marlborough,,,Marlborough PD,,10:13,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,421 LAKESIDE AVE,Marlborough,,,Marlborough PD,,10:16,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,LARCENY,,Report,Yes,,7305 TIMBERVIEW WAY,Marlborough,,,Marlborough PD,,10:41,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,250 MAPLE ST,Marlborough,,,Marlborough PD,,10:53,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,215 FITCHBURG ST,Marlborough,,,Marlborough PD,,10:55,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,180 COOK LN,Marlborough,,,Marlborough PD,,11:09,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #119,Marlborough,,,Marlborough PD,,11:27,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
,,Private Tow,,Private tow,No,,79 HILDRETH ST Apt. #1,Marlborough,,,Marlborough PD,,11:36,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,351 FARM RD @ 388 COOK LN,Marlborough,,,Marlborough PD,,12:01,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
,,DISTURBANCE,,Report,Yes,,30 BRIARWOOD LN Apt. #11,Marlborough,,,Marlborough PD,,12:50,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
,,Medical,,Transported to Hospital,No,,275 WEST MAIN ST Apt. #10,Marlborough,,,Marlborough PD,,12:51,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,275 WEST MAIN ST Apt. #10,Marlborough,,,Marlborough PD,,12:53,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
,,Harassment,,Report,Yes,,215 FITCHBURG ST,Marlborough,,,Marlborough PD,,13:40,,,03/29/2023,Call_Log_March_29_2023_to_April_3_2023.pdf,2
