Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,ASSIST CITIZEN,,Services Rendered- PD,No,,306 BERLIN RD,Marlborough,,,Marlborough PD,,07:15,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,MVA WITH INJURIES,,Report,Yes,,388 COOK LN @ 351 FARM RD,Marlborough,,,Marlborough PD,,07:58,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,Motor vehicle accident I,,Medical Assistance Rendered,No,,388 COOK LN @ 351 FARM RD,Marlborough,,,Marlborough PD,,08:00,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,96 O'MALLEY RD,Marlborough,,,Marlborough PD,,08:09,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,Medical,,Medical Assistance Rendered,No,,388 COOK LN @ 351 FARM RD,Marlborough,,,Marlborough PD,,08:27,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,08:30,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,556 PLEASANT ST @ 10 WEST HILL RD,Marlborough,,,Marlborough PD,,08:51,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,Harassment,,Report,Yes,,25 UNION ST,Marlborough,,,Marlborough PD,,09:20,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,5 ROBIN DR,Marlborough,,,Marlborough PD,,10:12,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
,,LARCENY,,Report,Yes,,149 SOUTH ST,Marlborough,,,Marlborough PD,,10:17,,,03/30/2021,Call_Log_March_31_2021_to_April_1_2021.pdf,1
