Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,SUSPICIOUS ACTIVITY,,Services,No,,6 GARABED BLVD,Marlborough,,,Marlborough PD,,09:47,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Medical,,Transported to Hospital,No,,2 WINDSOR ST,Marlborough,,,Marlborough PD,,10:24,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,2 WINDSOR ST,Marlborough,,,Marlborough PD,,10:25,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Medical,,Transported to Hospital,No,,400 BOLTON ST,Marlborough,,,Marlborough PD,,11:33,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 BOLTON ST Apt. #202,Marlborough,,,Marlborough PD,,11:34,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,0 NEW ST @ 115 GRANGER BLVD,Marlborough,,,Marlborough PD,,11:43,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,SUDDEN DEATH,,Report,Yes,,195 EAST MAIN ST Apt. #70,Marlborough,,,Marlborough PD,,12:22,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Medical,,Services Rendered- FD,No,,195 EAST MAIN ST,Marlborough,,,Marlborough PD,,12:23,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Medical,,Services Rendered- FD,No,,99 PLEASANT ST Apt. #120,Marlborough,,,Marlborough PD,,12:49,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #120,Marlborough,,,Marlborough PD,,12:51,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Medical,,Transported to Hospital,No,,176 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,12:55,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,176 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,12:56,,,05/01/2020,Call_Log_May_1_2020_to_May_4_2020.pdf,1
