Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,20 FLORENCE ST @ 2 WEED ST,Marlborough,,,Marlborough PD,,07:05,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,181 BOSTON POST ROAD WEST Apt. #556,Marlborough,,,Marlborough PD,,07:24,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,Well being check,,Services Rendered- PD,No,,74 SILVER LEAF WAY Apt. #24,Marlborough,,,Marlborough PD,,08:07,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:39,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:50,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,264 BIGELOW ST,Marlborough,,,Marlborough PD,,09:09,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,SERVE WARRANT,,Services Rendered- PD,No,,157 UNION ST,Marlborough,,,Marlborough PD,,11:11,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,SERVE WARRANT,,Services Rendered- PD,No,,190 BOLTON ST Apt. #10,Marlborough,,,Marlborough PD,,13:05,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,Fraud / Forgery,,Report,Yes,,4 MOUNT ROYAL AVE Apt. #320,Marlborough,,,Marlborough PD,,13:11,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
,,Eratic Operator,,Services Rendered- PD,No,,162 PLEASANT ST @ 1 ALLEN CT,Marlborough,,,Marlborough PD,,13:15,,,05/24/2024,Call_Log_May_24_2024_to_May_28_2024.pdf,1
