Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,SERVE SUMMONS,,No Action Required,No,,12 BARRACUDA DR,Marlborough,,,Marlborough PD,,07:07,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,51 EAST MAIN ST @ 9 FRONT ST,Marlborough,,,Marlborough PD,,07:20,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,775 PLEASANT ST,Marlborough,,,Marlborough PD,,07:34,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,DISTURBANCE,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,08:06,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,17 EAST MAIN ST,Marlborough,,,Marlborough PD,,08:28,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,42 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:29,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:30,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,28 MILL STREET CENTRAL,Marlborough,,,Marlborough PD,,08:49,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,Directed Patrol,,Citation/Warning Issued,No,,391 CONCORD RD,Marlborough,,,Marlborough PD,,08:56,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,59 FRANCIS ST,Marlborough,,,Marlborough PD,,09:28,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,LEN TRAILER PARK    --     V & V REALTY - 287 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:31,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,31 AZALEA LN,Marlborough,,,Marlborough PD,,09:35,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,MOTOR VEHICLE STOP,,CRIMINAL COMPLAINT,Yes,,681 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:40,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,09:55,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,431 BOLTON ST,Marlborough,,,Marlborough PD,,10:25,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,325 DICENZO BLVD @ 849 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,10:31,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,DISTURBANCE,,Report,Yes,,74 STATE ST,Marlborough,,,Marlborough PD,,11:11,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,Eratic Operator,,Services Rendered- PD,No,,FITCHBURG ST,Marlborough,,,Marlborough PD,,11:44,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,520 FARM RD,Marlborough,,,Marlborough PD,,12:02,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,193 BERLIN RD,Marlborough,,,Marlborough PD,,12:06,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,ASSIST OTHER AGENCY,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,12:58,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #120,Marlborough,,,Marlborough PD,,13:28,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,1
,,DISTURBANCE,,Report,Yes,,750 FARM RD Apt. #207,Marlborough,,,Marlborough PD,,13:30,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,2
,,Well being check,,Services Rendered- PD,No,,165 AMES ST Apt. #3106,Marlborough,,,Marlborough PD,,13:40,,,05/31/2018,Call_Log_May_31_2018_to_June_1_2018.pdf,2
