Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,41 HUDSON ST @ 72 JEFFERSON ST,Marlborough,,,Marlborough PD,,07:56,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,25 UNION ST,Marlborough,,,Marlborough PD,,08:14,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:24,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST,Marlborough,,,Marlborough PD,,08:58,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,195 RESERVOIR ST,Marlborough,,,Marlborough PD,,09:00,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,HOWLAND ST,Marlborough,,,Marlborough PD,,09:08,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,CHESTNUT ST,Marlborough,,,Marlborough PD,,09:09,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,413 LINCOLN ST @ 3 HOWE CT,Marlborough,,,Marlborough PD,,09:10,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,WINTHROP ST,Marlborough,,,Marlborough PD,,09:10,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,CENTRAL ST,Marlborough,,,Marlborough PD,,09:11,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,NEW ST,Marlborough,,,Marlborough PD,,09:13,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,LIBERTY ST,Marlborough,,,Marlborough PD,,09:14,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,FAIRMOUNT ST,Marlborough,,,Marlborough PD,,09:14,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,911 Hangup/Call,,Unfounded,No,,24 ALAN RD,Marlborough,,,Marlborough PD,,09:14,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
,,Parking Violation,,Could Not Locate,No,,ONAMOG ST,Marlborough,,,Marlborough PD,,09:15,,,05/31/2019,Call_Log_May_31_2019_to_June_3_2019.pdf,1
