Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,DISABLED MV,,Services Rendered- PD,No,,BOUNDARY ST,Marlborough,,,Marlborough PD,,07:53,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #159,Marlborough,,,Marlborough PD,,08:17,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #159,Marlborough,,,Marlborough PD,,08:17,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:42,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,Medical,,Transported to Hospital,No,,67 SONIA DR,Marlborough,,,Marlborough PD,,08:50,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,67 SONIA DR,Marlborough,,,Marlborough PD,,08:50,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,97 FRANCIS ST,Marlborough,,,Marlborough PD,,09:27,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,Well being check,,Services Rendered- PD,No,,6 MARIEN LN,Marlborough,,,Marlborough PD,,09:27,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,LARCENY,,Report,Yes,,27 NEIL ST,Marlborough,,,Marlborough PD,,09:46,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,Medical,,Transported to Hospital,No,,81 MAPLE ST,Marlborough,,,Marlborough PD,,10:10,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,81 MAPLE ST,Marlborough,,,Marlborough PD,,10:11,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
,,ASSIST OTHER AGENCY,,Report,Yes,,355 BERLIN RD,Marlborough,,,Marlborough PD,,10:28,,,11/15/2021,Call_Log_November_15_2021_to_November_18_2021.pdf,1
