Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Motor Vehicle Accident I I,,Transported to Hospital,No,,593 SUDBURY ST,Marlborough,,,Marlborough PD,,07:42,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,MVA WITH INJURIES,,Report,Yes,,593 SUDBURY ST,Marlborough,,,Marlborough PD,,07:42,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,B&E into M/V,,Report,Yes,,23 ROYAL CREST DR Apt. #11,Marlborough,,,Marlborough PD,,08:27,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST Apt. #130A,Marlborough,,,Marlborough PD,,08:50,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:50,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,257 MAPLE ST,Marlborough,,,Marlborough PD,,09:20,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,RECOVERED PROPERTY,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,09:33,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,Medical,,Transported to Hospital,No,,370 HEMENWAY ST Apt. #216,Marlborough,,,Marlborough PD,,09:49,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,370 HEMENWAY ST Apt. #216,Marlborough,,,Marlborough PD,,09:49,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
,,Well being check,,Services Rendered- PD,No,,90 BROAD ST,Marlborough,,,Marlborough PD,,09:54,,,11/28/2022,Call_Log_November_28_2022_to_December_5_2022.pdf,1
