Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,DISTURBANCE,,Report,Yes,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,07:19,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,Trespassing,,Services Rendered- PD,No,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,08:17,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,178 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,08:19,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,Medical,,Transported to Hospital,No,,420 HEMENWAY ST Apt. #363,Marlborough,,,Marlborough PD,,08:34,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,420 HEMENWAY ST Apt. #363,Marlborough,,,Marlborough PD,,08:35,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,SUSPICIOUS ACTIVITY,,Services,No,,WEED ST,Marlborough,,,Marlborough PD,,09:17,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,Medical,,Services Rendered- FD,No,,19 NORTHBORO ROAD EAST Apt. #321,Marlborough,,,Marlborough PD,,09:21,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,19 NORTHBORO ROAD EAST Apt. #321,Marlborough,,,Marlborough PD,,09:23,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,Medical,,Transported to Hospital,No,,663 CONCORD RD,Marlborough,,,Marlborough PD,,09:26,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,663 CONCORD RD,Marlborough,,,Marlborough PD,,09:33,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
,,"ALARM, BURGLAR",,"False Alarm, Accidental",No,,239 CONCORD RD,Marlborough,,,Marlborough PD,,09:40,,,11/02/2020,Call_Log_November_2_2020_to_November_3_2020.pdf,1
