Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,A- CAR - 364 MAPLE ST,Marlborough,,,Marlborough PD,,07:31,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,9 BROAD ST @ 214 WEST MAIN ST,Marlborough,,,Marlborough PD,,07:51,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,300 FARM RD,Marlborough,,,Marlborough PD,,08:45,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,Harassment,,Report,Yes,,91 FLORENCE ST,Marlborough,,,Marlborough PD,,08:55,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,88 UPLAND RD,Marlborough,,,Marlborough PD,,09:01,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,1001 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:13,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,Police Assist,,Services Rendered- PD,No,,77 ESSEX ST,Marlborough,,,Marlborough PD,,09:37,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,VANDALISM,,Report,Yes,,56 GIBBONS ST,Marlborough,,,Marlborough PD,,10:00,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,47 O'MALLEY RD,Marlborough,,,Marlborough PD,,10:00,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,10:02,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,376 MAPLE ST @ 492 SOUTH ST,Marlborough,,,Marlborough PD,,11:44,,,11/30/2018,Call_Log_November_30_2018_to_December_3_2018.pdf,1
