Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Harassment,,Report,Yes,,30 AMES PL Apt. #2,Marlborough,,,Marlborough PD,,00:10,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,472 LINCOLN ST,Marlborough,,,Marlborough PD,,02:13,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,03:20,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,AUTO THEFT,,Report,Yes,,135 NEIL ST,Marlborough,,,Marlborough PD,,05:32,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,"ALARM, BURGLAR",,No Action Required,No,,19 WEED ST,Marlborough,,,Marlborough PD,,05:51,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Medical,,Services Rendered- FD,No,,153 MECHANIC ST Apt. #3,Marlborough,,,Marlborough PD,,06:40,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Medical,,Transported to Hospital,No,,50 BRIARWOOD LN Apt. #1,Marlborough,,,Marlborough PD,,07:56,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,50 BRIARWOOD LN Apt. #1,Marlborough,,,Marlborough PD,,07:56,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Motor Vehicle Accident I I Services,,,No,,400 HEMENWAY ST,Marlborough,,,Marlborough PD,,08:03,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Services,No,,400 HEMENWAY ST,Marlborough,,,Marlborough PD,,08:05,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:36,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:58,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,FITCHBURG ST,Marlborough,,,Marlborough PD,,08:59,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,166 GOODALE ST,Marlborough,,,Marlborough PD,,09:03,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Well being check,,Services Rendered- PD,No,,581 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,09:24,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,230 KINGS GRANT RD,Marlborough,,,Marlborough PD,,09:33,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,259 BOSTON POST ROAD EAST Apt. #6,Marlborough,,,Marlborough PD,,09:38,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,1
,,Parking Violation,,Could Not Locate,No,,RIVER ST,Marlborough,,,Marlborough PD,,09:52,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Parking Violation,,Citation/Warning Issued,No,,MILL STREET CENTRAL,Marlborough,,,Marlborough PD,,09:53,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Parking Violation,,Could Not Locate,No,,99 LAKESIDE AVE @ 30 WINTER AVE,Marlborough,,,Marlborough PD,,10:01,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,"ALARM, BURGLAR",,Services Rendered- PD,No,,133 EAST MAIN ST,Marlborough,,,Marlborough PD,,11:13,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Medical,,Services Rendered- PD,No,,31 HIGHLAND ST,Marlborough,,,Marlborough PD,,11:21,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #170,Marlborough,,,Marlborough PD,,11:35,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,11:56,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Medical,,Services Rendered- PD,No,,11 ORCHARD ST,Marlborough,,,Marlborough PD,,12:18,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,11 ORCHARD ST,Marlborough,,,Marlborough PD,,12:22,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,LARCENY,,Report,Yes,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,12:27,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,ASSIST CITIZEN,,Services Rendered- PD,No,,269 ELM ST,Marlborough,,,Marlborough PD,,12:34,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Medical,,Transported to Hospital,No,,2 WINDSOR ST,Marlborough,,,Marlborough PD,,12:51,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,2 WINDSOR ST,Marlborough,,,Marlborough PD,,12:53,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,ASSIST OTHER AGENCY,,Services,No,,423 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,12:59,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Eratic Operator,,Report,Yes,,286 WEST MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,13:04,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Medical,,Transported to Hospital,No,,55A PLEASANT ST,Marlborough,,,Marlborough PD,,13:11,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,55A PLEASANT ST,Marlborough,,,Marlborough PD,,13:13,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,2
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,13:23,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,SERVE WARRANT,,Services Rendered- PD,No,,157 UNION ST,Marlborough,,,Marlborough PD,,13:54,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,14:12,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Medical,,Transported to Hospital,No,,18 SHERIDAN RD,Marlborough,,,Marlborough PD,,14:15,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,18 SHERIDAN RD,Marlborough,,,Marlborough PD,,14:16,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,DISTURBANCE,,Report,Yes,,61 HIGHLAND ST,Marlborough,,,Marlborough PD,,14:32,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Ambulance Only,,Transported to Hospital,No,,509 LINCOLN ST Apt. #19,Marlborough,,,Marlborough PD,,14:41,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Ambulance Assist,,Report,Yes,,509 LINCOLN ST,Marlborough,,,Marlborough PD,,14:41,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,911 Hangup/Call,,Services Rendered- PD,No,,21 PARIS ST Apt. #2,Marlborough,,,Marlborough PD,,14:46,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,LARCENY,,Report,Yes,,81 GRANGER BLVD,Marlborough,,,Marlborough PD,,14:59,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Ambulance Only,,Transported to Hospital,No,,56 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,15:04,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Ambulance Assist,,Report,Yes,,56 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,15:07,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,321 BERLIN RD,Marlborough,,,Marlborough PD,,15:18,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,SUSPICIOUS ACTIVITY,,Services,No,,42 BOSTON POST ROAD EAST Apt. #3,Marlborough,,,Marlborough PD,,15:26,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,FOUND/LOST PROPERTY,,Report,Yes,,187 WEST MAIN ST,Marlborough,,,Marlborough PD,,15:50,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Fraud / Forgery,,Report,Yes,,118 CULLINANE DR,Marlborough,,,Marlborough PD,,15:55,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Medical,,Transported to Hospital,No,,22 BROAD ST Apt. #401,Marlborough,,,Marlborough PD,,16:02,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #401,Marlborough,,,Marlborough PD,,16:02,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,3
,,Fraud / Forgery,,Services Rendered- PD,No,,37 AZALEA LN,Marlborough,,,Marlborough PD,,16:48,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,ASSIST CITIZEN,,Services Rendered- PD,No,,785 FARM RD,Marlborough,,,Marlborough PD,,18:21,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,pedestrian accident,,Transported to,No,,146 MAPLE ST,Marlborough,,,Marlborough PD,,18:43,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,45 WOODLAND DR,Marlborough,,,Marlborough PD,,18:43,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,MVA WITH INJURIES,,Report,Yes,,146 MAPLE ST,Marlborough,,,Marlborough PD,,18:44,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,398 CEDAR HILL ST,Marlborough,,,Marlborough PD,,19:10,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,ASSIST CITIZEN,,Services Rendered- PD,No,,60 GIBBON ST,Marlborough,,,Marlborough PD,,19:35,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,DPW Called Out,,Services Rendered- PD,No,,11 CURTIS AVE @ 245 EAST MAIN ST,Marlborough,,,Marlborough PD,,19:43,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,Fraud / Forgery,,Report,Yes,,32 ELM HEIGHTS TER,Marlborough,,,Marlborough PD,,19:59,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,HARASSMENT ORDER VIOLATION,,Report,Yes,,135 AMES ST Apt. #1102,Marlborough,,,Marlborough PD,,20:09,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,Motor vehicle accident I,,Services,No,,147 SOUTH ST @ 6 WEST ST,Marlborough,,,Marlborough PD,,20:14,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,MVA WITH INJURIES,,Report,Yes,,3 SOUTH ST @ 120 WEST MAIN ST,Marlborough,,,Marlborough PD,,20:14,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,ASSIST CITIZEN,,Services Rendered- PD,No,,60 GIBBON ST @ 466 LINCOLN ST,Marlborough,,,Marlborough PD,,20:58,,,10/13/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,509 LINCOLN ST,Marlborough,,,Marlborough PD,,00:10,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,Medical,,Services Rendered- FD,No,,509 LINCOLN ST,Marlborough,,,Marlborough PD,,00:32,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,Medical,,Services Rendered- FD,No,,278 HOSMER ST @ 3 CRESTWOOD LN,Marlborough,,,Marlborough PD,,00:44,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,278 HOSMER ST @ 3 CRESTWOOD LN,Marlborough,,,Marlborough PD,,00:44,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Medical,,Services Rendered- FD,No,,170 FOREST ST Apt. #224,Marlborough,,,Marlborough PD,,00:55,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,170 FOREST ST Apt. #224,Marlborough,,,Marlborough PD,,00:57,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,LAKESIDE AVE,Marlborough,,,Marlborough PD,,01:55,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Private Tow,,Private tow,No,,277 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,02:01,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,,Marlborough,,,Marlborough PD,,02:24,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,157 UNION ST,Marlborough,,,Marlborough PD,,02:50,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,SUSPICIOUS ACTIVITY,,Report,Yes,,430 HEMENWAY ST,Marlborough,,,Marlborough PD,,02:52,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Animal Complaint,,Services Rendered- PD,No,,82 MELODY LN,Marlborough,,,Marlborough PD,,03:06,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,33 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,03:13,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Medical,,Services Rendered- FD,No,,534 LINCOLN ST,Marlborough,,,Marlborough PD,,03:51,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,534 LINCOLN ST,Marlborough,,,Marlborough PD,,03:54,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,"ALARM, BURGLAR",,No Action Required,No,,17 WASHINGTON ST,Marlborough,,,Marlborough PD,,06:57,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:25,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,SUSPICIOUS ACTIVITY,,Services,No,,391 CONCORD RD,Marlborough,,,Marlborough PD,,08:57,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,181 BOSTON POST ROAD WEST Apt. #562,Marlborough,,,Marlborough PD,,09:08,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,Fraud / Forgery,,Report,Yes,,5 WHISPERING BROOK RD,Marlborough,,,Marlborough PD,,09:38,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
,,"ALARM, HOLD-UP",,Services Rendered- PD,No,,81 GRANGER BLVD,Marlborough,,,Marlborough PD,,09:50,,,10/14/2020,Call_Log_October_13_2020_to_October_14_2020.pdf,5
