Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,9 RESERVOIR ST @ 537 BOLTON ST,Marlborough,,,Marlborough PD,,07:20,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,911 Hangup/Call,,Unfounded,No,,525 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,07:44,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,215 FITCHBURG ST,Marlborough,,,Marlborough PD,,07:48,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Ambulance Assist,,No Action Required,No,,15 REDBUD WAY,Marlborough,,,Marlborough PD,,07:51,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Medical,,Services Rendered- FD,No,,15 REDBUD WAY Apt. #31,Marlborough,,,Marlborough PD,,07:51,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,DISTURBANCE,,Report,Yes,,108 SOUTH ST Apt. #1,Marlborough,,,Marlborough PD,,07:52,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #318,Marlborough,,,Marlborough PD,,08:41,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST Apt. #318,Marlborough,,,Marlborough PD,,08:41,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Directed Patrol,,Services Rendered- PD,No,,17 WASHINGTON ST,Marlborough,,,Marlborough PD,,08:44,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,90 APEX DR Apt. #D,Marlborough,,,Marlborough PD,,09:06,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,MOTOR VEHICLE STOP,,Services Rendered- PD,No,,79 LINCOLN ST,Marlborough,,,Marlborough PD,,09:10,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST,Marlborough,,,Marlborough PD,,09:16,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Medical,,Services Rendered- FD,No,,240 MAIN ST Apt. #216,Marlborough,,,Marlborough PD,,09:16,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,MISSING PERSON,,Services Rendered- PD,No,,56 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,09:22,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,269 EAST MAIN ST,Marlborough,,,Marlborough PD,,09:30,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,257 COOK LN,Marlborough,,,Marlborough PD,,10:10,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Medical,,Transported to Hospital,No,,22 BROAD ST Apt. #408,Marlborough,,,Marlborough PD,,10:52,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,22 BROAD ST Apt. #408,Marlborough,,,Marlborough PD,,10:52,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Medical,,Transported to Hospital,No,,116 FRYE ST,Marlborough,,,Marlborough PD,,10:58,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,116 FRYE ST,Marlborough,,,Marlborough PD,,10:58,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,11:02,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,CRIMINAL COMPLAINT,Yes,,7 COLLINS DR @ 570 CONCORD RD,Marlborough,,,Marlborough PD,,11:44,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,1
,,Well being check,,Services Rendered- PD,No,,8 COTTING AVE Apt. #36,Marlborough,,,Marlborough PD,,12:48,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,2
,,SOLICITING,,Unfounded,No,,HUNTER AVE,Marlborough,,,Marlborough PD,,13:22,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,2
,,DISTURBANCE,,Report,Yes,,30 AMES PL,Marlborough,,,Marlborough PD,,13:58,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,2
,,911 Hangup/Call,,Services Rendered- PD,No,,238 EAST MAIN ST,Marlborough,,,Marlborough PD,,14:07,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,2
,,Medical,,Medical Assistance Rendered,No,,498 LINCOLN ST Apt. #2,Marlborough,,,Marlborough PD,,14:25,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,498 LINCOLN ST,Marlborough,,,Marlborough PD,,14:25,,,10/24/2019,Call_Log_October_24_2019_to_October_25_2019.pdf,2
