Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Private Tow,,Private tow,No,,26 FRYE ST,Marlborough,,,Marlborough PD,,07:19,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,1000 BAY DR,Marlborough,,,Marlborough PD,,07:27,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,157 APEX DR,Marlborough,,,Marlborough PD,,07:37,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,40 PLEASANT ST,Marlborough,,,Marlborough PD,,08:32,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,[HUD] HUDSON MA,Marlborough,,,Marlborough PD,,08:55,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,Medical,,Services Rendered- PD,No,,22 ASHLEY LN,Marlborough,,,Marlborough PD,,09:09,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,249 PLEASANT ST @ 10 SPRING ST,Marlborough,,,Marlborough PD,,09:23,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,ASSIST OTHER AGENCY,,Services,No,,159 WEST MAIN ST Apt. #2,Marlborough,,,Marlborough PD,,09:34,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:39,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,09:42,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,249 LAKESIDE AVE,Marlborough,,,Marlborough PD,,09:45,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Services,No,,430 LAKESIDE AVE @ 14 GLEN ST,Marlborough,,,Marlborough PD,,09:48,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,249 PLEASANT ST @ 10 SPRING ST,Marlborough,,,Marlborough PD,,09:55,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,14 GLEN ST @ 2 MOUNT ROYAL AVE,Marlborough,,,Marlborough PD,,10:00,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,65 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,10:24,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,Medical,,Transported to Hospital,No,,65 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,10:25,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,79 RICE ST,Marlborough,,,Marlborough PD,,10:58,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,1
,,Medical,,Services Rendered- FD,No,,397 BOLTON ST Apt. #B6,Marlborough,,,Marlborough PD,,11:09,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,397 BOLTON ST Apt. #B6,Marlborough,,,Marlborough PD,,11:10,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Fraud / Forgery,,Report,Yes,,91 PRENDEVILLE WAY,Marlborough,,,Marlborough PD,,11:30,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,894 BOSTON POST ROAD EAST Apt. #2,Marlborough,,,Marlborough PD,,12:11,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Well being check,,Services Rendered- PD,No,,111 PROSPECT ST Apt. #2,Marlborough,,,Marlborough PD,,12:43,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Medical,,Transported to Hospital,No,,113 SPRING ST,Marlborough,,,Marlborough PD,,13:06,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,113 SPRING ST,Marlborough,,,Marlborough PD,,13:06,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,21 APEX DR,Marlborough,,,Marlborough PD,,13:34,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Fraud / Forgery,,Report,Yes,,382 STEARNS RD,Marlborough,,,Marlborough PD,,14:28,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Medical,,Transported to Hospital,No,,420 HEMENWAY ST Apt. #166,Marlborough,,,Marlborough PD,,15:28,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Cell Check,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,15:30,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,91 MAIN ST Apt. #A,Marlborough,,,Marlborough PD,,15:31,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Ambulance Assist,,Report,Yes,,31 LINCOLN ST,Marlborough,,,Marlborough PD,,15:31,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Ambulance Only,,Transported to Hospital,No,,31 LINCOLN ST,Marlborough,,,Marlborough PD,,15:35,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Motor vehicle accident I,,Services,No,,91 MAIN ST,Marlborough,,,Marlborough PD,,15:38,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Ambulance Only,,Transported to Hospital,No,,[HUD] WOODROW ST @ MAIN ST,Marlborough,,,Marlborough PD,,15:46,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,Private Tow,,Private tow,No,,42 MARIEN LN,Marlborough,,,Marlborough PD,,15:50,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,2
,,DISTURBANCE,,Services Rendered- PD,No,,50 BRIARWOOD LN Apt. #10,Marlborough,,,Marlborough PD,,16:09,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,"ALARM, HOLD-UP",,No Action Required,No,,47 CRYSTAL BROOK WAY Apt. #A,Marlborough,,,Marlborough PD,,16:54,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,21 PARK ST,Marlborough,,,Marlborough PD,,16:55,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,255 MAIN ST,Marlborough,,,Marlborough PD,,16:57,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Well being check,,Report,Yes,,35 HIGH ST Apt. #11,Marlborough,,,Marlborough PD,,17:22,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Ambulance Assist,,Report,Yes,,512 SUDBURY ST,Marlborough,,,Marlborough PD,,17:28,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Ambulance Only,,Services Rendered- FD,No,,512 SUDBURY ST,Marlborough,,,Marlborough PD,,17:29,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Well being check,,Report,Yes,,240 MAIN ST Apt. #420,Marlborough,,,Marlborough PD,,17:38,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Fraud / Forgery,,Report,Yes,,165 ROUNDTOP RD,Marlborough,,,Marlborough PD,,17:56,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Fraud / Forgery,,Report,Yes,,2 BEVERLY DR,Marlborough,,,Marlborough PD,,17:57,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Fraud / Forgery,,Report,Yes,,228 NAUGLER AVE,Marlborough,,,Marlborough PD,,17:58,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Fraud / Forgery,,Services Rendered- PD,No,,769 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,18:02,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Ambulance Only,,Services Rendered- FD,No,,[HUD] 51 OLD NORTH RD,Marlborough,,,Marlborough PD,,18:10,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,ASSIST OTHER AGENCY,,Services,No,,157 UNION ST,Marlborough,,,Marlborough PD,,18:13,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Well being check,,Services Rendered- PD,No,,342 LINCOLN ST Apt. #412,Marlborough,,,Marlborough PD,,18:23,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,Animal Complaint,,Services Rendered- PD,No,,13 STONE HILL RD,Marlborough,,,Marlborough PD,,19:05,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,911 Hangup/Call,,Services Rendered- PD,No,,31 LEOLEIS DR,Marlborough,,,Marlborough PD,,19:27,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,91 MAIN ST,Marlborough,,,Marlborough PD,,19:48,,,10/30/2020,Call_Log_October_30_2020_to_November_2_2020.pdf,3
