Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Directed Patrol,,Citation/Warning Issued,No,,STATE ST,Marlborough,,,Marlborough PD,,07:00,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,96 MECHANIC ST @ 9 HASTINGS ST,Marlborough,,,Marlborough PD,,07:11,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,111 STATE ST @ 121 BOLTON ST,Marlborough,,,Marlborough PD,,07:25,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,342 LINCOLN ST,Marlborough,,,Marlborough PD,,07:28,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,Medical,,Services Rendered- FD,No,,13 WESTMINSTER DR,Marlborough,,,Marlborough PD,,07:40,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,13 WESTMINSTER DR,Marlborough,,,Marlborough PD,,07:42,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,Medical,,Medical Assistance Rendered,No,,100 BOSTON SCIENTIFIC WAY,Marlborough,,,Marlborough PD,,07:48,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,100 BOSTON SCIENTIFIC WAY,Marlborough,,,Marlborough PD,,07:50,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,Ambulance Only,,Transported to Hospital,No,,4 PHELPS ST @ 119 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,08:01,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,4 PHELPS ST @ 119 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,08:13,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,1
