Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,MOTOR VEHICLE STOP,,Citation/Warning,No,,131 STEVENS ST @ 3 OLD CHARTER RD,Marlborough,,,Marlborough PD,,07:07,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,215 FITCHBURG ST,Marlborough,,,Marlborough PD,,08:09,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,DISTURBANCE,,Report,Yes,,269 EAST MAIN ST,Marlborough,,,Marlborough PD,,08:19,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,Medical,,Transported to Hospital,No,,16 VICTORIA LN,Marlborough,,,Marlborough PD,,08:30,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,16 VICTORIA LN,Marlborough,,,Marlborough PD,,08:31,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:44,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,Fraud / Forgery,,Report,Yes,,34 CENTRAL ST Apt. #4,Marlborough,,,Marlborough PD,,09:12,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,911 Hangup/Call,,Building Checked/Secured,No,,295 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,09:53,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,ASSIST OTHER AGENCY,,No Action,No,,135 BROADMEADOW RD Apt. #9,Marlborough,,,Marlborough PD,,10:00,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,Police Assist,,Services Rendered- PD,No,,43 BRIARWOOD LN Apt. #11,Marlborough,,,Marlborough PD,,10:11,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,SUSPICIOUS ACTIVITY,,Services,No,,355 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,10:31,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,SERVE SUMMONS,,Services Rendered- PD,No,,321 CHURCH ST Apt. #1,Marlborough,,,Marlborough PD,,10:41,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,ASSIST OTHER AGENCY,,Services,No,,24 CROSS ST,Marlborough,,,Marlborough PD,,11:09,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
,,SERVE WARRANT,,Report,Yes,,157 UNION ST,Marlborough,,,Marlborough PD,,11:54,,,09/28/2020,Call_Log_September_28_2020_to_October_2_2020.pdf,1
