Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Transported to Hospital,No,,509 LINCOLN ST Apt. #13,Marlborough,,,Marlborough PD,,07:30,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,509 LINCOLN ST Apt. #13,Marlborough,,,Marlborough PD,,07:30,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Sex Offender Registration,,Report,Yes,,355 BOLTON ST,Marlborough,,,Marlborough PD,,07:54,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,FOUND/LOST PROPERTY,,Report,Yes,,226 STOW RD,Marlborough,,,Marlborough PD,,08:17,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,45 WILLIAMS ST,Marlborough,,,Marlborough PD,,08:18,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Well being check,,Report,Yes,,280 ELM ST Apt. #31,Marlborough,,,Marlborough PD,,08:25,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Medical,,Transported to Hospital,No,,280 ELM ST Apt. #31,Marlborough,,,Marlborough PD,,08:26,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,170 FOREST ST Apt. #537,Marlborough,,,Marlborough PD,,09:15,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,SUDBURY ST,Marlborough,,,Marlborough PD,,09:27,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Parking Violation,,Citation/Warning Issued,No,,93 CHASE RD,Marlborough,,,Marlborough PD,,10:17,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Medical,,Transported to Hospital,No,,332 MECHANIC ST,Marlborough,,,Marlborough PD,,10:44,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,332 MECHANIC ST,Marlborough,,,Marlborough PD,,10:45,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,800 CONCORD RD,Marlborough,,,Marlborough PD,,10:52,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,Well being check,,Report,Yes,,43 AMES PL Apt. #2,Marlborough,,,Marlborough PD,,11:22,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,630 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:34,,,09/30/2019,Call_Log_September_30_2019_to_October_1_2019.pdf,1
