Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Medical,,Transported to Hospital,No,,121 NORTHBORO ROAD EAST Apt. #204,Marlborough,,,Marlborough PD,,07:12,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Medical,,Services Rendered- FD,No,,42 MAPLE ST,Marlborough,,,Marlborough PD,,07:49,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,ESCORT/TRANSPORT,,Services Rendered- PD,No,,431 BOLTON ST,Marlborough,,,Marlborough PD,,07:49,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,SUDDEN DEATH,,Report,Yes,,42 MAPLE ST,Marlborough,,,Marlborough PD,,07:51,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,2 MAIN ST @ 1 EAST MAIN ST,Marlborough,,,Marlborough PD,,08:09,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:36,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Medical,,Transported to Hospital,No,,14 PRINCESS RD,Marlborough,,,Marlborough PD,,09:55,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,14 PRINCESS RD,Marlborough,,,Marlborough PD,,09:56,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,[MAR 1369] 490 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,10:19,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,531 LINCOLN ST,Marlborough,,,Marlborough PD,,11:05,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Medical,,Transported to Hospital,No,,47 HOUDE ST,Marlborough,,,Marlborough PD,,11:10,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,911 Hangup/Call,,Services Rendered- PD,No,,181 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,11:10,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,47 HOUDE ST,Marlborough,,,Marlborough PD,,11:12,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,ASSAULT,,Report,Yes,,121 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,11:54,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Motor vehicle accident I,,Transported to Hospital,No,,410 MAPLE ST,Marlborough,,,Marlborough PD,,12:28,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,410 MAPLE ST,Marlborough,,,Marlborough PD,,12:29,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Medical,,Transported to Hospital,No,,40 EXETER ST,Marlborough,,,Marlborough PD,,12:43,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,40 EXETER ST,Marlborough,,,Marlborough PD,,12:46,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,1
