Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,DISTURBANCE,,Report,Yes,,9 AVALON DR Apt. #9,Marlborough,,,Marlborough PD,,00:02,,,01/01/2013,UCLA 2013.pdf,1
,,Medical,,Services Rendered- FD,No,,123 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,00:11,,,01/01/2013,UCLA 2013.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,123 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,00:12,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Report,Yes,,204 WEST MAIN ST Apt. #E,Marlborough,,,Marlborough PD,,00:19,,,01/01/2013,UCLA 2013.pdf,1
,,AUTO THEFT,,Report,Yes,,447 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,00:38,,,01/01/2013,UCLA 2013.pdf,1
,,ASSIST CITIZEN,,Report,Yes,,67 CHESTNUT ST,Marlborough,,,Marlborough PD,,00:43,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Services Rendered- PD,No,,204 WEST MAIN ST,Marlborough,,,Marlborough PD,,01:10,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Report,Yes,,319 EAST MAIN ST Apt. #B7,Marlborough,,,Marlborough PD,,01:18,,,01/01/2013,UCLA 2013.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,235 W MAIN ST @ 16 BEACH ST,Marlborough,,,Marlborough PD,,01:42,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Report,Yes,,34 CURTIS AVE Apt. #R8,Marlborough,,,Marlborough PD,,02:19,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Report,Yes,,105 SECOND RD,Marlborough,,,Marlborough PD,,02:22,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Report,Yes,,160 BROAD ST Apt. #2,Marlborough,,,Marlborough PD,,02:25,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Report,Yes,,2 BARRACUDA DR,Marlborough,,,Marlborough PD,,02:40,,,01/01/2013,UCLA 2013.pdf,1
,,DISTURBANCE,,Report,Yes,,250 MAPLE ST,Marlborough,,,Marlborough PD,,03:48,,,01/01/2013,UCLA 2013.pdf,1
,,Medical,,Services Rendered- FD,No,,181 SHAWMUT AVE,Marlborough,,,Marlborough PD,,04:58,,,01/01/2013,UCLA 2013.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,181 SHAWMUT AVE,Marlborough,,,Marlborough PD,,04:58,,,01/01/2013,UCLA 2013.pdf,1
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,123 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,06:34,,,01/01/2013,UCLA 2013.pdf,1
,,Ambulance Assist,,Services Rendered- PD,No,,99 PLEASANT ST Apt. #218,Marlborough,,,Marlborough PD,,07:24,,,01/01/2013,UCLA 2013.pdf,1
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST Apt. #218,Marlborough,,,Marlborough PD,,07:27,,,01/01/2013,UCLA 2013.pdf,1
,,DISABLED MV,,Services Rendered- PD,No,,133 E MAIN ST @ 5 STEVENS ST,Marlborough,,,Marlborough PD,,08:07,,,01/01/2013,UCLA 2013.pdf,2
,,Cell Check,,Building Checked/Secured,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:23,,,01/01/2013,UCLA 2013.pdf,2
,,Cell Check,,Building Checked/Secured,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,08:28,,,01/01/2013,UCLA 2013.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,398 CEDAR HILL ST,Marlborough,,,Marlborough PD,,09:17,,,01/01/2013,UCLA 2013.pdf,2
,,DISTURBANCE,,Report,Yes,,34 CENTRAL ST,Marlborough,,,Marlborough PD,,10:12,,,01/01/2013,UCLA 2013.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,80 CAMERON DR,Marlborough,,,Marlborough PD,,10:44,,,01/01/2013,UCLA 2013.pdf,2
,,AUTO THEFT,,Report,Yes,,760 FARM RD Apt. #203,Marlborough,,,Marlborough PD,,11:58,,,01/01/2013,UCLA 2013.pdf,2
,,DISTURBANCE,,CRIMINAL COMPLAINT,Yes,,5 ROYAL CREST DR Apt. #4,Marlborough,,,Marlborough PD,,12:06,,,01/01/2013,UCLA 2013.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,601 DONALD J. LYNCH BLVD Apt. #S102,Marlborough,,,Marlborough PD,,12:14,,,01/01/2013,UCLA 2013.pdf,2
,,Medical,,Transported to Hospital,No,,601 DONALD J. LYNCH BLVD Apt. #S102,Marlborough,,,Marlborough PD,,12:15,,,01/01/2013,UCLA 2013.pdf,2
,,Medical,,Transported to Hospital,No,,70 OAKCREST AVE,Marlborough,,,Marlborough PD,,12:48,,,01/01/2013,UCLA 2013.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,70 OAKCREST AVE,Marlborough,,,Marlborough PD,,12:50,,,01/01/2013,UCLA 2013.pdf,2
,,DISTURBANCE,,Report,Yes,,111 PROSPECT ST Apt. #1,Marlborough,,,Marlborough PD,,14:54,,,01/01/2013,UCLA 2013.pdf,2
,,Medical,,Services Rendered- FD,No,,111 PROSPECT ST Apt. #1,Marlborough,,,Marlborough PD,,14:56,,,01/01/2013,UCLA 2013.pdf,2
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,601 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,14:58,,,01/01/2013,UCLA 2013.pdf,2
,,Trespassing,,Services Rendered- PD,No,,215 FITCHBURG ST,Marlborough,,,Marlborough PD,,15:23,,,01/01/2013,UCLA 2013.pdf,2
,,Animal Complaint,,Services Rendered- PD,No,,143 MILES STANDISH DR,Marlborough,,,Marlborough PD,,16:21,,,01/01/2013,UCLA 2013.pdf,2
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,11 CONVENIENCE STORE - 92 BROAD ST,Marlborough,,,Marlborough PD,,16:28,,,01/01/2013,UCLA 2013.pdf,2
,,Medical,,Transported to Hospital,No,,12 PARIS ST,Marlborough,,,Marlborough PD,,16:59,,,01/01/2013,UCLA 2013.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,12 PARIS ST,Marlborough,,,Marlborough PD,,17:00,,,01/01/2013,UCLA 2013.pdf,3
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,114 KELBER DR,Marlborough,,,Marlborough PD,,17:08,,,01/01/2013,UCLA 2013.pdf,3
,,Medical,,Transported to Hospital,No,,1 ROYAL CREST DR Apt. #8,Marlborough,,,Marlborough PD,,17:27,,,01/01/2013,UCLA 2013.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,1 ROYAL CREST DR Apt. #8,Marlborough,,,Marlborough PD,,17:27,,,01/01/2013,UCLA 2013.pdf,3
,,Police Assist,,No Action Required,No,,517 LINCOLN ST,Marlborough,,,Marlborough PD,,17:30,,,01/01/2013,UCLA 2013.pdf,3
