Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Report,Yes,,29 SUMNER ST,Marlborough,,,Marlborough PD,,00:47,,,01/01/2020,UCLA 2020.pdf,1
,,Medical,,Services Rendered- FD,No,,29 SUMNER ST Apt. #2,Marlborough,,,Marlborough PD,,00:49,,,01/01/2020,UCLA 2020.pdf,1
,,MOTOR VEHICLE STOP,,CRIMINAL COMPLAINT,Yes,,608 BOSTON POST ROAD EAST Apt. #16,Marlborough,,,Marlborough PD,,00:54,,,01/01/2020,UCLA 2020.pdf,1
,,Eratic Operator,,Unfounded,No,,LAKESIDE AVE,Marlborough,,,Marlborough PD,,01:04,,,01/01/2020,UCLA 2020.pdf,1
,,911 Hangup/Call,,Unfounded,No,,53 SUMMIT AVE,Marlborough,,,Marlborough PD,,01:09,,,01/01/2020,UCLA 2020.pdf,1
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,64 PLEASANT ST @ 424 LINCOLN ST,Marlborough,,,Marlborough PD,,01:50,,,01/01/2020,UCLA 2020.pdf,1
,,DISTURBANCE,,Report,Yes,,55 LINCOLN ST,Marlborough,,,Marlborough PD,,02:04,,,01/01/2020,UCLA 2020.pdf,1
,,ASSIST CITIZEN,,Services Rendered- PD,No,,30 HUNTINGTON AVE Apt. #1,Marlborough,,,Marlborough PD,,02:06,,,01/01/2020,UCLA 2020.pdf,1
,,VANDALISM,,Report,Yes,,26 ELDORADO DR,Marlborough,,,Marlborough PD,,02:14,,,01/01/2020,UCLA 2020.pdf,1
,,911 Hangup/Call,,Unfounded,No,,TWO FAMILY RESIDENCE- - 19 BROOK ST,Marlborough,,,Marlborough PD,,02:25,,,01/01/2020,UCLA 2020.pdf,1
,,DISTURBANCE,,Report,Yes,,19 NORTHBORO ROAD EAST,Marlborough,,,Marlborough PD,,02:37,,,01/01/2020,UCLA 2020.pdf,1
,,Animal Complaint,,Services Rendered- PD,No,,96 SOUTH BOLTON ST @ 28 BRIDGE ST,Marlborough,,,Marlborough PD,,03:37,,,01/01/2020,UCLA 2020.pdf,1
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,155 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,03:50,,,01/01/2020,UCLA 2020.pdf,1
,,Suspicious M/V,,Services Rendered- PD,No,,237 CONCORD RD,Marlborough,,,Marlborough PD,,03:52,,,01/01/2020,UCLA 2020.pdf,1
,,SUSPICIOUS ACTIVITY,,Report,Yes,,AUTO EXPERT REPAIR - FARM RD,Marlborough,,,Marlborough PD,,03:58,,,01/01/2020,UCLA 2020.pdf,1
,,DISTURBANCE,,Report,Yes,,14 MOUNT PLEASANT ST,Marlborough,,,Marlborough PD,,04:08,,,01/01/2020,UCLA 2020.pdf,1
,,Ambulance Only,,Services Rendered- FD,No,,EXPERT AUTO REPAIR - FARM RD,Marlborough,,,Marlborough PD,,04:12,,,01/01/2020,UCLA 2020.pdf,1
,,DISTURBANCE,,Report,Yes,,155 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,04:12,,,01/01/2020,UCLA 2020.pdf,1
,,Medical,,Services Rendered- FD,No,,65 SAINT IVES WAY Apt. #32,Marlborough,,,Marlborough PD,,04:16,,,01/01/2020,UCLA 2020.pdf,1
,,DPW Called Out,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,04:56,,,01/01/2020,UCLA 2020.pdf,2
,,Suspicious M/V,,Services Rendered- PD,No,,215 BROAD ST,Marlborough,,,Marlborough PD,,05:19,,,01/01/2020,UCLA 2020.pdf,2
,,SERVE WARRANT,,Arrest(s) Made,Yes,20-1-AR,14 ELDORADO DR,Marlborough,,,Marlborough PD,,06:28,,,01/01/2020,UCLA 2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,406 HEMENWAY ST Apt. #4226,Marlborough,,,Marlborough PD,,07:00,,,01/01/2020,UCLA 2020.pdf,2
,,Medical,,Transported to Hospital,No,,406 HEMENWAY ST Apt. #4226,Marlborough,,,Marlborough PD,,07:01,,,01/01/2020,UCLA 2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,400 HEMENWAY ST Apt. #226,Marlborough,,,Marlborough PD,,07:19,,,01/01/2020,UCLA 2020.pdf,2
,,Medical,,Transported to Hospital,No,,400 HEMENWAY ST Apt. #226,Marlborough,,,Marlborough PD,,07:19,,,01/01/2020,UCLA 2020.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,115 APEX DR Apt. #B,Marlborough,,,Marlborough PD,,07:54,,,01/01/2020,UCLA 2020.pdf,2
,,Medical,,Transported to Hospital,No,,332 MECHANIC ST,Marlborough,,,Marlborough PD,,08:50,,,01/01/2020,UCLA 2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,332 MECHANIC ST,Marlborough,,,Marlborough PD,,08:51,,,01/01/2020,UCLA 2020.pdf,2
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,143 ELM ST,Marlborough,,,Marlborough PD,,10:07,,,01/01/2020,UCLA 2020.pdf,2
,,SERVED HARASSMENT ORDER,,Services Rendered- PD,No,,24 GAY ST,Marlborough,,,Marlborough PD,,11:03,,,01/01/2020,UCLA 2020.pdf,2
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,500 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:13,,,01/01/2020,UCLA 2020.pdf,2
,,SERVED HARASSMENT ORDER,,Services Rendered- PD,No,,53 HUNTINGTON AVE Apt. #1,Marlborough,,,Marlborough PD,,11:14,,,01/01/2020,UCLA 2020.pdf,2
,,VANDALISM,,Report,Yes,,24 REDBUD WAY Apt. #22,Marlborough,,,Marlborough PD,,11:23,,,01/01/2020,UCLA 2020.pdf,2
,,Police Assist,,Services Rendered- PD,No,,18 OAK RD,Marlborough,,,Marlborough PD,,11:27,,,01/01/2020,UCLA 2020.pdf,2
,,SUSPICIOUS ACTIVITY,,Report,Yes,,490 PARMENTER RD,Marlborough,,,Marlborough PD,,11:37,,,01/01/2020,UCLA 2020.pdf,2
,,Medical,,Transported to Hospital,No,,240 MAIN ST,Marlborough,,,Marlborough PD,,11:47,,,01/01/2020,UCLA 2020.pdf,2
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST Apt. #106,Marlborough,,,Marlborough PD,,11:47,,,01/01/2020,UCLA 2020.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,53 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,11:48,,,01/01/2020,UCLA 2020.pdf,3
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,355 BOLTON ST,Marlborough,,,Marlborough PD,,12:02,,,01/01/2020,UCLA 2020.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,290 BOLTON ST,Marlborough,,,Marlborough PD,,12:25,,,01/01/2020,UCLA 2020.pdf,3
,,Police Assist,,Services Rendered- PD,No,,18 OAK RD,Marlborough,,,Marlborough PD,,12:39,,,01/01/2020,UCLA 2020.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,84 WATERFORD DR,Marlborough,,,Marlborough PD,,12:46,,,01/01/2020,UCLA 2020.pdf,3
,,DPW Called Out,,Services Rendered- PD,No,,74 WILLIAMS ST,Marlborough,,,Marlborough PD,,12:52,,,01/01/2020,UCLA 2020.pdf,3
,,DISTURBANCE,,Report,Yes,,22 BROAD ST Apt. #427,Marlborough,,,Marlborough PD,,13:00,,,01/01/2020,UCLA 2020.pdf,3
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,143 ELM ST,Marlborough,,,Marlborough PD,,13:01,,,01/01/2020,UCLA 2020.pdf,3
,,Ambulance Only,,Transported to Hospital,No,,28 MILL STREET CENTRAL,Marlborough,,,Marlborough PD,,13:36,,,01/01/2020,UCLA 2020.pdf,3
,,Ambulance Assist,,Report,Yes,,28 MILL STREET CENTRAL,Marlborough,,,Marlborough PD,,13:37,,,01/01/2020,UCLA 2020.pdf,3
,,Harassment,,Report,Yes,,14 ELDORADO DR,Marlborough,,,Marlborough PD,,14:08,,,01/01/2020,UCLA 2020.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,747 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,14:33,,,01/01/2020,UCLA 2020.pdf,3
,,Medical,,Services Rendered- FD,No,,573 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,14:35,,,01/01/2020,UCLA 2020.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,573 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,14:36,,,01/01/2020,UCLA 2020.pdf,3
,,DISTURBANCE,,Report,Yes,,1 WINTER ST,Marlborough,,,Marlborough PD,,14:42,,,01/01/2020,UCLA 2020.pdf,3
,,City Ordinance,,Unfounded,No,,196 LINCOLN ST,Marlborough,,,Marlborough PD,,14:55,,,01/01/2020,UCLA 2020.pdf,3
,,MVA PROPERTY DAMAGE ONLY,,Services Rendered- PD,No,,107 BROADMEADOW RD Apt. #A/B,Marlborough,,,Marlborough PD,,15:08,,,01/01/2020,UCLA 2020.pdf,3
,,Well being check,,Report,Yes,,39 AUSTEN WAY Apt. #11L,Marlborough,,,Marlborough PD,,15:45,,,01/01/2020,UCLA 2020.pdf,3
,,Ambulance Only,,Transported to Hospital,No,,39 AUSTEN WAY Apt. #11L,Marlborough,,,Marlborough PD,,16:07,,,01/01/2020,UCLA 2020.pdf,4
,,Animal Complaint,,Unfounded,No,,222 EAST MAIN ST,Marlborough,,,Marlborough PD,,16:34,,,01/01/2020,UCLA 2020.pdf,4
,,Eratic Operator,,Unfounded,No,,3 SOUTH ST @ 120 WEST MAIN ST,Marlborough,,,Marlborough PD,,17:41,,,01/01/2020,UCLA 2020.pdf,4
,,SOLICITING,,Unfounded,No,,110 PROSPECT ST,Marlborough,,,Marlborough PD,,18:02,,,01/01/2020,UCLA 2020.pdf,4
,,SERVE SUMMONS,,Services Rendered- PD,No,,121 SILVER LEAF WAY Apt. #24,Marlborough,,,Marlborough PD,,18:36,,,01/01/2020,UCLA 2020.pdf,4
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,679 STEVENS ST,Marlborough,,,Marlborough PD,,19:12,,,01/01/2020,UCLA 2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,236 BOLTON ST @ 51 UNION ST,Marlborough,,,Marlborough PD,,20:11,,,01/01/2020,UCLA 2020.pdf,4
,,Suspicious M/V,,Services Rendered- PD,No,,85 SAWIN ST,Marlborough,,,Marlborough PD,,20:18,,,01/01/2020,UCLA 2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,1 EAST MAIN ST @ 2 MAIN ST,Marlborough,,,Marlborough PD,,20:37,,,01/01/2020,UCLA 2020.pdf,4
,,Medical,,Transported to Hospital,No,,39 GREENWOOD ST Apt. #1,Marlborough,,,Marlborough PD,,20:48,,,01/01/2020,UCLA 2020.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,39 GREENWOOD ST Apt. #1,Marlborough,,,Marlborough PD,,20:48,,,01/01/2020,UCLA 2020.pdf,4
,,Medical,,Transported to Hospital,No,,406 HEMENWAY ST Apt. #6130,Marlborough,,,Marlborough PD,,21:21,,,01/01/2020,UCLA 2020.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,406 HEMENWAY ST Apt. #6130,Marlborough,,,Marlborough PD,,21:21,,,01/01/2020,UCLA 2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,199 LAKESIDE AVE,Marlborough,,,Marlborough PD,,21:34,,,01/01/2020,UCLA 2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,680 FARM RD @ 2 BROADMEADOW RD,Marlborough,,,Marlborough PD,,21:53,,,01/01/2020,UCLA 2020.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,25 UNION ST,Marlborough,,,Marlborough PD,,22:48,,,01/01/2020,UCLA 2020.pdf,4
,,DISTURBANCE,,Report,Yes,,51L CHRISTIE WAY,Marlborough,,,Marlborough PD,,00:02,,,01/02/2020,UCLA 2020.pdf,4
,,ASSIST OTHER AGENCY,,Report,Yes,,145 PLEASANT ST Apt. #110,Marlborough,,,Marlborough PD,,00:27,,,01/02/2020,UCLA 2020.pdf,4
