_needs_review,_review_reason,Incident ORI,Incident Number,Incident Date And Time,Incident Type,Incident Address,Incident Address Latitude,Incident Address Longitude
,,PA0350400,2019-00000001,01/01/2019 00:03:12,Intrusion Alarm,1008 S MAIN AVE,41.4019871842414,-75.6869295257813
,,PA0350400,2019-00000002,01/01/2019 00:03:43,Investigation of Situation,512 STIPP CT,41.4034783803,-75.6465297672517
,,PA0350400,2019-00000003,01/01/2019 00:07:34,Drunk/Drinking,1040 S WASHINGTON AVE,41.398608432,-75.674175885
,,PA0350400,2019-00000004,01/01/2019 00:20:17,Disorderly Conduct,1040 S WASHINGTON AVE,41.398608432,-75.674175885
,,PA0350400,2019-00000005,01/01/2019 00:18:22,Prostitution,1501 WASHBURN ST,41.4129448328442,-75.6865720681405
,,PA0350400,2019-00000006,01/01/2019 00:29:53,Motor Vehicle Crash,,41.398,-75.626
,,PA0350400,2019-00000007,01/01/2019 00:16:47,Nuisance Complaint,1900 SUMMIT POINTE DR,41.45987624,-75.660933288
,,PA0350400,2019-00000008,01/01/2019 00:29:13,Lost/Recovered Property,100 S WASHINGTON AVE,41.406332227,-75.665552783
,,PA0350400,2019-00000009,01/01/2019 00:56:15,Fight,1935 N WASHINGTON AVE,41.4309135707594,-75.6407772584034
,,PA0350400,2019-00000010,01/01/2019 00:40:12,Criminal Mischief,600 BEECH ST,41.395523523,-75.666117415
,,PA0350400,2019-00000011,01/01/2019 00:56:01,Nuisance Complaint,1506 MAPLE ST,41.385271189,-75.651737989
,,PA0350400,2019-00000012,01/01/2019 01:04:12,Traffic Stop,700 E GRANT ST,41.465020043,-75.595626465
,,PA0350400,2019-00000013,01/01/2019 00:44:45,Theft,3RD AVE / FELLOWS ST,41.4018696093216,-75.6753252060234
,,PA0350400,2019-00000014,01/01/2019 01:18:32,Theft,211 ARTHUR AVE,41.3987104906703,-75.6472100494528
,,PA0350400,2019-00000015,01/01/2019 01:23:20,Domestic,1100 RICHMONT ST,41.4318298805252,-75.6417930562857
,,PA0350400,2019-00000016,01/01/2019 01:34:51,Domestic,915 DE SALES AVE,41.405703745,-75.69183948
,,PA0350400,2019-00000017,01/01/2019 01:37:15,Criminal Mischief,303 N HYDE PARK AVE,41.4151528218024,-75.6792375741743
,,PA0350400,2019-00000018,01/01/2019 01:39:57,Drunk/Drinking,1115 RICHMONT ST,41.4317931211149,-75.6415813095789
,,PA0350400,2019-00000019,01/01/2019 01:55:25,Drunk/Drinking,100 S WASHINGTON AVE,41.406332227,-75.665552783
,,PA0350400,2019-00000020,01/01/2019 01:31:51,Investigation of Situation,1103 SNYDER AVE,41.4002466272496,-75.6860835943872
,,PA0350400,2019-00000021,01/01/2019 02:12:08,Domestic,100 ADAMS AVE,41.40594512,-75.663591152
,,PA0350400,2019-00000022,01/01/2019 02:27:41,Riot/Mob Fight,200 N WASHINGTON AVE,41.408031617,-75.66350328
,,PA0350400,2019-00000023,01/01/2019 02:18:26,Nuisance Complaint,228 MERIDIAN AVE,41.4088842261899,-75.6786042440507
,,PA0350400,2019-00000024,01/01/2019 02:35:26,Nuisance Complaint,1512 JACKSON ST,41.4147216384568,-75.6847451493072
,,PA0350400,2019-00000025,01/01/2019 02:49:13,Nuisance Complaint,ASWELL CT / FELLOWS ST,41.405929983,-75.683581712
,,PA0350400,2019-00000026,01/01/2019 03:15:55,Welfare Check,419 ORCHARD ST,41.402193403,-75.662959592
,,PA0350400,2019-00000027,01/01/2019 03:14:38,Nuisance Complaint,1118 W ELM ST,41.404850781324,-75.6867535831555
