row_number,reasons,CALL_NO,CALL_TYPE,Priority,UNIT,LOCATION_ADDRESS,BEAT,Created Date,Time,Closed Date
45,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
46,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
93,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
94,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
141,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
142,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
148,"'BEAT' expected text, has number",151100166,TRAFFIC STOP-S,5,2M12,"WEDEKIND RD/N MCCARRAN BL, SPKS",1,04/20/2015,080106 080339,04/20/2015
189,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
190,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
237,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
238,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
274,"'BEAT' expected text, has number",151130267 TRAFFIC STOP,,1,N241,"N MCCARRAN BL/EL RANCHO DR, SP",46,04/23/2015,084829 090218,04/23/2015
285,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
286,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
318,'LOCATION_ADDRESS' garbled/scrambled text,151140141 TRAFFIC STOP-S,,5,2M11,"ALPLAND LN/VISTA BL, SPK",S4,04/24/2015,063932 064730,04/24/2015
330,"'BEAT' expected text, has number",151140417 ASSIGNMENT,,9,T225,"1380 KLEPPE LN, SPK",98,04/24/2015,110442 120149,04/24/2015
333,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
334,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
381,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
382,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
398,"'BEAT' expected text, has number",151170186 TRAFFIC STOP-S,,5,2M12,"WEDEKIND RD/N MCCARRAN BL, SPKS",1,04/27/2015,075112 075841,04/27/2015
401,"'BEAT' expected text, has number",151170190 TRAFFIC STOP-S,,5,2M12,"WEDEKIND RD/N MCCARRAN BL, SPKS",1,04/27/2015,075939 080710,04/27/2015
403,"'BEAT' expected text, has number",151170207 TRAFFIC STOP-S,,5,2M12,"WEDEKIND RD/N MCCARRAN BL, SPKS",1,04/27/2015,082111 083544,04/27/2015
429,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
430,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
477,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
478,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
525,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
526,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
530,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",151190152,TRAFFIC PRBLM-S,2,COMM1,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,04/29/2015,075113 080019,04/29/2015
573,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
574,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
618,"'BEAT' expected text, has number; 'LOCATION_ADDRESS' garbled/scrambled text",151210346 TRAFFIC STOP-S,,5,2M13,"N MCCARRAN BL/WEDEKIND RD, SPKS",1,05/01/2015,101539 102101,05/01/2015
621,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
622,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
669,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
670,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
717,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
718,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
746,'CALL_NO' possible overlapping text,151250522 SGT BUELL/2N30,,5,2N11,"1170 LA CRESTA CT, SPK",,05/05/2015,142055 162023,05/05/2015
747,'CALL_NO' possible overlapping text,151250522 SGT BUELL/2N30,,5,2N11,"1170 LA CRESTA CT, SPK",,05/05/2015,142055 162023,05/05/2015
748,'CALL_NO' possible overlapping text,151250522 SGT BUELL/2N30,,5,2N11,"1170 LA CRESTA CT, SPK",,05/05/2015,142055 162023,05/05/2015
765,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
766,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
813,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
814,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
861,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
862,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
909,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
910,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
954,'LOCATION_ADDRESS' garbled/scrambled text,151320675 ACC INJ OR UNK-S,,1,COMM1,"KIETZKE LN/GALLETTI WY, RNO",S5,05/12/2015,172819 173141,05/12/2015
957,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
958,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
982,"'BEAT' expected text, has number",151330784 FAMILY DISTR,,1,,"1855 EL RANCHO DR #279, SPK",48,05/13/2015,181801 182245,05/13/2015
1005,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
